NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,125.95,-4.17,-24.86,-18.28,583.496,0.0977,-323.063,3.882,10,0,6,0
NaI1,1,8,1,125.85,11.32,-22.61,-18.27,585.237,0.0977,-415.13,3.943,10,1,6,1
NaI2,2,8,1,125.76,22.42,-11.7,-18.22,1211.34,0.0977,-441.631,4.436,10,2,6,2
NaI3,3,8,1,125.75,25.05,3.75,-18.24,1212.95,0.0977,-995.045,9.806,10,3,6,3
NaI4,4,8,1,125.9,18.05,17.6,-18.25,1212.49,0.0977,-272.295,3.242,10,4,6,4
NaI5,5,8,1,125.73,4.06,25.05,-18.26,1210.84,0.0977,-365.629,3.857,10,5,6,5
NaI6,6,8,1,125.85,-11.27,22.55,-18.22,1213.05,0.0977,-346.969,3.826,10,6,6,6
NaI7,7,8,1,125.89,-22.35,11.72,-18.26,1214.12,0.0977,-405.538,3.975,10,7,6,7
NaI8,8,8,1,125.88,-24.96,-3.75,-18.26,1214.74,0.0977,-364.003,3.813,10,8,6,8
NaI9,9,8,1,125.84,-18.04,-17.77,-18.29,1214.14,0.0977,-420.818,3.633,10,9,6,9
NaI10,10,8,2,117.31,4.46,-25.19,-13.21,1214.18,0.0977,-249.39,3.286,10,10,6,10
NaI11,11,8,2,117.25,18.62,-17.68,-13.22,1212.24,0.0977,-349.799,3.32,10,11,6,11
NaI12,12,8,2,117.23,25.42,-3.44,-13.2,1213.75,0.0977,-314.507,3.334,10,12,6,12
NaI13,13,8,2,117.13,22.64,12.26,-13.19,1214.34,0.0977,-338.637,3.675,10,13,6,13
NaI14,14,8,2,117.2,11.06,23.18,-13.2,1213.12,0.0977,-369.271,3.303,10,14,6,14
NaI15,15,8,2,117.2,-4.71,25.25,-13.2,1210.78,0.0977,-430.001,3.207,10,15,6,15
NaI16,16,8,2,117.21,-18.68,17.65,-13.21,1213.38,0.0977,-335.363,3.387,10,16,6,16
NaI17,17,8,2,117.29,-25.34,3.45,-13.19,1208.73,0.0977,-401.224,3.471,10,17,6,17
