NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,b1,a1,,b2,a2,,,b new,a new
NaI0,0,8,1,125.95,-4.17,-24.86,-18.28,583.496,0.0977,0,0,5,0,22,0,,,,,0,0,0,0,0,,,0,0
NaI1,1,8,1,125.85,11.32,-22.61,-18.27,585.237,0.0977,0,0,5,1,22,1,,,,,-375.102,3.661,1,0,0,,,0,0
NaI2,2,8,1,125.76,22.42,-11.7,-18.22,1211.34,0.0977,-347.227222,3.966117,5,2,22,2,,,,,-316.638,4.093,2,-40.405,0.969,,,-347.227222,3.966117
NaI3,3,8,1,125.75,25.05,3.75,-18.24,1212.95,0.0977,-990.165492,9.996892,5,3,22,3,,,,,-1013.807,10.457,3,-20.966,0.956,,,-990.165492,9.996892
NaI4,4,8,1,125.9,18.05,17.6,-18.25,1212.49,0.0977,-253.960793,3.169943,5,4,22,4,,,,,-196.049,2.999,4,-46.737,1.057,,,-253.960793,3.169943
NaI5,5,8,1,125.73,4.06,25.05,-18.26,1210.84,0.0977,-359.228,3.332,5,5,22,5,,,,,-349.117,3.332,5,-10.111,1,,,-359.228,3.332
NaI6,6,8,1,125.85,-11.27,22.55,-18.22,1213.05,0.0977,-290.49569,3.35912,5,6,22,6,,,,,-284.062,3.376,6,-7.854,0.995,,,-290.49569,3.35912
NaI7,7,8,1,125.89,-22.35,11.72,-18.26,1214.12,0.0977,-351.298808,3.586692,5,7,22,7,,,,,-314.386,3.489,7,-28.11,1.028,,,-351.298808,3.586692
NaI8,8,8,1,125.88,-24.96,-3.75,-18.26,1214.74,0.0977,-279.451514,3.573198,5,8,22,8,,,,,-189.546,3.222,8,-69.245,1.109,,,-279.451514,3.573198
NaI9,9,8,1,125.84,-18.04,-17.77,-18.29,1214.14,0.0977,-282.84941,3.40219,5,9,22,9,,,,,-277.506,3.454,9,-9.506,0.985,,,-282.84941,3.40219
NaI10,10,8,2,117.31,4.46,-25.19,-13.21,1214.18,0.0977,-266.08568,3.238344,5,10,22,10,,,,,-256.27,3.291,10,-13.916,0.984,,,-266.08568,3.238344
NaI11,11,8,2,117.25,18.62,-17.68,-13.22,1212.24,0.0977,-257.279804,3.366036,5,11,22,11,,,,,-289.507,3.463,11,24.121,0.972,,,-257.279804,3.366036
NaI12,12,8,2,117.23,25.42,-3.44,-13.2,1213.75,0.0977,-307.246,3.249,5,12,22,12,,,,,-310.44,3.249,12,3.194,1,,,-307.246,3.249
NaI13,13,8,2,117.13,22.64,12.26,-13.19,1214.34,0.0977,-250.340573,3.214341,5,13,22,13,,,,,-270.061,3.237,13,17.83,0.993,,,-250.340573,3.214341
NaI14,14,8,2,117.2,11.06,23.18,-13.2,1213.12,0.0977,-494.493696,3.199373,5,14,22,14,,,,,-499.768,3.209,14,3.775,0.997,,,-494.493696,3.199373
NaI15,15,8,2,117.2,-4.71,25.25,-13.2,1210.78,0.0977,-309.51514,3.02428,5,15,22,15,,,,,-327.643,3.086,15,11.575,0.98,,,-309.51514,3.02428
NaI16,16,8,2,117.21,-18.68,17.65,-13.21,1213.38,0.0977,-400.527777,3.829621,5,16,22,16,,,,,-386.111,3.803,16,-11.714,1.007,,,-400.527777,3.829621
NaI17,17,8,2,117.29,-25.34,3.45,-13.19,1208.73,0.0977,-330.103822,3.289146,5,17,22,17,,,,,-341.363,3.309,17,9.211,0.994,,,-330.103822,3.289146
NaI18,18,8,2,117.16,-22.67,-12.23,-13.21,1213.11,0.0977,-361.338858,3.211278,5,18,22,18,,,,,-394.967,3.297,18,23.359,0.974,,,-361.338858,3.211278
NaI19,19,8,2,117.17,-11.17,-23.15,-13.2,1210.8,0.0977,-431.430748,3.588668,5,19,22,19,,,,,-460.006,3.746,19,9.255,0.958,,,-431.430748,3.588668
NaI20,20,8,3,105.17,-0.63,-30.53,-8.28,1211.58,0.0977,-341.822344,3.288425,5,20,22,20,,,,,-341.696,3.325,20,-3.885,0.989,,,-341.822344,3.288425
NaI21,21,8,3,105.19,14.54,-26.76,-8.27,1207.3,0.0977,-287.253888,3.254356,5,21,22,21,,,,,-290.852,3.274,21,1.853,0.994,,,-287.253888,3.254356
NaI22,22,8,3,105.26,25.93,-15.9,-8.3,1211.36,0.0977,-302.011714,3.183354,5,22,22,22,,,,,-305.857,3.177,22,4.457,1.002,,,-302.011714,3.183354
NaI23,23,8,3,105.19,30.46,-0.76,-8.27,1211.32,0.0977,-358.781737,3.204411,5,23,22,23,,,,,-356.609,3.227,23,-4.669,0.993,,,-358.781737,3.204411
NaI24,24,8,3,105.3,26.72,14.5,-8.31,1210.51,0.0977,-298.2837,3.17016,5,24,22,24,,,,,-286.835,3.108,24,-5.712,1.02,,,-298.2837,3.17016
NaI25,25,8,3,105.25,15.88,25.93,-8.29,1211.87,0.0977,-304.253028,2.978537,5,25,22,25,,,,,-310.212,2.923,25,11.853,1.019,,,-304.253028,2.978537
NaI26,26,8,3,105.18,0.7,30.51,-8.28,1212.16,0.0977,-262.69378,3.237676,5,26,22,26,,,,,-274.935,3.277,26,8.942,0.988,,,-262.69378,3.237676
NaI27,27,8,3,105.2,-14.53,26.81,-8.28,1213.64,0.0977,-348.350926,3.295179,5,27,22,27,,,,,-371.846,3.359,27,16.43,0.981,,,-348.350926,3.295179
NaI28,28,8,3,105.15,-25.99,15.96,-8.26,1212.99,0.0977,-344.527302,3.242239,5,28,22,28,,,,,-341.302,3.239,28,-2.884,1.001,,,-344.527302,3.242239
NaI29,29,8,3,105.24,-30.42,0.67,-8.29,1209.89,0.0977,-283.738786,3.368534,5,29,22,29,,,,,-286.474,3.406,29,-0.416,0.989,,,-283.738786,3.368534
NaI30,30,8,3,105.25,-26.72,-14.53,-8.29,1213.02,0.0977,-366.955954,3.277139,5,30,22,30,,,,,-365.682,3.287,30,-2.371,0.997,,,-366.955954,3.277139
NaI31,31,8,3,105.26,-15.99,-25.86,-8.3,1212.85,0.0977,-253.634866,3.028866,5,31,22,31,,,,,-268.097,3.097,31,8.564,0.978,,,-253.634866,3.028866
NaI32,32,8,4,95.73,-0.73,-33.72,-3.39,1207.17,0.0977,-388.940348,3.751848,12,13,20,13,,,,,-301.297,2.922,32,-2.075,1.284,,,-388.940348,3.751848
NaI33,33,8,4,95.72,13.75,-30.72,-3.37,1204.37,0.0977,-286.492576,3.086496,6,1,22,33,,,,,-262.572,3.062,33,-21.82,1.008,,,-286.492576,3.086496
NaI34,34,8,4,95.7,25.81,-21.63,-3.36,1205.53,0.0977,-290.438066,3.337835,6,2,22,34,,,,,-269.082,3.295,34,-17.858,1.013,,,-290.438066,3.337835
NaI35,35,8,4,95.76,32.56,-8.33,-3.39,1207.4,0.0977,-349.45292,3.35984,6,3,22,35,,,,,-329.91,3.32,35,-15.584,1.012,,,-349.45292,3.35984
NaI36,36,8,4,95.71,33,6.74,-3.36,1207.01,0.0977,-270.302227,3.363425,6,4,22,36,,,,,-250.601,3.275,36,-12.935,1.027,,,-270.302227,3.363425
NaI37,37,8,4,95.75,26.83,20.26,-3.38,1206.52,0.0977,-299.013085,3.40765,6,5,22,37,,,,,-264.547,3.23,37,-19.916,1.055,,,-299.013085,3.40765
NaI38,38,8,4,95.76,15.35,29.96,-3.39,1205.68,0.0977,-214.72979,3.212266,6,6,22,38,,,,,-204.865,3.071,38,-0.441,1.046,,,-214.72979,3.212266
NaI39,39,8,4,95.74,0.8,33.68,-3.39,1205.77,0.0977,-310.806365,3.378025,6,7,22,39,,,,,-302.727,3.395,39,-9.593,0.995,,,-310.806365,3.378025
NaI40,40,8,4,95.72,-13.79,30.68,-3.37,1208.12,0.0977,-339.546458,3.581776,6,8,22,40,,,,,-313.837,3.464,40,-15.039,1.034,,,-339.546458,3.581776
NaI41,41,8,4,95.75,-25.75,21.69,-3.39,1209.51,0.0977,-271.823696,2.990016,6,9,22,41,,,,,-251.334,2.864,41,-9.431,1.044,,,-271.823696,2.990016
NaI42,42,8,4,95.74,-32.69,8.26,-3.39,1213.96,0.0977,-262.268356,2.839419,6,10,22,42,,,,,-275.604,2.871,42,10.304,0.989,,,-262.268356,2.839419
NaI43,43,8,4,95.67,-33.02,-6.66,-3.34,1211.74,0.0977,-282.582241,3.170592,6,11,22,43,,,,,-300.461,3.232,43,12.17,0.981,,,-282.582241,3.170592
NaI44,44,8,4,95.79,-26.83,-20.1,-3.4,1209.53,0.0977,-359.096528,3.166884,6,12,22,44,,,,,-365.412,3.186,44,4.123,0.994,,,-359.096528,3.166884
NaI45,45,8,4,95.7,-15.36,-29.9,-3.35,1211.14,0.0977,-277.892758,3.191604,6,13,22,45,,,,,-278.621,3.198,45,0.171,0.998,,,-277.892758,3.191604
NaI46,46,8,5,87.36,7.77,-39.07,1.84,1206.02,0.0977,-322.005058,2.967252,6,14,22,46,,,,,-338.361,3.034,46,8.912,0.978,,,-322.005058,2.967252
NaI47,47,8,5,87.16,22.38,-30.21,1.87,1206.76,0.0977,-248.198386,2.736916,6,15,22,47,,,,,-199.563,2.678,47,-44.245,1.022,,,-248.198386,2.736916
NaI48,48,8,5,87.13,31.03,-21.63,1.9,1205.98,0.0977,-330.981864,3.140928,6,16,22,48,,,,,-340.196,3.192,48,3.771,0.984,,,-330.981864,3.140928
NaI49,49,8,5,87.13,35.34,-12.93,1.89,1203.09,0.0977,-288.488509,3.135411,6,17,22,49,,,,,-246.677,3.083,49,-37.618,1.017,,,-288.488509,3.135411
NaI50,50,8,5,87.21,36.96,-4.43,1.81,1210.3,0.0977,-275.464784,3.151683,6,18,22,50,,,,,-234.752,3.099,50,-36.722,1.017,,,-275.464784,3.151683
NaI51,51,8,5,87.14,36.79,4.38,1.85,1209.69,0.0977,-348.84763,2.993955,6,19,22,51,,,,,-337.274,3.009,51,-13.26,0.995,,,-348.84763,2.993955
NaI52,52,8,5,87.13,35.36,12.98,1.89,1205.42,0.0977,-341.455553,3.254139,6,20,22,52,,,,,-351.419,3.297,52,5.395,0.987,,,-341.455553,3.254139
NaI53,53,8,5,87.13,30.91,21.6,1.89,1204.52,0.0977,-303.16665,2.949198,6,21,22,53,,,,,-302.225,2.967,53,-2.755,0.994,,,-303.16665,2.949198
NaI54,54,8,5,87.16,22.34,30.19,1.86,1206.09,0.0977,-390.562835,3.255435,6,22,22,54,,,,,-393.685,3.285,54,-0.421,0.991,,,-390.562835,3.255435
NaI55,55,8,5,87.34,7.92,39.04,1.85,1208.32,0.0977,-195.92637,2.87892,6,23,22,55,,,,,-209.263,2.908,55,11.244,0.99,,,-195.92637,2.87892
NaI56,56,8,5,87.35,-7.9,39.01,1.84,1205.39,0.0977,-295.71504,3.22056,6,24,22,56,,,,,-288.755,3.195,56,-4.65,1.008,,,-295.71504,3.22056
NaI57,57,8,5,87.18,-22.22,30.15,1.84,1205.58,0.0977,-323.243914,3.276224,6,25,22,57,,,,,-328.681,3.296,57,3.465,0.994,,,-323.243914,3.276224
NaI58,58,8,5,87.19,-30.95,21.56,1.85,1205.66,0.0977,-286.634792,3.16728,6,26,22,58,,,,,-290.802,3.18,58,3.004,0.996,,,-286.634792,3.16728
NaI59,59,8,5,87.21,-35.32,12.98,1.83,1205.09,0.0977,-312.859565,2.94264,6,27,22,59,,,,,-308.513,2.928,59,-2.804,1.005,,,-312.859565,2.94264
NaI60,60,8,5,87.16,-36.89,4.35,1.85,1212.09,0.0977,-312.68762,3.219313,6,28,22,60,,,,,-314.46,3.229,60,0.829,0.997,,,-312.68762,3.219313
NaI61,61,8,5,87.17,-36.88,-4.36,1.83,1211.64,0.0977,-306.00125,3.171065,6,29,22,61,,,,,-308.15,3.187,61,0.608,0.995,,,-306.00125,3.171065
NaI62,62,8,5,87.15,-35.25,-12.95,1.87,1206.08,0.0977,-347.691365,3.356331,6,30,22,62,,,,,-336.195,3.333,62,-9.143,1.007,,,-347.691365,3.356331
NaI63,63,8,5,87.23,-31.07,-21.54,1.83,1208.49,0.0977,-235.675465,2.8457,6,31,22,63,,,,,-236.707,2.86,63,-0.152,0.995,,,-235.675465,2.8457
NaI64,64,8,5,87.16,-22.38,-30.24,1.86,1203.89,0.0977,-321.303396,3.556553,7,0,22,64,,,,,-314.396,3.553,64,-6.593,1.001,,,-321.303396,3.556553
NaI65,65,8,5,87.34,-7.89,-39.08,1.85,1206.67,0.0977,-318.273176,3.303288,7,1,22,65,,,,,-335.864,3.357,65,12.217,0.984,,,-318.273176,3.303288
NaI66,66,8,6,78.89,7.97,-38.95,7.81,1206.56,0.0977,-300.580845,3.046869,7,2,22,66,,,,,-310.935,3.087,66,6.312,0.987,,,-300.580845,3.046869
NaI67,67,8,6,78.19,22.14,-30.13,7.82,1204.02,0.0977,-332.852268,3.334318,7,3,22,67,,,,,-315.866,3.341,67,-17.618,0.998,,,-332.852268,3.334318
NaI68,68,8,6,78.25,30.84,-21.52,7.82,1205.8,0.0977,-269.020842,3.241152,7,4,22,68,,,,,-266.594,3.264,68,-4.293,0.993,,,-269.020842,3.241152
NaI69,69,8,6,78.36,35.35,-12.96,7.76,1205.64,0.0977,-267.360798,3.010966,7,5,22,69,,,,,-257.601,3.017,69,-10.275,0.998,,,-267.360798,3.010966
