NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,,,,,,,,
NaI0,0,8,1,125.95,-4.17,-24.86,-18.28,583.496,0.0977,0,0,5,0,22,0,,,,,,,,
NaI1,1,8,1,125.85,11.32,-22.61,-18.27,585.237,0.0977,0,0,5,1,22,1,,,,,,,,
NaI2,2,8,1,125.76,22.42,-11.7,-18.22,1211.34,0.0977,-347.227222,3.966117,5,2,22,2,,,,,,,,
NaI3,3,8,1,125.75,25.05,3.75,-18.24,1212.95,0.0977,-990.165492,9.996892,5,3,22,3,,,,,,,,
NaI4,4,8,1,125.9,18.05,17.6,-18.25,1212.49,0.0977,-253.960793,3.169943,5,4,22,4,,,,,,,,
NaI5,5,8,1,125.73,4.06,25.05,-18.26,1210.84,0.0977,-359.228,3.332,5,5,22,5,,,,,,,,
NaI6,6,8,1,125.85,-11.27,22.55,-18.22,1213.05,0.0977,-290.49569,3.35912,5,6,22,6,,,,,,,,
NaI7,7,8,1,125.89,-22.35,11.72,-18.26,1214.12,0.0977,-351.298808,3.586692,5,7,22,7,,,,,,,,
NaI8,8,8,1,125.88,-24.96,-3.75,-18.26,1214.74,0.0977,-279.451514,3.573198,5,8,22,8,,,,,,,,
NaI9,9,8,1,125.84,-18.04,-17.77,-18.29,1214.14,0.0977,-282.84941,3.40219,5,9,22,9,,,,,,,,
NaI10,10,8,2,117.31,4.46,-25.19,-13.21,1214.18,0.0977,-266.08568,3.238344,5,10,22,10,,,,,,,,
NaI11,11,8,2,117.25,18.62,-17.68,-13.22,1212.24,0.0977,-257.279804,3.366036,5,11,22,11,,,,,,,,
NaI12,12,8,2,117.23,25.42,-3.44,-13.2,1213.75,0.0977,-307.246,3.249,5,12,22,12,,,,,,,,
NaI13,13,8,2,117.13,22.64,12.26,-13.19,1214.34,0.0977,-250.340573,3.214341,5,13,22,13,,,,,,,,
NaI14,14,8,2,117.2,11.06,23.18,-13.2,1213.12,0.0977,-494.493696,3.199373,5,14,22,14,,,,,,,,
NaI15,15,8,2,117.2,-4.71,25.25,-13.2,1210.78,0.0977,-309.51514,3.02428,5,15,22,15,,,,,,,,
NaI16,16,8,2,117.21,-18.68,17.65,-13.21,1213.38,0.0977,-400.527777,3.829621,5,16,22,16,,,,,,,,
NaI17,17,8,2,117.29,-25.34,3.45,-13.19,1208.73,0.0977,-330.103822,3.289146,5,17,22,17,,,,,,,,
NaI18,18,8,2,117.16,-22.67,-12.23,-13.21,1213.11,0.0977,-361.338858,3.211278,5,18,22,18,,,,,,,,
NaI19,19,8,2,117.17,-11.17,-23.15,-13.2,1210.8,0.0977,-431.430748,3.588668,5,19,22,19,,,,,,,,
NaI20,20,8,3,105.17,-0.63,-30.53,-8.28,1211.58,0.0977,-341.822344,3.288425,5,20,22,20,,,,,,,,
NaI21,21,8,3,105.19,14.54,-26.76,-8.27,1207.3,0.0977,-287.253888,3.254356,5,21,22,21,,,,,,,,
NaI22,22,8,3,105.26,25.93,-15.9,-8.3,1211.36,0.0977,-302.011714,3.183354,5,22,22,22,,,,,,,,
NaI23,23,8,3,105.19,30.46,-0.76,-8.27,1211.32,0.0977,-358.781737,3.204411,5,23,22,23,,,,,,,,
NaI24,24,8,3,105.3,26.72,14.5,-8.31,1210.51,0.0977,-298.2837,3.17016,5,24,22,24,,,,,,,,
NaI25,25,8,3,105.25,15.88,25.93,-8.29,1211.87,0.0977,-304.253028,2.978537,5,25,22,25,,,,,,,,
NaI26,26,8,3,105.18,0.7,30.51,-8.28,1212.16,0.0977,-262.69378,3.237676,5,26,22,26,,,,,,,,
NaI27,27,8,3,105.2,-14.53,26.81,-8.28,1213.64,0.0977,-348.350926,3.295179,5,27,22,27,,,,,,,,
NaI28,28,8,3,105.15,-25.99,15.96,-8.26,1212.99,0.0977,-344.527302,3.242239,5,28,22,28,,,,,,,,
NaI29,29,8,3,105.24,-30.42,0.67,-8.29,1209.89,0.0977,-283.738786,3.368534,5,29,22,29,,,,,,,,
NaI30,30,8,3,105.25,-26.72,-14.53,-8.29,1213.02,0.0977,-366.955954,3.277139,5,30,22,30,,,,,,,,
NaI31,31,8,3,105.26,-15.99,-25.86,-8.3,1212.85,0.0977,-253.634866,3.028866,5,31,22,31,,,,,,,,
NaI32,32,8,4,95.73,-0.73,-33.72,-3.39,1207.17,0.0977,-388.940348,3.751848,12,13,20,13,,,,,,,,
NaI33,33,8,4,95.72,13.75,-30.72,-3.37,1204.37,0.0977,-286.492576,3.086496,6,1,22,33,,,,,,,,
NaI34,34,8,4,95.7,25.81,-21.63,-3.36,1205.53,0.0977,-290.438066,3.337835,6,2,22,34,,,,,,,,
NaI35,35,8,4,95.76,32.56,-8.33,-3.39,1207.4,0.0977,-349.45292,3.35984,6,3,22,35,,,,,,,,
NaI36,36,8,4,95.71,33,6.74,-3.36,1207.01,0.0977,-270.302227,3.363425,6,4,22,36,,,,,,,,
NaI37,37,8,4,95.75,26.83,20.26,-3.38,1206.52,0.0977,-299.013085,3.40765,6,5,22,37,,,,,,,,
NaI38,38,8,4,95.76,15.35,29.96,-3.39,1205.68,0.0977,-214.72979,3.212266,6,6,22,38,,,,,,,,
