NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,120.34,-4.24,-24.46,-14.53,1000,0.0977,0,1,5,0,22,0
NaI1,1,8,1,119.9,11.47,-22.49,-14.52,1000,0.0977,-380.831,3.623,5,1,22,1
NaI2,2,8,1,120.13,22.4,-11.45,-14.6,1034.69,0.0977,-347.227222,3.966117,5,2,22,2
NaI3,3,8,1,120.08,24.84,3.98,-14.57,1035.5,0.0977,-990.165492,9.996892,5,3,22,3
NaI4,4,8,1,120.09,17.98,17.75,-14.64,1033.62,0.0977,-253.960793,3.169943,5,4,22,4
NaI5,5,8,1,120.1,3.76,24.9,-14.6,1031.97,0.0977,-359.228,3.332,5,5,22,5
NaI6,6,8,1,120.56,-11,22.37,-14.72,1033.72,0.0977,-290.49569,3.35912,5,6,22,6
NaI7,7,8,1,120.07,-22.32,11.54,-14.55,1036.48,0.0977,-351.298808,3.586692,5,7,22,7
NaI8,8,8,1,120.22,-24.87,-3.72,-14.65,1037.3,0.0977,-279.451514,3.573198,5,8,22,8
NaI9,9,8,1,120.39,-17.83,-17.49,-14.65,1031.66,0.0977,-282.84941,3.40219,5,9,22,9
NaI10,10,8,2,110.84,4.34,-24.82,-9.59,1036.12,0.0977,-266.08568,3.238344,5,10,22,10
NaI11,11,8,2,110.41,18.6,-17.52,-9.51,1034.04,0.0977,-257.279804,3.366036,5,11,22,11
NaI12,12,8,2,110.78,24.99,-3.37,-9.57,1034.58,0.0977,-307.246,3.249,5,12,22,12
NaI13,13,8,2,110.74,22.27,11.95,-9.57,1035.25,0.0977,-250.340573,3.214341,5,13,22,13
NaI14,14,8,2,110.55,11.07,22.88,-9.53,1033.96,0.0977,-494.493696,3.199373,5,14,22,14
NaI15,15,8,2,110.82,-4.53,24.99,-9.66,1031.64,0.0977,-309.51514,3.02428,5,15,22,15
NaI16,16,8,2,110.78,-18.17,17.56,-9.59,1033.83,0.0977,-400.527777,3.829621,5,16,22,16
NaI17,17,8,2,110.65,-25.1,3.24,-9.54,1029.47,0.0977,-330.103822,3.289146,5,17,22,17
