NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,1,125.95,-4.17,-24.86,-18.28,993.196,0.0977,-373.549,4,10,0,6,0
NaI1,1,8,1,125.85,11.32,-22.61,-18.27,998.537,0.0977,-419.379,3.94,10,1,6,1
NaI2,2,8,1,125.76,22.42,-11.7,-18.22,995.04,0.0977,-450.155,4.427,10,2,6,2
NaI3,3,8,1,125.75,25.05,3.75,-18.24,996.45,0.0977,-1002.856,9.845,10,3,6,3
NaI4,4,8,1,125.9,18.05,17.6,-18.25,993.79,0.0977,-274.054,3.23,10,4,6,4
NaI5,5,8,1,125.73,4.06,25.05,-18.26,991.54,0.0977,-376.266,3.887,10,5,6,5
NaI6,6,8,1,125.85,-11.27,22.55,-18.22,992.75,0.0977,-354.491,3.84,10,6,6,6
NaI7,7,8,1,125.89,-22.35,11.72,-18.26,995.62,0.0977,-411.888,3.987,10,7,6,7
NaI8,8,8,1,125.88,-24.96,-3.75,-18.26,996.84,0.0977,-388.027,3.888,10,8,6,8
NaI9,9,8,1,125.84,-18.04,-17.77,-18.29,993.04,0.0977,-431.474,3.662,10,9,6,9
NaI10,10,8,2,117.31,4.46,-25.19,-13.21,997.28,0.0977,-257.48,3.3,10,10,6,10
NaI11,11,8,2,117.25,18.62,-17.68,-13.22,993.54,0.0977,-365.11,3.359,10,11,6,11
NaI12,12,8,2,117.23,25.42,-3.44,-13.2,995.05,0.0977,-323.169,3.359,10,12,6,12
NaI13,13,8,2,117.13,22.64,12.26,-13.19,995.64,0.0977,-339.796,3.672,10,13,6,13
NaI14,14,8,2,117.2,11.06,23.18,-13.2,993.82,0.0977,-375.874,3.312,10,14,6,14
NaI15,15,8,2,117.2,-4.71,25.25,-13.2,992.68,0.0977,-433.75,3.214,10,15,6,15
NaI16,16,8,2,117.21,-18.68,17.65,-13.21,993.88,0.0977,-329.247,3.275,10,16,6,16
NaI17,17,8,2,117.29,-25.34,3.45,-13.19,991.23,0.0977,-416.17,3.517,10,17,6,17
