NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch,DALI
NaI0,0,8,1,122.14,-4.26,-24.57,-15.67,583.496,0.0977,0,0,10,0,6,0,0
NaI1,1,8,1,122.28,10.96,-22.29,-15.69,585.237,0.0977,0,0,10,1,6,1,1
NaI2,2,8,1,122.36,21.93,-11.62,-15.73,1110.939,0.0977,-243.309188972,3.6149860822,10,2,6,2,2
NaI3,3,8,1,122.31,24.57,3.53,-15.7,1113.464,0.0977,-363.6870882732,3.6135857882,10,3,6,3,3
NaI4,4,8,1,122.23,17.75,17.49,-15.71,1112.364,0.0977,-346.6093355585,3.6704299099,10,4,6,4,4
NaI5,5,8,1,122.31,4.2,24.46,-15.69,1110.933,0.0977,-284.5171879008,3.5383017989,10,5,6,5,5
NaI6,6,8,1,122.2,-10.98,22.32,-15.66,1112.648,0.0977,-367.4974579489,3.6022918424,10,6,6,6,6
NaI7,7,8,1,122.22,-22,11.63,-15.68,1115.986,0.0977,-554.986636901,5.6049498112,10,7,6,7,7
NaI8,8,8,1,122.23,-24.65,-3.58,-15.7,1113.647,0.0977,-365.1554923859,3.5802803111,10,8,6,8,8
NaI9,9,8,2,122.29,-17.83,-17.29,-15.7,1113.983,0.0977,-236.7499064658,3.5886916439,10,9,6,9,9
NaI10,10,8,2,113.05,4.22,-24.78,-10.7,1114.122,0.0977,-324.0144163813,3.4184062458,10,10,6,10,10
NaI11,11,8,2,113.01,18.04,-17.53,-10.68,1112.509,0.0977,-329.5437723472,3.3990965798,10,11,6,11,11
NaI12,12,8,2,112.99,24.94,-3.55,-10.69,1113.619,0.0977,-310.6422486938,3.5272297341,10,12,6,12,12
NaI13,13,8,2,112.91,22.31,11.76,-10.66,1114.304,0.0977,-337.8060091738,3.4095066883,10,13,6,13,13
NaI14,14,8,2,112.92,11.1,22.67,-10.67,1112.698,0.0977,-418.2548395065,3.607874379,10,14,6,14,14
NaI15,15,8,2,112.98,-4.27,24.85,-10.7,1111.282,0.0977,-295.4304330673,3.2733169421,10,15,6,15,15
NaI16,16,8,2,112.99,-18.11,17.54,-10.69,1112.732,0.0977,-366.7466619656,3.6986245706,10,16,6,16,16
NaI17,17,8,2,112.97,-24.98,3.53,-10.69,1110.2,0.0977,-285.7256631579,3.5921755668,10,17,6,17,17
NaI18,18,8,2,112.92,-22.27,-11.81,-10.66,1113.365,0.0977,-288.832785088,3.489607248,10,18,6,18,18
NaI19,19,8,2,112.96,-11.13,-22.56,-10.66,1112.609,0.0977,-404.3753539006,3.842377199,10,19,6,19,19
NaI20,20,8,3,100.93,-0.85,-30.15,-5.83,1112.076,0.0977,-326.3173401114,3.6053138652,10,20,6,20,20
NaI21,21,8,3,100.93,14.28,-26.48,-5.81,1109.081,0.0977,-372.4792797028,3.6195391162,10,21,6,21,21
NaI22,22,8,3,100.92,25.64,-15.8,-5.81,1113.58,0.0977,-414.2222332444,3.5492945619,10,22,6,22,22
NaI23,23,8,3,100.94,30.1,-0.94,-5.82,1111.547,0.0977,-311.790094912,3.7231898625,10,23,6,23,23
NaI24,24,8,3,100.94,26.46,14.1,-5.8,1112.153,0.0977,-370.5000737056,3.705814245,10,24,6,24,24
NaI25,25,8,3,100.95,15.89,25.53,-5.82,1113.585,0.0977,-364.9320502939,3.6299941839,10,25,6,25,25
NaI26,26,8,3,100.96,0.96,30.07,-5.82,1114.905,0.0977,-347.2712576638,3.4533976867,10,26,6,26,26
NaI27,27,8,3,101.01,-14.24,26.46,-5.85,1114.187,0.0977,-284.4364616954,3.4465595435,10,27,6,27,27
NaI28,28,8,3,100.99,-25.56,15.81,-5.84,1114.352,0.0977,-314.1911006977,3.581274698,10,28,6,28,28
NaI29,29,8,3,100.95,-30.04,0.89,-5.82,1112.46,0.0977,-359.8644260126,3.6706355373,10,29,6,29,29
NaI30,30,8,3,100.93,-26.51,-14.31,-5.82,1113.659,0.0977,-417.9258660435,3.7422439685,10,30,6,30,30
NaI31,31,8,3,100.89,-15.77,-25.59,-5.78,1112.851,0.0977,-340.26920252,3.4272167908,10,31,6,31,31
NaI32,32,8,4,91.5,-0.91,-33.53,-0.88,1107.443,0.0977,-376.6382634127,4.3767400669,11,0,6,32,32
NaI33,33,8,4,91.56,13.61,-30.5,-0.91,1107.04,0.0977,-301.8075711412,3.4396902806,11,1,6,33,33
NaI34,34,8,4,91.55,25.59,-21.55,-0.91,1107.88,0.0977,-384.2435700643,3.5085347358,11,2,6,34,34
NaI35,35,8,4,91.5,32.5,-8.27,-0.88,1108.765,0.0977,-368.2725935767,3.5186568848,11,3,6,35,35
NaI36,36,8,4,91.52,32.77,6.46,-0.89,1107.94,0.0977,-336.583293991,3.7676050666,11,4,6,36,36
