NAME,FPL,a_ch2ns,x1_ch2ns,y1_ch2ns,x2_ch2ns,y2_ch2ns,xfactor,yfactor,xoffset,yoffset,xns_off,yns_off,xpos_off,ypos_off,xzpos,yzpos,tdc_overflow,txsum_min,txsum_max,tysum_min,tysum_max,Tx1_fpl,Tx1_geo,Tx1_ch,Tx2_fpl,Tx2_geo,Tx2_ch,Ty1_fpl,Ty1_geo,Ty1_ch,Ty2_fpl,Ty2_geo,Ty2_ch,Ta_fpl,Ta_geo,Ta_ch,Qx1_fpl,Qx1_geo,Qx1_ch,Qx2_fpl,Qx2_geo,Qx2_ch,Qy1_fpl,Qy1_geo,Qy1_ch,Qy2_fpl,Qy2_geo,Qy2_ch,Qa_fpl,Qa_geo,Qa_ch
F1PPAC-1,1,0.151595,0.141179,0.147747,0.144717,0.14362,1.232,1.233,1.24,1.28,3.0734,2.076,0,0,178.5,187.1,4000,-800,800,-800,800,1,0,1,1,0,3,1,0,2,1,0,4,1,0,0,1,0,1,1,0,3,1,0,2,1,0,4,1,0,0
F1PPAC-2,1,0.147348,0.149795,0.14605,0.146158,0.148486,1.219,1.238,0.86,0.77,7.4124,4.4067,0.87,0,498.5,507.1,4000,-800,800,-800,800,1,0,6,1,0,8,1,0,7,1,0,9,1,0,5,1,0,6,1,0,8,1,0,7,1,0,9,1,0,5
F2PPAC-1,2,0.147454,0.150245,0.153647,0.15275,0.149455,1.229,1.233,0.75,0.63,-17.42,23.2,0,0,-895.1,-866.6,4000,-800,800,-800,800,2,0,1,2,0,3,2,0,2,2,0,4,2,0,0,2,0,1,2,0,3,2,0,2,2,0,4,2,0,0
F2PPAC-2,2,0.14977,0.145529,0.146329,0.15176,0.145154,1.225,1.232,0.84,0.46,3.02,-13.71,-0.59,0,56.5,65.1,4000,-800,800,-800,800,2,0,6,2,0,8,2,0,7,2,0,9,2,0,5,2,0,6,2,0,8,2,0,7,2,0,9,2,0,5
F3PPAC-1A,3,0.147696,0.151096,0.148212,0.147478,0.150747,1.24,-1.231,0.34,-0.7,-4.91,-3.63,1.05,0,-18.7,-10.1,4000,-800,800,-800,800,3,0,4,3,0,6,3,0,5,3,0,7,3,0,0,3,0,4,3,0,6,3,0,5,3,0,7,3,0,0
F3PPAC-1B,3,0.144662,0.151345,0.14818,0.15148,0.146174,1.228,-1.232,0.22,-0.72,-11.51,16.34,0.57,0,18.7,10.1,4000,-800,800,-800,800,3,0,8,3,0,10,3,0,9,3,0,11,3,0,1,3,0,8,3,0,10,3,0,9,3,0,11,3,0,1
F3PPAC-2A,3,0.150818,0.146298,0.148608,0.151626,0.150946,1.217,-1.224,0.75,-0.29,6.3435,9.3776,1.98,0,871.3,879.9,4000,-800,800,-800,800,3,0,12,3,0,14,3,0,13,3,0,15,3,0,2,3,0,12,3,0,14,3,0,13,3,0,15,3,0,2
F3PPAC-2B,3,0.149367,0.146958,0.144238,0.148189,0.146956,1.223,-1.23,1.31,-0.17,5.0054,7.6443,1.76,0,908.7,900.1,4000,-800,800,-800,800,3,0,16,3,0,18,3,0,17,3,0,19,3,0,3,3,0,16,3,0,18,3,0,17,3,0,19,3,0,3
F4PPAC,4,0.150414,0.14868,0.149443,0.147131,0.149318,1.242,1.223,0.95,0.17,7.42,17.39,-3.12,0,96.5,105.1,4000,-800,800,-800,800,4,0,1,4,0,3,4,0,2,4,0,4,4,0,0,4,0,1,4,0,3,4,0,2,4,0,4,4,0,0
F5PPAC-1A,5,0.140546,0.151622,0.145979,0.147927,0.146828,1.228,-1.23,0.95,-0.35,13.74,23.28,0,0,-418.7,-410.1,4000,-800,800,-800,800,5,0,4,5,0,6,5,0,5,5,0,7,5,0,0,5,0,4,5,0,6,5,0,5,5,0,7,5,0,0
F5PPAC-1B,5,0.141985,0.151959,0.152978,0.144341,0.151408,1.231,-1.243,1.18,-0.41,13.95,0.59,0,0,-381.3,-389.9,4000,-800,800,-800,800,5,0,8,5,0,10,5,0,9,5,0,11,5,0,1,5,0,8,5,0,10,5,0,9,5,0,11,5,0,1
F5PPAC-2A,5,0.144636,0.146886,0.148598,0.147218,0.150814,1.223,-1.215,1.47,-0.42,-14.62,12.79,-0.15,0,231.3,239.9,4000,-800,800,-800,800,5,0,12,5,0,14,5,0,13,5,0,15,5,0,2,5,0,12,5,0,14,5,0,13,5,0,15,5,0,2
F5PPAC-2B,5,0.14948,0.14824,0.151384,0.145607,0.148806,1.213,-1.212,0.93,-0.38,10.93,-15.91,-0.15,0,268.7,260.1,4000,-800,800,-800,800,5,0,16,5,0,18,5,0,17,5,0,19,5,0,3,5,0,16,5,0,18,5,0,17,5,0,19,5,0,3
F6PPAC,6,0.153275,0.150242,0.152564,0.146609,0.149084,1.22,-1.219,0.92,-0.62,1.32,9.5,-0.63,0,81.3,89.9,4000,-800,800,-800,800,6,0,1,6,0,3,6,0,2,6,0,4,6,0,0,6,0,1,6,0,3,6,0,2,6,0,4,6,0,0
F7PPAC-1A,7,0.139108,0.141496,0.149205,0.142964,0.144151,1.226,-1.234,1.43,-0.57,-2.2644,-7.0254,-0.3,0,-868.7,-860.1,4000,-800,800,-800,800,7,0,4,7,0,6,7,0,5,7,0,7,7,0,0,7,0,4,7,0,6,7,0,5,7,0,7,7,0,0
F7PPAC-1B,7,0.138979,0.145397,0.147769,0.149053,0.148728,1.225,-1.224,0.8,-0.94,13.979,15.664,-0.3,0,-831.3,-839.9,4000,-800,800,-800,800,7,0,8,7,0,10,7,0,9,7,0,11,7,0,1,7,0,8,7,0,10,7,0,9,7,0,11,7,0,1
F7PPAC-2A,7,0.148906,0.14645,0.147926,0.149802,0.151382,1.218,-1.248,0.87,-1.13,7.6436,-9.0039,-0.43,0,76.3,84.9,4000,-800,800,-800,800,7,0,12,7,0,14,7,0,13,7,0,15,7,0,2,7,0,12,7,0,14,7,0,13,7,0,15,7,0,2
F7PPAC-2B,7,0.147447,0.14805,0.147009,0.147318,0.143919,1.244,-1.221,0.42,-0.65,12.22,-8.6651,-0.43,0,113.7,105.1,4000,-800,800,-800,800,7,0,16,7,0,18,7,0,17,7,0,19,7,0,3,7,0,16,7,0,18,7,0,17,7,0,19,7,0,3
F8PPAC-1A,8,0.146958,0.142926,0.144576,0.145965,0.144242,1.23,-1.233,1.24,-0.62,-2.5858,-5.3394,0,0,-1310.7,-1302.1,4000,-800,800,-800,800,8,0,4,8,0,6,8,0,5,8,0,7,8,0,0,8,0,4,8,0,6,8,0,5,8,0,7,8,0,0
