NAME,FPL,tcal_left,tcal_right,zpos,tleft_geo,tleft_ch,tright_geo,tright_ch,qleft_geo,qleft_ch,qright_geo,qright_ch
F2pl,2,0.026868,0.0271937,170,0,0,0,1,0,0,0,1
F3pl,3,0.0284,0.02578,-205,0,0,0,1,0,0,0,1
F5pl-1,5,0.026869,0.0269583,-170,0,0,0,1,0,0,0,1
F5pl-2,5,0,0,400,0,2,0,3,0,2,0,3
F7pl,7,0.0279,0.02625,220.5,0,0,0,1,0,0,0,1
F8pl,8,0.0270701,0.0278229,-932,0,0,0,1,0,0,0,1
F11pl-1,11,0.0270212,0.0266495,-432,0,0,0,1,0,0,0,1
F11pl-2,11,0.0274976,0.0274527,1066,0,2,0,3,0,2,0,3
F12pl,12,0,0,0,0,0,0,1,0,0,0,1
F3pl-40nsec,3,0.0268,0.028017,-205,0,2,0,3,0,0,0,1
F13pl-1,13,0.0288,0.0277,-1500,-3000,-2893,0,0,0,1,0,0,0,1
F13pl-2,13,0.0283,0.0274,-1500,-2400,-2813,0,2,0,3,0,2,0,3
SBV,13,0.02825,0.02752,-623,0,4,0,5,0,4,0,5
F7pl-2,7,0.027,0.0277585,510.5,0,2,0,3,0,2,0,3
