ID,NAME,FPL,FRAME,LAYER,CH,X,Y,Z,TOFF,TCAL,QPED,QCAL,ADC_GEO,ADC_CH,TDC_GEO,TDC_CH,IsTREF,DYNODE_BOARD,DYNODE_CH,DYNODE_QCAL,DYNODE_QPED
1,CATANA001,13,1,1,0,38.425780,242.610826,100.800000,0,0.0977,-147.328000,5.468090,3,0,9,0,0,0,0,1,0
2,CATANA002,13,2,1,0,111.515956,218.862388,100.800000,0,0.0977,-133.851000,5.309770,3,1,9,1,0,0,0,1,0
3,CATANA003,13,3,1,0,173.690174,173.690174,100.800000,0,0.0977,-139.160000,5.300610,3,2,9,2,0,1,0,1,0
4,CATANA004,13,4,1,0,218.862388,111.515956,100.800000,0,0.0977,-128.528000,5.226100,3,3,9,3,0,1,0,1,0
5,CATANA005,13,5,1,0,242.610826,38.425780,100.800000,0,0.0977,-149.326000,5.287310,3,4,9,4,0,2,0,1,0
6,CATANA006,13,6,1,0,242.610826,-38.425780,100.800000,0,0.0977,-146.895000,5.618460,3,5,9,5,0,2,0,1,0
7,CATANA007,13,7,1,0,218.862388,-111.515956,100.800000,0,0.0977,-133.497000,5.267810,3,6,9,6,0,3,0,1,0
8,CATANA008,13,8,1,0,173.690174,-173.690174,100.800000,0,0.0977,-126.564000,5.197510,3,7,9,7,0,3,0,1,0
9,CATANA009,13,9,1,0,111.515956,-218.862388,100.800000,0,0.0977,-122.215000,5.171390,3,8,9,8,0,4,0,1,0
10,CATANA010,13,10,1,0,38.425780,-242.610826,100.800000,0,0.0977,-128.874000,5.377050,3,9,9,9,0,4,0,1,0
11,CATANA011,13,11,1,0,-38.425780,-242.610826,100.800000,0,0.0977,-119.646000,5.014130,3,10,9,10,0,5,0,1,0
12,CATANA012,13,12,1,0,-111.515956,-218.862388,100.800000,0,0.0977,-114.197000,5.217640,3,11,9,11,0,5,0,1,0
13,CATANA013,13,13,1,0,-173.690174,-173.690174,100.800000,0,0.0977,-135.127000,5.166260,3,12,9,12,0,6,0,1,0
14,CATANA014,13,14,1,0,-218.862388,-111.515956,100.800000,0,0.0977,-136.932000,5.267490,3,13,9,13,0,6,0,1,0
15,CATANA015,13,15,1,0,-242.610826,-38.425780,100.800000,0,0.0977,-132.213000,5.251650,3,14,9,14,0,7,0,1,0
16,CATANA016,13,16,1,0,-242.610826,38.425780,100.800000,0,0.0977,-130.393000,5.369510,3,15,9,15,0,7,0,1,0
17,CATANA017,13,17,1,0,-218.862388,111.515956,100.800000,0,0.0977,-114.788000,5.152770,3,16,9,16,0,8,0,1,0
18,CATANA018,13,18,1,0,-173.690174,173.690174,100.800000,0,0.0977,-108.452000,5.117670,3,17,9,17,0,8,0,1,0
19,CATANA019,13,19,1,0,-111.515956,218.862388,100.800000,0,0.0977,-123.252000,5.193430,3,18,9,18,0,9,0,1,0
20,CATANA020,13,20,1,0,-38.425780,242.610826,100.800000,0,0.0977,-118.232000,5.165540,3,19,9,19,0,9,0,1,0
21,CATANA021,13,1,2,0,39.471231,249.211547,149.000000,0,0.0977,-126.642000,5.201510,3,20,9,20,0,0,0,1,0
22,CATANA022,13,2,2,0,114.549975,224.816984,149.000000,0,0.0977,-133.591000,5.364460,3,21,9,21,0,0,0,1,0
23,CATANA023,13,3,2,0,178.415769,178.415769,149.000000,0,0.0977,-122.553000,5.216070,3,22,9,22,0,1,0,1,0
24,CATANA024,13,4,2,0,224.816984,114.549975,149.000000,0,0.0977,-117.897000,5.161890,3,23,9,23,0,1,0,1,0
25,CATANA025,13,5,2,0,249.211547,39.471231,149.000000,0,0.0977,-124.704000,5.195370,3,24,9,24,0,2,0,1,0
26,CATANA026,13,6,2,0,249.211547,-39.471231,149.000000,0,0.0977,-121.393000,5.352110,3,25,9,25,0,2,0,1,0
27,CATANA027,13,7,2,0,224.816984,-114.549975,149.000000,0,0.0977,-132.511000,5.291470,3,26,9,26,0,3,0,1,0
28,CATANA028,13,8,2,0,178.415769,-178.415769,149.000000,0,0.0977,-116.297000,5.123620,3,27,9,27,0,3,0,1,0
29,CATANA029,13,9,2,0,114.549975,-224.816984,149.000000,0,0.0977,-129.502000,5.234820,3,28,9,28,0,4,0,1,0
30,CATANA030,13,10,2,0,39.471231,-249.211547,149.000000,0,0.0977,-124.242000,5.158630,3,29,9,29,0,4,0,1,0
31,CATANA031,13,11,2,0,-39.471231,-249.211547,149.000000,0,0.0977,-124.183000,5.267720,3,30,9,30,0,5,0,1,0
32,CATANA032,13,12,2,0,-114.549975,-224.816984,149.000000,0,0.0977,-112.380000,5.064190,3,31,9,31,0,5,0,1,0
33,CATANA033,13,13,2,0,-178.415769,-178.415769,149.000000,0,0.0977,-129.200000,5.263060,4,0,9,32,0,6,0,1,0
34,CATANA034,13,14,2,0,-224.816984,-114.549975,149.000000,0,0.0977,-130.308000,5.235160,4,1,9,33,0,6,0,1,0
35,CATANA035,13,15,2,0,-249.211547,-39.471231,149.000000,0,0.0977,-124.748000,5.249290,4,2,9,34,0,7,0,1,0
36,CATANA036,13,16,2,0,-249.211547,39.471231,149.000000,0,0.0977,-135.401000,5.168910,4,3,9,35,0,7,0,1,0
37,CATANA037,13,17,2,0,-224.816984,114.549975,149.000000,0,0.0977,-127.664000,5.180940,4,4,9,36,0,8,0,1,0
38,CATANA038,13,18,2,0,-178.415769,178.415769,149.000000,0,0.0977,-140.289000,5.259870,4,5,9,37,0,8,0,1,0
39,CATANA039,13,19,2,0,-114.549975,224.816984,149.000000,0,0.0977,-118.807000,5.172920,4,6,9,38,0,9,0,1,0
40,CATANA040,13,20,2,0,-39.471231,249.211547,149.000000,0,0.0977,-129.975000,5.283560,4,7,9,39,0,9,0,1,0
41,CATANA041,13,1,3,0,39.339983,248.382876,197.500000,0,0.0977,-142.231000,5.336580,4,8,9,40,0,0,0,1,0
42,CATANA042,13,2,3,0,114.169077,224.069430,197.500000,0,0.0977,-134.645000,5.247560,4,9,9,41,0,0,0,1,0
43,CATANA043,13,3,3,0,177.822506,177.822506,197.500000,0,0.0977,-148.436000,5.277770,4,10,9,42,0,1,0,1,0
44,CATANA044,13,4,3,0,224.069430,114.169077,197.500000,0,0.0977,-126.248000,5.204640,4,11,9,43,0,1,0,1,0
45,CATANA045,13,5,3,0,248.382876,39.339983,197.500000,0,0.0977,-129.467000,5.188550,4,12,9,44,0,2,0,1,0
46,CATANA046,13,6,3,0,248.382876,-39.339983,197.500000,0,0.0977,-128.611000,5.192860,4,13,9,45,0,2,0,1,0
47,CATANA047,13,7,3,0,224.069430,-114.169077,197.500000,0,0.0977,-154.029000,5.405480,4,14,9,46,0,3,0,1,0
48,CATANA048,13,8,3,0,177.822506,-177.822506,197.500000,0,0.0977,-127.691000,5.200370,4,15,9,47,0,3,0,1,0
49,CATANA049,13,9,3,0,114.169077,-224.069430,197.500000,0,0.0977,-136.426000,5.324940,4,16,9,48,0,4,0,1,0
50,CATANA050,13,10,3,0,39.339983,-248.382876,197.500000,0,0.0977,-129.848000,5.599000,4,17,9,49,0,4,0,1,0
51,CATANA051,13,11,3,0,-39.339983,-248.382876,197.500000,0,0.0977,-145.095000,5.401730,4,18,9,50,0,5,0,1,0
52,CATANA052,13,12,3,0,-114.169077,-224.069430,197.500000,0,0.0977,-129.342000,5.174760,4,19,9,51,0,5,0,1,0
53,CATANA053,13,13,3,0,-177.822506,-177.822506,197.500000,0,0.0977,-149.122000,5.361430,4,20,9,52,0,6,0,1,0
54,CATANA054,13,14,3,0,-224.069430,-114.169077,197.500000,0,0.0977,-138.792000,5.327940,4,21,9,53,0,6,0,1,0
55,CATANA055,13,15,3,0,-248.382876,-39.339983,197.500000,0,0.0977,-144.690000,5.322140,4,22,9,54,0,7,0,1,0
56,CATANA056,13,16,3,0,-248.382876,39.339983,197.500000,0,0.0977,-135.368000,5.289280,4,23,9,55,0,7,0,1,0
57,CATANA057,13,17,3,0,-224.069430,114.169077,197.500000,0,0.0977,-128.778000,5.210820,4,24,9,56,0,8,0,1,0
58,CATANA058,13,18,3,0,-177.822506,177.822506,197.500000,0,0.0977,-133.669000,5.221660,4,25,9,57,0,8,0,1,0
59,CATANA059,13,19,3,0,-114.169077,224.069430,197.500000,0,0.0977,-126.350000,5.214960,4,26,9,58,0,9,0,1,0
60,CATANA060,13,20,3,0,-39.339983,248.382876,197.500000,0,0.0977,-140.033000,5.383950,4,27,9,59,0,9,0,1,0
61,CATANA061,13,1,4,0,37.407235,236.179987,242.500000,0,0.0977,-129.684000,5.275450,4,28,9,60,0,0,0,1,0
62,CATANA062,13,2,4,0,108.560024,213.061044,242.500000,0,0.0977,-138.628000,5.392980,4,29,9,61,0,0,0,1,0
63,CATANA063,13,3,4,0,169.086202,169.086202,242.500000,0,0.0977,-130.759000,5.245050,4,30,9,62,0,1,0,1,0
64,CATANA064,13,4,4,0,213.061044,108.560024,242.500000,0,0.0977,-123.640000,5.246380,4,31,9,63,0,1,0,1,0
65,CATANA065,13,5,4,0,236.179987,37.407235,242.500000,0,0.0977,-141.073000,5.179950,5,0,9,64,0,2,0,1,0
66,CATANA066,13,6,4,0,236.179987,-37.407235,242.500000,0,0.0977,-129.447000,5.245420,5,1,9,65,0,2,0,1,0
