FPL,Id,NAME,adc_ch,adc_geo,layer,qcal,qped,side,tcal,tdc_ch,tdc_geo,theta,toff,x_pos,y_pos,z_pos
13,1,NaI1,0,2,1,0.0189919,18.2473,right,0.0977,0,6,-136.64,-368.7,-6.08,-20.74,-8.59
13,2,NaI2,1,2,1,0.0172911,-78.8102,right,0.0977,1,6,-135.51,-370.9,-10.5,-18.19,-8.59
13,3,NaI3,2,2,1,0.0154399,-522.144,right,0.0977,2,6,-136.64,-371.8,-14.92,-15.64,-8.59
13,4,NaI4,3,2,1,0.0149372,-833.291,right,0.0977,3,6,-136.64,-372.9,-21,-5.1,-8.59
13,5,NaI5,4,2,1,0.015027,-689.243,right,0.0977,4,6,-135.51,-373.5,-21,0,-8.59
13,6,NaI6,5,2,1,0.016629,-300.45,right,0.0977,5,6,-136.64,-370.9,-21,5.1,-8.59
13,7,NaI7,6,2,1,0.0172043,-539.571,right,0.0977,6,6,-136.64,-367.4,-14.92,15.64,-8.59
13,8,NaI8,7,2,1,0.0162341,-714.309,right,0.0977,7,6,-135.51,-373.2,-10.5,18.19,-8.59
13,9,NaI9,9,2,1,0.0148103,-1166.93,right,0.0977,8,6,-136.64,-373.3,-6.08,20.74,-8.59
13,10,NaI10,16,2,1,0.0185612,-290.219,left,0.0977,16,6,-136.64,-366.4,6.08,20.74,-8.59
13,11,NaI11,17,2,1,0.0170286,-966.138,left,0.0977,17,6,-135.51,-370.7,10.5,18.19,-8.59
13,12,NaI12,18,2,1,0.0148377,-889.52,left,0.0977,18,6,-136.64,-372.9,14.92,15.64,-8.59
13,13,NaI13,19,2,1,0.0148094,-1035.46,left,0.0977,19,6,-136.64,-367,21,5.1,-8.59
13,14,NaI14,20,2,1,0.0155885,-580.538,left,0.0977,20,6,-135.51,-371.9,21,0,-8.59
13,15,NaI15,21,2,1,0.0172746,-295.826,left,0.0977,21,6,-136.64,-373.5,21,-5.1,-8.59
13,16,NaI16,22,2,1,0.0168584,-520.428,left,0.0977,22,6,-136.64,-371.3,14.92,-15.64,-8.59
13,17,NaI17,23,2,1,0.0137728,-1110.36,left,0.0977,23,6,-135.51,-372.8,10.5,-18.19,-8.59
13,18,NaI18,24,2,1,0.0158772,-554.621,left,0.0977,24,6,-136.64,-372.4,6.08,-20.74,-8.59
13,19,NaI19,0,1,2,0.0200161,-53.3167,right,0.0977,32,6,136.64,-371.6,-6.08,-20.74,8.59
13,20,NaI20,1,1,2,0.0155119,-1312.43,right,0.0977,33,6,135.51,-373.4,-10.5,-18.19,8.59
13,21,NaI21,2,1,2,0.0232906,794.609,right,0.0977,34,6,136.64,-372.9,-14.92,-15.64,8.59
13,22,NaI22,3,1,2,0.0122367,-2406.74,right,0.0977,35,6,136.64,-370.9,-21,-5.1,8.59
13,23,NaI23,4,1,2,0.0230417,433.752,right,0.0977,36,6,135.51,-372.6,-21,0,8.59
13,24,NaI24,5,1,2,0.0098698,-4172.08,right,0.0977,37,6,136.64,-371.7,-21,5.1,8.59
13,25,NaI25,6,1,2,0.0213684,307.558,right,0.0977,38,6,136.64,-370.9,-14.92,15.64,8.59
13,26,NaI26,7,1,2,0.0183788,-688.576,right,0.0977,39,6,135.51,-372.3,-10.5,18.19,8.59
13,27,NaI27,9,1,2,0.0206702,-198.264,right,0.0977,40,6,136.64,-368.5,-6.08,20.74,8.59
13,28,NaI28,16,1,2,0.0117571,-3753.6,left,0.0977,48,6,136.64,-369.8,6.08,20.74,8.59
13,29,NaI29,17,1,2,0.0133784,-2584.59,left,0.0977,49,6,135.51,-371.8,10.5,18.19,8.59
13,30,NaI30,18,1,2,0.0135139,-2655.04,left,0.0977,50,6,136.64,-371.4,14.92,15.64,8.59
13,31,NaI31,19,1,2,0.0105298,-3621.33,left,0.0977,51,6,136.64,-367.5,21,5.1,8.59
13,32,NaI32,20,1,2,0.017826,-34.0191,left,0.0977,52,6,135.51,-374.4,21,0,8.59
13,33,NaI33,21,1,2,0.0151346,-1144.68,left,0.0977,53,6,136.64,-374.1,21,-5.1,8.59
13,34,NaI34,22,1,2,0.0221061,589.574,left,0.0977,54,6,136.64,-375.1,14.92,-15.64,8.59
13,35,NaI35,23,1,2,0.016434,-951.289,left,0.0977,55,6,135.51,-374.5,10.5,-18.19,8.59
13,36,NaI36,24,1,2,0.0204205,297.475,left,0.0977,56,6,136.64,-375.2,6.08,-20.74,8.59
13,37,NaI37,31,50,3,1,0,NAN,0.0977,127,6,-999,-370.1,-999,-999,-999
