NAME	Id	FPL	layer	theta	x_pos	y_pos	z_pos	toff	tcal	qped	qcal	adc_geo	adc_ch	tdc_geo	tdc_ch
NaI0	0	8	2	119.83	-17.61	-17.01	-14.04	-367.9	0.0977	-189.662	3.19183	10	0	6	0
NaI1	1	8	2	119.79	-24.24	-3.64	-14.03	-368.7	0.0977	-302.002	3.50986	10	1	6	1
NaI2	2	8	2	119.92	-21.48	11.49	-14.01	-370.9	0.0977	143.91	2.84696	10	2	6	2
NaI3	3	8	2	119.94	-10.8	22.01	-14.12	-371.8	0.0977	-305.96	3.68047	10	3	6	3
NaI4	4	8	2	119.97	4.2	24.11	-14.11	-372.9	0.0977	-305.96	3.68047	10	4	6	4
NaI5	5	8	2	119.88	17.56	17.02	-14.05	-373.5	0.0977	-276.376	3.45035	10	5	6	5
NaI6	6	8	2	119.74	24.36	3.25	-14.04	-370.9	0.0977	-399.285	3.64582	10	6	6	6
NaI7	7	8	2	120.14	21.44	-11.48	-14.12	-367.4	0.0977	-481.77	3.84775	10	7	6	7
NaI8	8	8	2	119.9	10.7	-22.03	-14.08	-373.2	0.0977	-332.989	3.03424	10	8	6	8
NaI9	9	8	2	119.71	-3.99	-24.35	-14.08	-373.3	0.0977	-249.618	3.85822	10	9	6	9
NaI10	10	8	3	110.38	-11.07	-21.99	-9.15	-366.4	0.0977	-371.241	3.61455	10	10	6	10
NaI11	11	8	3	110.45	-21.82	-11.37	-9.17	-370.7	0.0977	-302.192	3.36224	10	11	6	11
NaI12	12	8	3	110.33	-24.36	3.7	-9.13	-372.9	0.0977	-628.469	4.02446	10	12	6	12
NaI13	13	8	3	110.5	-17.47	17.3	-9.19	-367	0.0977	-799.243	7.80975	10	13	6	13
NaI14	14	8	3	110.47	-4.08	24.26	-9.18	-371.9	0.0977	-346.631	2.91652	10	14	6	14
NaI15	15	8	3	110.34	11.09	21.91	-9.1	-373.5	0.0977	-273.815	2.80083	10	15	6	15
NaI16	16	8	3	110.33	21.89	11.4	-9.14	-371.3	0.0977	-346.104	3.83651	10	16	6	16
NaI17	17	8	3	110.54	24.29	-3.55	-9.2	-372.8	0.0977	-278.193	3.35506	10	17	6	17
NaI18	18	8	3	110.5	17.49	-17.25	-9.18	-372.4	0.0977	-295.442	3.69013	10	18	6	18
NaI19	19	8	3	110.3	3.98	-24.3	-9.11	-371.6	0.0977	-360.746	3.33952	10	19	6	19
NaI20	20	8	4	99.79	-16.96	-17.72	-4.23	-373.4	0.0977	-269.05	2.98375	10	20	6	20
NaI21	21	8	4	99.82	-24.09	-4.26	-4.24	-372.9	0.0977	-375.339	3.48734	10	21	6	21
NaI22	22	8	4	99.76	-22.11	10.73	-4.23	-370.9	0.0977	-437.572	3.5519	10	22	6	22
NaI23	23	8	4	99.96	-11.43	21.66	-4.3	-372.6	0.0977	-297.912	3.56147	10	23	6	23
NaI24	24	8	4	99.74	3.39	24.25	-4.2	-371.7	0.0977	-324.775	3.09055	10	24	6	24
NaI25	25	8	4	99.87	17.14	17.45	-4.25	-370.9	0.0977	-386.294	3.64244	10	25	6	25
NaI26	26	8	4	99.8	24.11	4.23	-4.23	-372.3	0.0977	-336.335	3.36678	10	26	6	26
NaI27	27	8	4	99.81	21.93	-10.85	-4.23	-368.5	0.0977	-279.182	3.46127	10	27	6	27
NaI28	28	8	4	99.8	11.31	-21.69	-4.22	-369.8	0.0977	-309.058	3.35004	10	28	6	28
NaI29	29	8	4	99.81	-3.38	-24.35	-4.25	-371.8	0.0977	-338.438	3.3826	10	29	6	29
NaI30	30	8	5	88.35	-10.68	-22.06	0.71	-371.4	0.0977	-371.056	3.2416	10	30	6	30
NaI31	31	8	5	88.29	-21.65	-11.63	0.73	-367.5	0.0977	-283.333	3.04957	10	31	6	31
NaI32	32	8	5	88.3	-24.12	3.54	0.73	-374.4	0.0977	-323.337	3.44488	11	0	6	32
NaI33	33	8	5	88.42	-17.83	16.9	0.68	-374.1	0.0977	-298.993	3.19946	11	1	6	33
NaI34	34	8	5	88.39	-4.21	24.14	0.69	-375.1	0.0977	-353.259	2.98754	11	2	6	34
NaI35	35	8	5	88.48	10.76	21.99	0.65	-374.5	0.0977	-356.446	3.29888	11	3	6	35
NaI36	36	8	5	88.31	21.62	11.24	0.72	-375.2	0.0977	-324.375	3.44266	11	4	6	36
NaI37	37	8	5	88.34	24.22	-3.42	0.71	-370.1	0.0977	-376.145	3.54411	11	5	6	37
NaI38	38	8	5	88.28	17.66	-16.99	0.74	-372.6	0.0977	-426.448	3.5007	11	6	6	38
NaI39	39	8	5	88.38	4.14	-24.11	0.69	-372.7	0.0977	-376.756	3.34947	11	7	6	39
NaI40	40	8	6	79.01	-15.56	-25	5.72	-372.9	0.0977	-389.334	3.32705	11	8	6	40
NaI41	41	8	6	79.25	-26.06	-14.28	5.64	-378.9	0.0977	-317.785	4.50179	11	9	6	41
NaI42	42	8	6	79.08	-29.49	0.98	5.69	-371.3	0.0977	-325.952	3.34819	11	10	6	42
NaI43	43	8	6	79.13	-24.99	15.81	5.68	-372.1	0.0977	-360.066	3.34226	11	11	6	43
NaI44	44	8	6	79.13	-13.65	26.15	5.66	-371.2	0.0977	-389.276	3.22175	11	12	6	44
NaI45	45	8	6	79.04	1.04	29.5	5.72	-372.1	0.0977	-379.076	3.26002	11	13	6	45
NaI46	46	8	6	79.01	15.61	25.08	5.74	-369	0.0977	-414.95	3.31502	11	14	6	46
NaI47	47	8	6	79.06	26.05	14.13	5.73	-370	0.0977	-319.742	3.35684	11	15	6	47
NaI48	48	8	6	79.13	29.45	-1.04	5.66	-371.8	0.0977	-207.63	3.03926	11	16	6	48
NaI49	49	8	6	79.05	24.94	-15.72	5.7	-377.5	0.0977	-375.95	3.3616	11	17	6	49
NaI50	50	8	6	79.07	13.61	-26.09	5.68	-374.4	0.0977	-359.954	3.509	11	18	6	50
NaI51	51	8	6	78.98	-1.48	-29.25	5.71	-373.3	0.0977	-370.241	3.03236	11	19	6	51
NaI52	52	8	7	72.22	-15.21	-29.28	10.58	-374.9	0.0977	-380.119	3.23126	11	20	6	52
NaI53	53	8	7	72.26	-26.54	-19.63	10.56	-375.4	0.0977	-517.384	3.58442	15	27	8	75
NaI54	54	8	7	72.11	-32.27	-5.8	10.58	-376.8	0.0977	-406.234	3.35749	11	22	6	54
NaI55	55	8	7	71.94	-31.59	8.66	10.68	-372.7	0.0977	-374.498	3.27414	11	23	6	55
NaI56	56	8	7	71.89	-24.42	21.64	10.67	-375.5	0.0977	-319.438	3.14887	11	24	6	56
NaI57	57	8	7	71.94	-13.35	30.09	10.74	-376.1	0.0977	-394.224	3.07092	11	25	6	57
