NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI1,1,13,1,119.79,-24.24,-3.64,-14.03,-368.7,0.0977,0,1,2,0,6,0
NaI2,2,13,1,119.92,-21.48,11.49,-14.01,-370.9,0.0977,0,1,2,1,6,1
NaI3,3,13,1,119.94,-10.8,22.01,-14.12,-371.8,0.0977,0,1,2,2,6,2
NaI4,4,13,1,119.97,4.2,24.11,-14.11,-372.9,0.0977,0,1,2,3,6,3
NaI5,5,13,1,119.88,17.56,17.02,-14.05,-373.5,0.0977,0,1,2,4,6,4
NaI6,6,13,1,119.74,24.36,3.25,-14.04,-370.9,0.0977,0,1,2,5,6,5
NaI7,7,13,1,120.14,21.44,-11.48,-14.12,-367.4,0.0977,0,1,2,6,6,6
NaI8,8,13,1,119.9,10.7,-22.03,-14.08,-373.2,0.0977,0,1,2,7,6,7
NaI9,9,13,1,119.71,-3.99,-24.35,-14.08,-373.3,0.0977,0,1,2,9,6,8
NaI10,10,13,1,110.38,-11.07,-21.99,-9.15,-366.4,0.0977,0,1,2,16,6,16
NaI11,11,13,1,110.45,-21.82,-11.37,-9.17,-370.7,0.0977,0,1,2,17,6,17
NaI12,12,13,1,110.33,-24.36,3.7,-9.13,-372.9,0.0977,0,1,2,18,6,18
NaI13,13,13,1,110.5,-17.47,17.3,-9.19,-367,0.0977,0,1,2,19,6,19
NaI14,14,13,1,110.47,-4.08,24.26,-9.18,-371.9,0.0977,0,1,2,20,6,20
NaI15,15,13,1,110.34,11.09,21.91,-9.1,-373.5,0.0977,0,1,2,21,6,21
NaI16,16,13,1,110.33,21.89,11.4,-9.14,-371.3,0.0977,0,1,2,22,6,22
NaI17,17,13,1,110.54,24.29,-3.55,-9.2,-372.8,0.0977,0,1,2,23,6,23
NaI18,18,13,1,110.5,17.49,-17.25,-9.18,-372.4,0.0977,0,1,2,24,6,24
NaI19,19,13,2,110.3,3.98,-24.3,-9.11,-371.6,0.0977,0,1,1,0,6,32
NaI20,20,13,2,99.79,-16.96,-17.72,-4.23,-373.4,0.0977,0,1,1,1,6,33
NaI21,21,13,2,99.82,-24.09,-4.26,-4.24,-372.9,0.0977,0,1,1,2,6,34
NaI22,22,13,2,99.76,-22.11,10.73,-4.23,-370.9,0.0977,0,1,1,3,6,35
NaI23,23,13,2,99.96,-11.43,21.66,-4.3,-372.6,0.0977,0,1,1,4,6,36
NaI24,24,13,2,99.74,3.39,24.25,-4.2,-371.7,0.0977,0,1,1,5,6,37
NaI25,25,13,2,99.87,17.14,17.45,-4.25,-370.9,0.0977,0,1,1,6,6,38
NaI26,26,13,2,99.8,24.11,4.23,-4.23,-372.3,0.0977,0,1,1,7,6,39
NaI27,27,13,2,99.81,21.93,-10.85,-4.23,-368.5,0.0977,0,1,1,9,6,40
NaI28,28,13,2,99.8,11.31,-21.69,-4.22,-369.8,0.0977,0,1,1,16,6,48
NaI29,29,13,2,99.81,-3.38,-24.35,-4.25,-371.8,0.0977,0,1,1,17,6,49
NaI30,30,13,2,88.35,-10.68,-22.06,0.71,-371.4,0.0977,0,1,1,18,6,50
NaI31,31,13,2,88.29,-21.65,-11.63,0.73,-367.5,0.0977,0,1,1,19,6,51
NaI32,32,13,2,88.3,-24.12,3.54,0.73,-374.4,0.0977,0,1,1,20,6,52
NaI33,33,13,2,88.42,-17.83,16.9,0.68,-374.1,0.0977,0,1,1,21,6,53
NaI34,34,13,2,88.39,-4.21,24.14,0.69,-375.1,0.0977,0,1,1,22,6,54
NaI35,35,13,2,88.48,10.76,21.99,0.65,-374.5,0.0977,0,1,1,23,6,55
NaI36,36,13,2,88.31,21.62,11.24,0.72,-375.2,0.0977,0,1,1,24,6,56
NaI37,37,13,3,88.34,-999,-999,-999,-370.1,0.0977,0,1,50,31,6,127
