NAME,Id,FPL,layer,side,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI1,1,13,1,right,-136.64,-6.08,-20.74,-8.59,-368.7,0.0977,76,1,2,0,6,0
NaI2,2,13,1,right,-135.51,-10.50,-18.19,-8.59,-370.9,0.0977,95.4,1,2,1,6,1
NaI3,3,13,1,right,-136.64,-14.92,-15.64,-8.59,-371.8,0.0977,90.3,1,2,2,6,2
NaI4,4,13,1,right,-136.64,-21.00,-5.10,-8.59,-372.9,0.0977,89.6,1,2,3,6,3
NaI5,5,13,1,right,-135.51,-21.00,0.00,-8.59,-373.5,0.0977,70.6,1,2,4,6,4
NaI6,6,13,1,right,-136.64,-21.00,5.10,-8.59,-370.9,0.0977,76,1,2,5,6,5
NaI7,7,13,1,right,-136.64,-14.92,15.64,-8.59,-367.4,0.0977,87.8,1,2,6,6,6
NaI8,8,13,1,right,-135.51,-10.50,18.19,-8.59,-373.2,0.0977,87.5,1,2,7,6,7
NaI9,9,13,1,right,-136.64,-6.08,20.74,-8.59,-373.3,0.0977,124,1,2,9,6,8
NaI10,10,13,1,left,-136.64,6.08,20.74,-8.59,-366.4,0.0977,84.2,1,2,16,6,16
NaI11,11,13,1,left,-135.51,10.50,18.19,-8.59,-370.7,0.0977,75.3,1,2,17,6,17
NaI12,12,13,1,left,-136.64,14.92,15.64,-8.59,-372.9,0.0977,88.5,1,2,18,6,18
NaI13,13,13,1,left,-136.64,21.00,5.10,-8.59,-367,0.0977,82,1,2,19,6,19
NaI14,14,13,1,left,-135.51,21.00,0.00,-8.59,-371.9,0.0977,77.1,1,2,20,6,20
NaI15,15,13,1,left,-136.64,21.00,-5.10,-8.59,-373.5,0.0977,70.6,1,2,21,6,21
NaI16,16,13,1,left,-136.64,14.92,-15.64,-8.59,-371.3,0.0977,82.4,1,2,22,6,22
NaI17,17,13,1,left,-135.51,10.50,-18.19,-8.59,-372.8,0.0977,83.9,1,2,23,6,23
NaI18,18,13,1,left,-136.64,6.08,-20.74,-8.59,-372.4,0.0977,79.2,1,2,24,6,24
NaI19,19,13,2,right,136.64,-6.08,-20.74,8.59,-371.6,0.0977,92.8,1,1,0,6,32
NaI20,20,13,2,right,135.51,-10.50,-18.19,8.59,-373.4,0.0977,78.9,1,1,1,6,33
NaI21,21,13,2,right,136.64,-14.92,-15.64,8.59,-372.9,0.0977,85.3,1,1,2,6,34
NaI22,22,13,2,right,136.64,-21.00,-5.10,8.59,-370.9,0.0977,85,1,1,3,6,35
NaI23,23,13,2,right,135.51,-21.00,0.00,8.59,-372.6,0.0977,72.4,1,1,4,6,36
NaI24,24,13,2,right,136.64,-21.00,5.10,8.59,-371.7,0.0977,81.4,1,1,5,6,37
NaI25,25,13,2,right,136.64,-14.92,15.64,8.59,-370.9,0.0977,81,1,1,6,6,38
NaI26,26,13,2,right,135.51,-10.50,18.19,8.59,-372.3,0.0977,76,1,1,7,6,39
NaI27,27,13,2,right,136.64,-6.08,20.74,8.59,-368.5,0.0977,76.4,1,1,9,6,40
NaI28,28,13,2,left,136.64,6.08,20.74,8.59,-369.8,0.0977,99.3,1,1,16,6,48
NaI29,29,13,2,left,135.51,10.50,18.19,8.59,-371.8,0.0977,79.6,1,1,17,6,49
NaI30,30,13,2,left,136.64,14.92,15.64,8.59,-371.4,0.0977,93.6,1,1,18,6,50
NaI31,31,13,2,left,136.64,21.00,5.10,8.59,-367.5,0.0977,83.9,1,1,19,6,51
NaI32,32,13,2,left,135.51,21.00,0.00,8.59,-374.4,0.0977,88.5,1,1,20,6,52
NaI33,33,13,2,left,136.64,21.00,-5.10,8.59,-374.1,0.0977,76.4,1,1,21,6,53
NaI34,34,13,2,left,136.64,14.92,-15.64,8.59,-375.1,0.0977,103.6,1,1,22,6,54
NaI35,35,13,2,left,135.51,10.50,-18.19,8.59,-374.5,0.0977,71.7,1,1,23,6,55
NaI36,36,13,2,left,136.64,6.08,-20.74,8.59,-375.2,0.0977,71.7,1,1,24,6,56
NaI37,37,13,3,NAN,-999,-999,-999,-999,-370.1,0.0977,0,1,50,31,6,127
