NAME,FPL,layer,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI01,13,1,0,0.0,0.0,1.000,6,1,17,1
NaI02,13,1,0,0.0,0.0,1.000,6,2,17,2
NaI03,13,1,0,0.0,0.0,1.000,6,3,17,3
NaI04,13,1,0,0.0,0.0,1.000,6,4,17,4
NaI05,13,1,0,0.0,0.0,1.000,6,5,17,5
NaI06,13,1,0,0.0,0.0,1.000,6,6,17,6
NaI07,13,1,0,0.0,0.0,1.000,6,7,17,7
NaI08,13,1,0,0.0,0.0,1.000,6,8,17,8
NaI09,13,1,0,0.0,0.0,1.000,6,15,17,15
NaI10,13,1,0,0.0,0.0,1.000,6,10,17,10
NaI11,13,1,0,0.0,0.0,1.000,6,11,17,11
NaI12,13,1,0,0.0,0.0,1.000,6,12,17,12
NaI13,13,1,0,0.0,0.0,1.000,6,13,17,13
NaI14,13,1,0,0.0,0.0,1.000,6,14,17,14
NaI15,13,2,0,0.0,0.0,1.000,6,16,17,16
NaI16,13,2,0,0.0,0.0,1.000,6,17,17,17
NaI17,13,2,0,0.0,0.0,1.000,6,18,17,18
NaI18,13,2,0,0.0,0.0,1.000,6,19,17,19
NaI19,13,2,0,0.0,0.0,1.000,6,20,17,20
NaI20,13,2,0,0.0,0.0,1.000,6,21,17,21
NaI21,13,2,0,0.0,0.0,1.000,6,22,17,22
NaI22,13,2,0,0.0,0.0,1.000,6,23,17,23
NaI23,13,2,0,0.0,0.0,1.000,6,24,17,24
NaI24,13,2,0,0.0,0.0,1.000,6,25,17,25
NaI25,13,2,0,0.0,0.0,1.000,6,26,17,26
NaI26,13,2,0,0.0,0.0,1.000,6,30,17,27
NaI27,13,2,0,0.0,0.0,1.000,6,28,17,28
NaI28,13,2,0,0.0,0.0,1.000,6,29,17,29
