NAME,FPL,layer,id_plane,wireid,wireang,wirez,toffset,det,geo,ch
RDCX1L01,13,1,17,1,90.,-3.0,1350.,56,6,0
RDCX1L02,13,1,17,2,90.,-3.0,1350.,56,6,1
RDCX1L03,13,1,17,3,90.,-3.0,1350.,56,6,2
RDCX1L04,13,1,17,4,90.,-3.0,1350.,56,6,3
RDCX1L05,13,1,17,5,90.,-3.0,1350.,56,6,4
RDCX1L06,13,1,17,6,90.,-3.0,1350.,56,6,5
RDCX1L07,13,1,17,7,90.,-3.0,1350.,56,6,6
RDCX1L08,13,1,17,8,90.,-3.0,1350.,56,6,7
RDCX1L09,13,1,17,9,90.,-3.0,1350.,56,6,8
RDCX1L10,13,1,17,10,90.,-3.0,1350.,56,6,9
RDCX1L11,13,1,17,11,90.,-3.0,1350.,56,6,10
RDCX1L12,13,1,17,12,90.,-3.0,1350.,56,6,11
RDCX1L13,13,1,17,13,90.,-3.0,1350.,56,6,12
RDCX1L14,13,1,17,14,90.,-3.0,1350.,56,6,13
RDCX1L15,13,1,17,15,90.,-3.0,1350.,56,6,14
RDCX1L16,13,1,17,16,90.,-3.0,1350.,56,6,15
RDCX1L17,13,1,17,17,90.,-3.0,1350.,56,6,16
RDCX1L18,13,1,17,18,90.,-3.0,1350.,56,6,17
RDCX1L19,13,1,17,19,90.,-3.0,1350.,56,6,18
RDCX1L20,13,1,17,20,90.,-3.0,1350.,56,6,19
RDCX1L21,13,1,17,21,90.,-3.0,1350.,56,6,20
RDCX1L22,13,1,17,22,90.,-3.0,1350.,56,6,21
RDCX1L23,13,1,17,23,90.,-3.0,1350.,56,6,22
RDCX1L24,13,1,17,24,90.,-3.0,1350.,56,6,23
RDCX1L25,13,1,17,25,90.,-3.0,1350.,56,6,24
RDCX1L26,13,1,17,26,90.,-3.0,1350.,56,6,25
RDCX1L27,13,1,17,27,90.,-3.0,1350.,56,6,26
RDCX1L28,13,1,17,28,90.,-3.0,1350.,56,6,27
RDCX1L29,13,1,17,29,90.,-3.0,1350.,56,6,28
RDCX1L30,13,1,17,30,90.,-3.0,1350.,56,6,29
RDCX1L31,13,1,17,31,90.,-3.0,1350.,56,6,30
RDCX1L32,13,1,17,32,90.,-3.0,1350.,56,6,31
RDCX2L01,13,2,18,1,90.,-1.0,1350.,56,0,0
RDCX2L02,13,2,18,2,90.,-1.0,1350.,56,0,1
RDCX2L03,13,2,18,3,90.,-1.0,1350.,56,0,2
RDCX2L04,13,2,18,4,90.,-1.0,1350.,56,0,3
RDCX2L05,13,2,18,5,90.,-1.0,1350.,56,0,4
RDCX2L06,13,2,18,6,90.,-1.0,1350.,56,0,5
RDCX2L07,13,2,18,7,90.,-1.0,1350.,56,0,6
RDCX2L08,13,2,18,8,90.,-1.0,1350.,56,0,7
RDCX2L09,13,2,18,9,90.,-1.0,1350.,56,0,8
RDCX2L10,13,2,18,10,90.,-1.0,1350.,56,0,9
