ID,NAME,FPL,t_off,t_cal,efn1,efn2,efn3,efnv,t_det,t1_geo,t1_ch,t2_geo,t2_ch,t3_geo,t3_ch,t1e_geo,t1e_ch,t2e_geo,t2e_ch,t3e_geo,t3e_ch,t1e_trail_geo,t1e_trail_ch,t2e_trail_geo,t2e_trail_ch,t3e_trail_geo,t3e_trail_ch,a1e_geo,a1e_ch,a2e_geo,a2e_ch,a3e_geo,a3e_ch,Ped1,Ped2,Ped3,p10,p11,p12,p13,p14,p15,p16,p17,p20,p21,p22,p23,p24,p25,p26,p27,p30,p31,p32,p33,p34,p35,p36,p37
1,FSD1,12,-9.80066,0.0312493,98,98,-1,99,50,9,1,10,1,-1,-1,2,0,2,32,-1,-1,3,0,3,32,-1,-1,1,0,1,32,-1,-1,833.116,850.132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,FSD2,12,-0.609375,0.03125,98,98,-1,99,50,9,2,10,2,-1,-1,2,1,2,33,-1,-1,3,1,3,33,-1,-1,1,1,1,33,-1,-1,836.026,849.802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,FSD3,12,-0.23781,0.0312505,98,98,-1,99,50,9,3,10,3,-1,-1,2,2,2,34,-1,-1,3,2,3,34,-1,-1,1,2,1,34,-1,-1,844.563,842.68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,FSD4,12,-0.609375,0.03125,98,98,-1,99,50,9,4,10,4,-1,-1,2,3,2,35,-1,-1,3,3,3,35,-1,-1,1,3,1,35,-1,-1,837.186,842.181,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,FSD5,12,-9.92187,0.03125,98,98,-1,99,50,9,5,10,5,-1,-1,2,4,2,36,-1,-1,3,4,3,36,-1,-1,1,4,1,36,-1,-1,838.917,847.044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,FSD6,12,-0.213431,0.0312516,98,98,-1,99,50,9,6,10,6,-1,-1,2,5,2,37,-1,-1,3,5,3,37,-1,-1,1,5,1,37,-1,-1,843.543,839.375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,FSD7,12,-9.54687,0.03125,98,98,-1,99,50,9,7,10,7,-1,-1,2,6,2,38,-1,-1,3,6,3,38,-1,-1,1,6,1,38,-1,-1,837.904,848.46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,FSD8,12,-9.82812,0.03125,98,98,-1,99,50,9,8,10,8,-1,-1,2,7,2,39,-1,-1,3,7,3,39,-1,-1,1,7,1,39,-1,-1,844.949,846.327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,FSD9,12,-9.16425,0.0312514,98,98,-1,99,50,9,9,10,9,-1,-1,2,8,2,40,-1,-1,3,8,3,40,-1,-1,1,8,1,40,-1,-1,839.764,847.266,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,FSD10,12,-9.73437,0.03125,98,98,-1,99,50,9,10,10,10,-1,-1,2,9,2,41,-1,-1,3,9,3,41,-1,-1,1,9,1,41,-1,-1,835.393,847.191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,FSD11,12,-9.42187,0.03125,98,98,-1,99,50,9,11,10,11,-1,-1,2,10,2,42,-1,-1,3,10,3,42,-1,-1,1,10,1,42,-1,-1,836.013,850.581,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,FSD12,12,-9.60693,0.0312551,98,98,-1,99,50,9,12,10,12,-1,-1,2,11,2,43,-1,-1,3,11,3,43,-1,-1,1,11,1,43,-1,-1,842.981,853.39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,FSD13,12,-0.197635,0.0312521,98,98,-1,99,50,9,13,10,13,-1,-1,2,12,2,44,-1,-1,3,12,3,44,-1,-1,1,12,1,44,-1,-1,845.479,848.797,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,FSD14,12,-0.671875,0.03125,98,98,-1,99,50,9,17,10,17,-1,-1,2,16,2,48,-1,-1,3,16,3,48,-1,-1,1,16,1,48,-1,-1,841.396,854.139,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,FSD15,12,-0.189052,0.0312527,98,98,-1,99,50,9,18,10,18,-1,-1,2,17,2,49,-1,-1,3,17,3,49,-1,-1,1,17,1,49,-1,-1,838.517,840.031,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,FSD16,12,-0.478905,0.0312521,98,98,-1,99,50,9,19,10,19,-1,-1,2,18,2,50,-1,-1,3,18,3,50,-1,-1,1,18,1,50,-1,-1,839.897,848.197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
