ID,NAME,FPL,t_off,t_cal,efn1,efn2,efn3,efnv,t_det,t1_geo,t1_ch,t2_geo,t2_ch,t3_geo,t3_ch,t1e_geo,t1e_ch,t2e_geo,t2e_ch,t3e_geo,t3e_ch,t1e_trail_geo,t1e_trail_ch,t2e_trail_geo,t2e_trail_ch,t3e_trail_geo,t3e_trail_ch,a1e_geo,a1e_ch,a2e_geo,a2e_ch,a3e_geo,a3e_ch,Ped1,Ped2,Ped3
1,FSD1,12,-9.80066,0.0312493,98,98,-1,99,50,9,1,10,1,-1,-1,2,0,2,32,-1,-1,3,0,3,32,-1,-1,1,0,1,32,-1,-1,833.116,850.132,-1
2,FSD2,12,-0.609375,0.03125,98,98,-1,99,50,9,2,10,2,-1,-1,2,1,2,33,-1,-1,3,1,3,33,-1,-1,1,1,1,33,-1,-1,836.026,849.802,-1
3,FSD3,12,-0.23781,0.0312505,98,98,-1,99,50,9,3,10,3,-1,-1,2,2,2,34,-1,-1,3,2,3,34,-1,-1,1,2,1,34,-1,-1,844.563,842.68,-1
4,FSD4,12,-0.609375,0.03125,98,98,-1,99,50,9,4,10,4,-1,-1,2,3,2,35,-1,-1,3,3,3,35,-1,-1,1,3,1,35,-1,-1,837.186,842.181,-1
5,FSD5,12,-9.92187,0.03125,98,98,-1,99,50,9,5,10,5,-1,-1,2,4,2,36,-1,-1,3,4,3,36,-1,-1,1,4,1,36,-1,-1,838.917,847.044,-1
6,FSD6,12,-0.213431,0.0312516,98,98,-1,99,50,9,6,10,6,-1,-1,2,5,2,37,-1,-1,3,5,3,37,-1,-1,1,5,1,37,-1,-1,843.543,839.375,-1
7,FSD7,12,-9.54687,0.03125,98,98,-1,99,50,9,7,10,7,-1,-1,2,6,2,38,-1,-1,3,6,3,38,-1,-1,1,6,1,38,-1,-1,837.904,848.46,-1
8,FSD8,12,-9.82812,0.03125,98,98,-1,99,50,9,8,10,8,-1,-1,2,7,2,39,-1,-1,3,7,3,39,-1,-1,1,7,1,39,-1,-1,844.949,846.327,-1
9,FSD9,12,-9.16425,0.0312514,98,98,-1,99,50,9,9,10,9,-1,-1,2,8,2,40,-1,-1,3,8,3,40,-1,-1,1,8,1,40,-1,-1,839.764,847.266,-1
10,FSD10,12,-9.73437,0.03125,98,98,-1,99,50,9,10,10,10,-1,-1,2,9,2,41,-1,-1,3,9,3,41,-1,-1,1,9,1,41,-1,-1,835.393,847.191,-1
11,FSD11,12,-9.42187,0.03125,98,98,-1,99,50,9,11,10,11,-1,-1,2,10,2,42,-1,-1,3,10,3,42,-1,-1,1,10,1,42,-1,-1,836.013,850.581,-1
12,FSD12,12,-9.60693,0.0312551,98,98,-1,99,50,9,12,10,12,-1,-1,2,11,2,43,-1,-1,3,11,3,43,-1,-1,1,11,1,43,-1,-1,842.981,853.39,-1
13,FSD13,12,-0.197635,0.0312521,98,98,-1,99,50,9,13,10,13,-1,-1,2,12,2,44,-1,-1,3,12,3,44,-1,-1,1,12,1,44,-1,-1,845.479,848.797,-1
14,FSD14,12,-0.671875,0.03125,98,98,-1,99,50,9,17,10,17,-1,-1,2,16,2,48,-1,-1,3,16,3,48,-1,-1,1,16,1,48,-1,-1,841.396,854.139,-1
15,FSD15,12,-0.189052,0.0312527,98,98,-1,99,50,9,18,10,18,-1,-1,2,17,2,49,-1,-1,3,17,3,49,-1,-1,1,17,1,49,-1,-1,838.517,840.031,-1
16,FSD16,12,-0.478905,0.0312521,98,98,-1,99,50,9,19,10,19,-1,-1,2,18,2,50,-1,-1,3,18,3,50,-1,-1,1,18,1,50,-1,-1,839.897,848.197,-1
17,FSD17,12,-2.02602,0.0312516,98,98,-1,99,50,9,20,10,20,-1,-1,2,19,2,51,-1,-1,3,19,3,51,-1,-1,1,19,1,51,-1,-1,839.41,844.303,-1
18,FSD18,12,-1.93629,0.03125,98,98,-1,99,50,9,21,10,21,-1,-1,2,20,2,52,-1,-1,3,20,3,52,-1,-1,1,20,1,52,-1,-1,837.33,849.242,-1
19,FSD19,12,-1.60937,0.03125,98,98,-1,99,50,9,22,10,22,-1,-1,2,21,2,53,-1,-1,3,21,3,53,-1,-1,1,21,1,53,-1,-1,846.158,843.15,-1
20,FSD20,12,-1.64062,0.03125,98,98,-1,99,50,9,23,10,23,-1,-1,2,22,2,54,-1,-1,3,22,3,54,-1,-1,1,22,1,54,-1,-1,837.125,840.932,-1
21,FSD21,12,-1.02602,1.0312516,98,98,-1,99,50,9,24,10,24,-1,-1,2,23,2,55,-1,-1,3,23,3,55,-1,-1,1,23,1,55,-1,-1,835.728,838.68,-1
22,FSD22,12,-0.93629,1.03125,98,98,-1,99,50,9,25,10,25,-1,-1,2,24,2,56,-1,-1,3,24,3,56,-1,-1,1,24,1,56,-1,-1,839.151,843.721,-1
23,FSD23,12,-0.60937,1.03125,98,98,-1,99,50,9,26,10,26,-1,-1,2,25,2,57,-1,-1,3,25,3,57,-1,-1,1,25,1,57,-1,-1,837.977,847.033,-1
24,FSD24,12,-0.64062,1.03125,98,98,-1,99,50,9,27,10,27,-1,-1,2,26,2,58,-1,-1,3,26,3,58,-1,-1,1,26,1,58,-1,-1,836.787,845.552,-1
25,FSD25,12,-0.02602,2.0312516,98,98,-1,99,50,9,28,10,28,-1,-1,2,27,2,59,-1,-1,3,27,3,59,-1,-1,1,27,1,59,-1,-1,844.128,842.884,-1
26,FSD26,12,0.06371,2.03125,98,98,-1,99,50,9,29,10,29,-1,-1,2,28,2,60,-1,-1,3,28,3,60,-1,-1,1,28,1,60,-1,-1,843.476,838.397,-1
27,BSDdE1,12,0.39063,2.03125,164,164,-1,99,50,9,65,9,99,-1,-1,2,0,2,34,-1,-1,3,0,3,34,-1,-1,1,0,1,34,-1,-1,825.1,835.9,-1
28,BSDdE2,12,0.35938,2.03125,164,164,-1,99,50,9,66,9,100,-1,-1,2,1,2,35,-1,-1,3,1,3,35,-1,-1,1,1,1,35,-1,-1,824.2,838.9,-1
29,BSDdE3,12,0.97398,3.0312516,164,164,-1,99,50,9,67,9,101,-1,-1,2,2,2,36,-1,-1,3,2,3,36,-1,-1,1,2,1,36,-1,-1,821.4,831.7,-1
