ID,PosX,PosY,PosZ
1,1908,-35.4,9784
2,1785.6,-35.4,9784
3,1663.2,-35.4,9784
4,1540.8,-35.4,9784
5,1418.4,-35.4,9784
6,1296,-35.4,9784
7,1173.6,-35.4,9784
8,1051.2,-35.4,9784
9,928.8,-35.4,9784
10,806.4,-35.4,9784
11,684,-35.4,9784
12,561.6,-35.4,9784
13,439.2,-35.4,9784
14,316.8,-35.4,9784
15,194.4,-35.4,9784
16,72,-35.4,9784
17,-50.4,-35.4,9784
18,-172.8,-35.4,9784
19,-295.2,-35.4,9784
20,-417.6,-35.4,9784
21,-540,-35.4,9784
22,-662.4,-35.4,9784
23,-784.8,-35.4,9784
24,-907.2,-35.4,9784
25,-1029.6,-35.4,9784
26,-1152,-35.4,9784
27,-1274.4,-35.4,9784
28,-1396.8,-35.4,9784
29,-1519.2,-35.4,9784
30,-1641.6,-35.4,9784
31,1908,-14.6,9914
32,1785.6,-14.6,9914
33,1663.2,-14.6,9914
34,1540.8,-14.6,9914
35,1418.4,-14.6,9914
36,1296,-14.6,9914
37,1173.6,-14.6,9914
38,1051.2,-14.6,9914
39,928.8,-14.6,9914
40,806.4,-14.6,9914
41,684,-14.6,9914
42,561.6,-14.6,9914
43,439.2,-14.6,9914
44,316.8,-14.6,9914
45,194.4,-14.6,9914
46,72,-14.6,9914
47,-50.4,-14.6,9914
48,-172.8,-14.6,9914
49,-295.2,-14.6,9914
50,-417.6,-14.6,9914
51,-540,-14.6,9914
52,-662.4,-14.6,9914
53,-784.8,-14.6,9914
54,-907.2,-14.6,9914
55,-1029.6,-14.6,9914
56,-1152,-14.6,9914
57,-1274.4,-14.6,9914
58,-1396.8,-14.6,9914
59,-1519.2,-14.6,9914
60,-1641.6,-14.6,9914
61,1908,-23.4,10634.3
62,1785.6,-23.4,10634.3
63,1663.2,-23.4,10634.3
64,1540.8,-23.4,10634.3
65,1418.4,-23.4,10634.3
66,1296,-23.4,10634.3
67,1173.6,-23.4,10634.3
68,1051.2,-23.4,10634.3
69,928.8,-23.4,10634.3
70,806.4,-23.4,10634.3
71,684,-23.4,10634.3
72,561.6,-23.4,10634.3
73,439.2,-23.4,10634.3
74,316.8,-23.4,10634.3
75,194.4,-23.4,10634.3
76,72,-23.4,10634.3
77,-50.4,-23.4,10634.3
78,-172.8,-23.4,10634.3
79,-295.2,-23.4,10634.3
80,-417.6,-23.4,10634.3
81,-540,-23.4,10634.3
82,-662.4,-23.4,10634.3
83,-784.8,-23.4,10634.3
84,-907.2,-23.4,10634.3
85,-1029.6,-23.4,10634.3
86,-1152,-23.4,10634.3
87,-1274.4,-23.4,10634.3
88,-1396.8,-23.4,10634.3
89,-1519.2,-23.4,10634.3
90,-1641.6,-23.4,10634.3
91,1908,-23.6,10764.3
92,1785.6,-23.6,10764.3
93,1663.2,-23.6,10764.3
94,1540.8,-23.6,10764.3
95,1418.4,-23.6,10764.3
96,1296,-23.6,10764.3
97,1173.6,-23.6,10764.3
98,1051.2,-23.6,10764.3
99,928.8,-23.6,10764.3
100,806.4,-23.6,10764.3
101,684,-23.6,10764.3
102,561.6,-23.6,10764.3
103,439.2,-23.6,10764.3
104,316.8,-23.6,10764.3
105,194.4,-23.6,10764.3
106,72,-23.6,10764.3
107,-50.4,-23.6,10764.3
108,-172.8,-23.6,10764.3
109,-295.2,-23.6,10764.3
110,-417.6,-23.6,10764.3
111,-540,-23.6,10764.3
112,-662.4,-23.6,10764.3
113,-784.8,-23.6,10764.3
114,-907.2,-23.6,10764.3
115,-1029.6,-23.6,10764.3
116,-1152,-23.6,10764.3
117,-1274.4,-23.6,10764.3
118,-1396.8,-23.6,10764.3
119,-1519.2,-23.6,10764.3
120,-1641.6,-23.6,10764.3
121,1838.2,0,9509
122,1528.2,0,9524
123,1218.2,0,9509
124,908.2,0,9524
125,598.2,0,9509
126,288.2,0,9524
127,-21.8,0,9509
128,-331.8,0,9524
129,-641.8,0,9509
130,-951.8,0,9524
131,-1261.8,0,9509
132,-1571.8,0,9524
133,1838.2,0,10359.3
134,1528.2,0,10374.3
135,1218.2,0,10359.3
136,908.2,0,10374.3
137,598.2,0,10359.3
138,288.2,0,10374.3
139,-21.8,0,10359.3
140,-331.8,0,10374.3
141,-641.8,0,10359.3
142,-951.8,0,10374.3
143,-1261.8,0,10359.3
144,-1571.8,0,10374.3
145,0,0,0
