NAME,FPL,direction,layer,bar,qcal0,qped0,tdc0ns0,tdc25ns0,tdc0ns0_t17,tdc25ns0_t17,qcal1,qped1,tdc0ns1,tdc25ns1,tdc0ns1_t17,tdc25ns1_t17,tdiff_offset,sync_offset,vscint,ediff_offset,esync_offset,att,crate0,module0,channel0,sam0,gtb0,crate1,module1,channel1,sam1,gtb1,zpos
NeuLANDPla0H-0,13,H,0,0,1,46,1178,3284,1141,3281,1,36,1203,3278,1154,3276,45.5521,-13.9147,8.37529,1.01314,0.0628646,358.252,1,9,11,6,0,4,2,1,5,1,11165
NeuLANDPla0H-1,13,H,0,1,1,9,1326,3277,1141,3281,1,32,1126,3278,1154,3276,46.3697,-13.9926,8.36881,1.01437,0.0622644,400.882,1,9,10,6,0,4,2,0,5,1,11165
NeuLANDPla0H-2,13,H,0,2,1,12,1177,3271,1141,3281,1,21,1216,3273,1154,3276,45.2025,-14.1194,8.36463,1.04701,0.0612233,456.488,1,9,9,6,0,4,2,15,5,1,11165
NeuLANDPla0H-3,13,H,0,3,1,12,1214,3282,1141,3281,1,75,1156,3270,1154,3276,44.5022,-13.692,8.31139,1.02338,0.0627807,409.041,1,9,8,6,0,4,2,14,5,1,11165
NeuLANDPla0H-4,13,H,0,4,1,14,1307,3280,1236,3288,1,56,1159,3261,1154,3276,48.4013,-12.0476,8.29527,1.00523,0.0615061,459.496,1,10,7,6,0,4,2,13,5,1,11165
NeuLANDPla0H-5,13,H,0,5,1,36,1341,3261,1236,3288,1,25,1172,3275,1154,3276,48.6087,-11.7573,8.30041,1.03071,0.0629415,462.131,1,10,6,6,0,4,2,12,5,1,11165
NeuLANDPla0H-6,13,H,0,6,1,14,1282,3279,1236,3288,1,69,1218,3270,1154,3276,47.6916,-11.5881,8.23049,1.00602,0.0619865,452.482,1,10,5,6,0,4,2,11,5,1,11165
NeuLANDPla0H-7,13,H,0,7,1,11,1355,3259,1236,3288,1,70,1197,3270,1154,3276,48.0039,-12.4072,8.23793,1.00499,0.0615,379.249,1,10,4,6,0,4,2,10,5,1,11165
NeuLANDPla0H-8,13,H,0,8,1,43,1287,3284,1236,3288,1,54,1217,3270,1154,3276,48.0122,-12.7719,8.40195,1.00112,0.0630739,505.904,1,10,3,6,0,4,2,9,5,1,11165
NeuLANDPla0H-9,13,H,0,9,1,11,1334,3268,1236,3288,1,24,1157,3269,1154,3276,48.5067,-11.6761,8.324,1.01368,0.0626936,452.409,1,10,2,6,0,4,2,8,5,1,11165
NeuLANDPla0H-10,13,H,0,10,1,5,1253,3271,1236,3288,1,14,1339,3272,1266,3277,64.197,-19.7454,8.27549,1.00961,0.0624104,397.894,1,10,1,6,0,4,3,7,5,1,11165
NeuLANDPla0H-11,13,H,0,11,1,40,1314,3265,1236,3288,1,31,1272,3282,1266,3277,62.9261,-20.5721,8.28252,0.995837,0.062736,513.681,1,10,0,6,0,4,3,6,5,1,11165
NeuLANDPla0H-12,13,H,0,12,1,18,1253,3286,1236,3288,1,72,1255,3277,1266,3277,64.6847,-20.0886,8.32295,1.02826,0.062925,446.044,1,10,15,6,0,4,3,5,5,1,11165
NeuLANDPla0H-13,13,H,0,13,1,20,1255,3272,1236,3288,1,58,1271,3274,1266,3277,64.5315,-20.1062,8.29801,0.991634,0.0616873,441.997,1,10,14,6,0,4,3,4,5,1,11165
NeuLANDPla0H-14,13,H,0,14,1,19,1234,3285,1236,3288,1,53,1309,3271,1266,3277,64.4861,-19.8362,8.25355,1.00942,0.0623824,498.825,1,10,13,6,0,4,3,3,5,1,11165
NeuLANDPla0H-15,13,H,0,15,1,14,1250,3276,1236,3288,1,21,1274,3276,1266,3277,61.9068,-20.1945,8.30826,1.01283,0.0627586,470.196,1,10,12,6,0,4,3,2,5,1,11165
NeuLANDPla0H-16,13,H,0,16,1,50,1250,3268,1236,3288,1,47,1289,3275,1266,3277,63.4918,-20.4786,8.33963,1.0206,0.0626147,462.253,1,10,11,6,0,4,3,1,5,1,11165
NeuLANDPla0H-17,13,H,0,17,1,15,1343,3266,1236,3288,1,24,1248,3275,1266,3277,63.6714,-20.4918,8.3874,1.00294,0.0623841,532.97,1,10,10,6,0,4,3,0,5,1,11165
NeuLANDPla0H-18,13,H,0,18,1,4,1251,3271,1236,3288,1,68,1279,3272,1266,3277,63.3557,-19.1425,8.24596,0.996317,0.0623391,493.925,1,10,9,6,0,4,3,15,5,1,11165
NeuLANDPla0H-19,13,H,0,19,1,21,1375,3263,1236,3288,1,29,1285,3282,1266,3277,64.7647,-20.2325,8.3097,1.00694,0.062247,511.7,1,10,8,6,0,4,3,14,5,1,11165
NeuLANDPla0H-20,13,H,0,20,1,6,1192,3287,1119,3288,1,32,1350,3272,1266,3277,55.0282,-24.5373,8.37717,1.00961,0.0628716,545.523,2,8,7,6,1,4,3,13,5,1,11165
NeuLANDPla0H-21,13,H,0,21,1,57,1175,3277,1119,3288,1,25,1281,3275,1266,3277,56.6172,-24.2753,8.3127,1.02284,0.0624894,486.804,2,8,6,6,1,4,3,12,5,1,11165
NeuLANDPla0H-22,13,H,0,22,1,26,1187,3280,1119,3288,1,25,1332,3269,1266,3277,54.7514,-24.5684,8.35264,1.00194,0.0628519,518.692,2,8,5,6,1,4,3,11,5,1,11165
NeuLANDPla0H-23,13,H,0,23,1,21,1261,3284,1119,3288,1,67,1281,3278,1266,3277,55.2888,-24.8845,8.29203,0.950334,0.0582374,496.039,2,8,4,6,1,4,3,10,5,1,11165
NeuLANDPla0H-24,13,H,0,24,1,8,1125,3282,1119,3288,1,47,1319,3270,1266,3277,55.1177,-24.3705,8.31229,1.0587,0.064939,546.578,2,8,3,6,1,4,3,9,5,1,11165
NeuLANDPla0H-25,13,H,0,25,1,3,1162,3276,1119,3288,1,23,1259,3273,1266,3277,53.5592,-24.2901,8.29937,1.01609,0.0624326,562.594,2,8,2,6,1,4,3,8,5,1,11165
NeuLANDPla0H-26,13,H,0,26,1,38,1164,3284,1119,3288,1,69,1271,3273,1215,3277,54.0363,-24.1376,8.36752,0.996151,0.0628695,520.258,2,8,1,6,1,4,4,7,5,1,11165
NeuLANDPla0H-27,13,H,0,27,1,1,1172,3278,1119,3288,1,30,1216,3267,1215,3277,54.8035,-24.7731,8.3771,0.99408,0.0637442,568.033,2,8,0,6,1,4,4,6,5,1,11165
NeuLANDPla0H-28,13,H,0,28,1,10,1192,3290,1119,3288,1,35,1214,3271,1215,3277,54.8116,-23.9725,8.37906,0.989482,0.0638116,532.788,2,8,15,6,1,4,4,5,5,1,11165
NeuLANDPla0H-29,13,H,0,29,1,2,1186,3285,1119,3288,1,31,1205,3261,1215,3277,55.8035,-24.3357,8.32061,1.00244,0.0634117,492.276,2,8,14,6,1,4,4,4,5,1,11165
NeuLANDPla0H-30,13,H,0,30,1,25,1092,3283,1119,3288,1,52,1205,3277,1215,3277,55.023,-23.8534,8.24909,1.00601,0.0635012,420.648,2,8,13,6,1,4,4,3,5,1,11165
NeuLANDPla0H-31,13,H,0,31,1,6,1180,3278,1119,3288,1,18,1239,3272,1215,3277,54.7752,-24.0893,8.24525,0.997047,0.0626362,422.97,2,8,12,6,1,4,4,2,5,1,11165
NeuLANDPla0H-32,13,H,0,32,1,1,1146,3284,1119,3288,1,33,1179,3277,1215,3277,55.8404,-24.6173,8.34008,1.00661,0.0636007,494.182,2,8,11,6,1,4,4,1,5,1,11165
NeuLANDPla0H-33,13,H,0,33,1,58,1141,3279,1119,3288,1,33,1221,3268,1215,3277,53.8337,-24.2886,8.3413,0.995903,0.064116,525.869,2,8,10,6,1,4,4,0,5,1,11165
NeuLANDPla0H-34,13,H,0,34,1,13,1193,3284,1119,3288,1,30,1309,3277,1215,3277,54.6567,-24.7491,8.35608,1.00199,0.0634677,457.43,2,8,9,6,1,4,4,15,5,1,11165
NeuLANDPla0H-35,13,H,0,35,1,28,1241,3283,1119,3288,1,24,1235,3269,1215,3277,55.1103,-23.8617,8.23515,1.00636,0.0626416,401.908,2,8,8,6,1,4,4,14,5,1,11165
NeuLANDPla0H-36,13,H,0,36,1,4,1190,3281,1203,3290,1,33,1255,3271,1215,3277,55.0699,-23.9329,8.25409,0.987998,0.0629336,413.451,2,9,7,6,1,4,4,13,5,1,11165
