NAME,FPl,Layer,SubLayer,Direction,PosX,PosY,PosZ,T_LECal0,T_LECal1,T_LEOffset0,T_LEOffset1,T_TECal0,T_TECal1,T_TEOffset0,T_TEOffset1,QCal0,QCal1,QOffset0,QOffset1,t0_geo,t0_ch,t1_geo,t1_ch,Ignore
X1,13,1,1,V,514.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,0,2,1,0
X2,13,1,1,V,453.75,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,2,2,3,0
X3,13,1,1,V,393.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,4,2,5,0
X4,13,1,1,V,332.75,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,6,2,7,0
X5,13,1,1,V,272.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,8,2,9,0
X6,13,1,1,V,211.75,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,10,2,11,0
X7,13,1,1,V,151.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,12,2,13,0
X8,13,1,1,V,90.75,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,14,2,15,0
X9,13,1,1,V,30.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,16,2,17,0
X10,13,1,1,V,-30.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,18,2,19,0
X11,13,1,1,V,-90.75,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,20,2,21,0
X12,13,1,1,V,-151.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,22,2,23,0
X13,13,1,1,V,-211.75,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,24,2,25,0
X14,13,1,1,V,-272.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,26,2,27,0
X15,13,1,1,V,-332.75,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,28,2,29,0
X16,13,1,1,V,-393.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,30,2,31,0
X17,13,1,1,V,-453.75,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,32,2,33,0
X18,13,1,1,V,-514.25,0,1494,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,34,2,35,0
Y1,13,2,1,H,0,332.75,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,36,2,37,0
Y2,13,2,1,H,0,272.25,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,38,2,39,0
Y3,13,2,1,H,0,211.75,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,40,2,41,0
Y4,13,2,1,H,0,151.25,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,42,2,43,0
Y5,13,2,1,H,0,90.75,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,44,2,45,0
Y6,13,2,1,H,0,30.25,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,46,2,47,0
Y7,13,2,1,H,0,-30.25,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,48,2,49,0
Y8,13,2,1,H,0,-90.25,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,50,2,51,0
Y9,13,2,1,H,0,-151.25,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,52,2,53,0
Y10,13,2,1,H,0,-211.75,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,54,2,55,0
Y11,13,2,1,H,0,-272.25,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,56,2,57,0
Y12,13,2,1,H,0,-332.75,1544,0.1,0.1,0,0,0.1,0.1,0,0,1,1,0,0,2,58,2,59,0
