NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
FDC0_0_0,13,0,11,X,0,75,-27.6,0,28,16,63
FDC0_0_1,13,0,11,X,1,70,-27.6,0,28,16,62
FDC0_0_2,13,0,11,X,2,65,-27.6,0,28,16,61
FDC0_0_3,13,0,11,X,3,60,-27.6,0,28,16,60
FDC0_0_4,13,0,11,X,4,55,-27.6,0,28,16,59
FDC0_0_5,13,0,11,X,5,50,-27.6,0,28,16,58
FDC0_0_6,13,0,11,X,6,45,-27.6,0,28,16,57
FDC0_0_7,13,0,11,X,7,40,-27.6,0,28,16,56
FDC0_0_8,13,0,11,X,8,35,-27.6,0,28,16,55
FDC0_0_9,13,0,11,X,9,30,-27.6,0,28,16,54
FDC0_0_10,13,0,11,X,10,25,-27.6,0,28,16,53
FDC0_0_11,13,0,11,X,11,20,-27.6,0,28,16,52
FDC0_0_12,13,0,11,X,12,15,-27.6,0,28,16,51
FDC0_0_13,13,0,11,X,13,10,-27.6,0,28,16,50
FDC0_0_14,13,0,11,X,14,5,-27.6,0,28,16,49
FDC0_0_15,13,0,11,X,15,0,-27.6,0,28,16,48
FDC0_0_16,13,0,11,X,16,-5,-27.6,0,28,16,47
FDC0_0_17,13,0,11,X,17,-10,-27.6,0,28,16,46
FDC0_0_18,13,0,11,X,18,-15,-27.6,0,28,16,45
FDC0_0_19,13,0,11,X,19,-20,-27.6,0,28,16,44
FDC0_0_20,13,0,11,X,20,-25,-27.6,0,28,16,43
FDC0_0_21,13,0,11,X,21,-30,-27.6,0,28,16,42
FDC0_0_22,13,0,11,X,22,-35,-27.6,0,28,16,41
FDC0_0_23,13,0,11,X,23,-40,-27.6,0,28,16,40
FDC0_0_24,13,0,11,X,24,-45,-27.6,0,28,16,39
FDC0_0_25,13,0,11,X,25,-50,-27.6,0,28,16,38
FDC0_0_26,13,0,11,X,26,-55,-27.6,0,28,16,37
FDC0_0_27,13,0,11,X,27,-60,-27.6,0,28,16,36
FDC0_0_28,13,0,11,X,28,-65,-27.6,0,28,16,35
FDC0_0_29,13,0,11,X,29,-70,-27.6,0,28,16,34
FDC0_0_30,13,0,11,X,30,-75,-27.6,0,28,16,33
FDC0_0_31,13,0,11,X,31,-80,-27.6,0,28,16,32
FDC0_1_0,13,1,12,X,0,77.5,-22.69,0,28,15,32
FDC0_1_1,13,1,12,X,1,72.5,-22.69,0,28,15,33
FDC0_1_2,13,1,12,X,2,67.5,-22.69,0,28,15,34
FDC0_1_3,13,1,12,X,3,62.5,-22.69,0,28,15,35
FDC0_1_4,13,1,12,X,4,57.5,-22.69,0,28,15,36
FDC0_1_5,13,1,12,X,5,52.5,-22.69,0,28,15,37
FDC0_1_6,13,1,12,X,6,47.5,-22.69,0,28,15,38
FDC0_1_7,13,1,12,X,7,42.5,-22.69,0,28,15,39
FDC0_1_8,13,1,12,X,8,37.5,-22.69,0,28,15,40
FDC0_1_9,13,1,12,X,9,32.5,-22.69,0,28,15,41
FDC0_1_10,13,1,12,X,10,27.5,-22.69,0,28,15,42
FDC0_1_11,13,1,12,X,11,22.5,-22.69,0,28,15,43
FDC0_1_12,13,1,12,X,12,17.5,-22.69,0,28,15,44
FDC0_1_13,13,1,12,X,13,12.5,-22.69,0,28,15,45
FDC0_1_14,13,1,12,X,14,7.5,-22.69,0,28,15,46
FDC0_1_15,13,1,12,X,15,2.5,-22.69,0,28,15,47
FDC0_1_16,13,1,12,X,16,-2.5,-22.69,0,28,15,48
FDC0_1_17,13,1,12,X,17,-7.5,-22.69,0,28,15,49
FDC0_1_18,13,1,12,X,18,-12.5,-22.69,0,28,15,50
FDC0_1_19,13,1,12,X,19,-17.5,-22.69,0,28,15,51
FDC0_1_20,13,1,12,X,20,-22.5,-22.69,0,28,15,52
FDC0_1_21,13,1,12,X,21,-27.5,-22.69,0,28,15,53
FDC0_1_22,13,1,12,X,22,-32.5,-22.69,0,28,15,54
FDC0_1_23,13,1,12,X,23,-37.5,-22.69,0,28,15,55
FDC0_1_24,13,1,12,X,24,-42.5,-22.69,0,28,15,56
FDC0_1_25,13,1,12,X,25,-47.5,-22.69,0,28,15,57
FDC0_1_26,13,1,12,X,26,-52.5,-22.69,0,28,15,58
FDC0_1_27,13,1,12,X,27,-57.5,-22.69,0,28,15,59
FDC0_1_28,13,1,12,X,28,-62.5,-22.69,0,28,15,60
FDC0_1_29,13,1,12,X,29,-67.5,-22.69,0,28,15,61
FDC0_1_30,13,1,12,X,30,-72.5,-22.69,0,28,15,62
FDC0_1_31,13,1,12,X,31,-77.5,-22.69,0,28,15,63
FDC0_2_0,13,2,13,Y,0,75,-15.33,0,28,14,32
FDC0_2_1,13,2,13,Y,1,70,-15.33,0,28,14,33
FDC0_2_2,13,2,13,Y,2,65,-15.33,0,28,14,34
FDC0_2_3,13,2,13,Y,3,60,-15.33,0,28,14,35
FDC0_2_4,13,2,13,Y,4,55,-15.33,0,28,14,36
FDC0_2_5,13,2,13,Y,5,50,-15.33,0,28,14,37
FDC0_2_6,13,2,13,Y,6,45,-15.33,0,28,14,38
FDC0_2_7,13,2,13,Y,7,40,-15.33,0,28,14,39
FDC0_2_8,13,2,13,Y,8,35,-15.33,0,28,14,40
FDC0_2_9,13,2,13,Y,9,30,-15.33,0,28,14,41
FDC0_2_10,13,2,13,Y,10,25,-15.33,0,28,14,42
FDC0_2_11,13,2,13,Y,11,20,-15.33,0,28,14,43
FDC0_2_12,13,2,13,Y,12,15,-15.33,0,28,14,44
FDC0_2_13,13,2,13,Y,13,10,-15.33,0,28,14,45
FDC0_2_14,13,2,13,Y,14,5,-15.33,0,28,14,46
FDC0_2_15,13,2,13,Y,15,0,-15.33,0,28,14,47
FDC0_2_16,13,2,13,Y,16,-5,-15.33,0,28,14,48
FDC0_2_17,13,2,13,Y,17,-10,-15.33,0,28,14,49
FDC0_2_18,13,2,13,Y,18,-15,-15.33,0,28,14,50
FDC0_2_19,13,2,13,Y,19,-20,-15.33,0,28,14,51
FDC0_2_20,13,2,13,Y,20,-25,-15.33,0,28,14,52
FDC0_2_21,13,2,13,Y,21,-30,-15.33,0,28,14,53
FDC0_2_22,13,2,13,Y,22,-35,-15.33,0,28,14,54
FDC0_2_23,13,2,13,Y,23,-40,-15.33,0,28,14,55
FDC0_2_24,13,2,13,Y,24,-45,-15.33,0,28,14,56
FDC0_2_25,13,2,13,Y,25,-50,-15.33,0,28,14,57
FDC0_2_26,13,2,13,Y,26,-55,-15.33,0,28,14,58
FDC0_2_27,13,2,13,Y,27,-60,-15.33,0,28,14,59
FDC0_2_28,13,2,13,Y,28,-65,-15.33,0,28,14,60
FDC0_2_29,13,2,13,Y,29,-70,-15.33,0,28,14,61
FDC0_2_30,13,2,13,Y,30,-75,-15.33,0,28,14,62
FDC0_2_31,13,2,13,Y,31,-80,-15.33,0,28,14,63
FDC0_3_0,13,3,14,Y,0,77.5,-10.42,0,28,13,32
