NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
FDC0_0_0,13,0,11,X,0,75,-27.6,0,28,9,63
FDC0_0_1,13,0,11,X,1,70,-27.6,0,28,9,62
FDC0_0_2,13,0,11,X,2,65,-27.6,0,28,9,61
FDC0_0_3,13,0,11,X,3,60,-27.6,0,28,9,60
FDC0_0_4,13,0,11,X,4,55,-27.6,0,28,9,59
FDC0_0_5,13,0,11,X,5,50,-27.6,0,28,9,58
FDC0_0_6,13,0,11,X,6,45,-27.6,0,28,9,57
FDC0_0_7,13,0,11,X,7,40,-27.6,0,28,9,56
FDC0_0_8,13,0,11,X,8,35,-27.6,0,28,9,55
FDC0_0_9,13,0,11,X,9,30,-27.6,0,28,9,54
FDC0_0_10,13,0,11,X,10,25,-27.6,0,28,9,53
FDC0_0_11,13,0,11,X,11,20,-27.6,0,28,9,52
FDC0_0_12,13,0,11,X,12,15,-27.6,0,28,9,51
FDC0_0_13,13,0,11,X,13,10,-27.6,0,28,9,50
FDC0_0_14,13,0,11,X,14,5,-27.6,0,28,9,49
FDC0_0_15,13,0,11,X,15,0,-27.6,0,28,9,48
FDC0_0_16,13,0,11,X,16,-5,-27.6,0,28,9,47
FDC0_0_17,13,0,11,X,17,-10,-27.6,0,28,9,46
FDC0_0_18,13,0,11,X,18,-15,-27.6,0,28,9,45
FDC0_0_19,13,0,11,X,19,-20,-27.6,0,28,9,44
FDC0_0_20,13,0,11,X,20,-25,-27.6,0,28,9,43
FDC0_0_21,13,0,11,X,21,-30,-27.6,0,28,9,42
FDC0_0_22,13,0,11,X,22,-35,-27.6,0,28,9,41
FDC0_0_23,13,0,11,X,23,-40,-27.6,0,28,9,40
FDC0_0_24,13,0,11,X,24,-45,-27.6,0,28,9,39
FDC0_0_25,13,0,11,X,25,-50,-27.6,0,28,9,38
FDC0_0_26,13,0,11,X,26,-55,-27.6,0,28,9,37
FDC0_0_27,13,0,11,X,27,-60,-27.6,0,28,9,36
FDC0_0_28,13,0,11,X,28,-65,-27.6,0,28,9,35
FDC0_0_29,13,0,11,X,29,-70,-27.6,0,28,9,34
FDC0_0_30,13,0,11,X,30,-75,-27.6,0,28,9,33
FDC0_0_31,13,0,11,X,31,-80,-27.6,0,28,9,32
FDC0_1_0,13,1,12,X,0,77.5,-22.69,0,28,8,32
FDC0_1_1,13,1,12,X,1,72.5,-22.69,0,28,8,33
FDC0_1_2,13,1,12,X,2,67.5,-22.69,0,28,8,34
FDC0_1_3,13,1,12,X,3,62.5,-22.69,0,28,8,35
FDC0_1_4,13,1,12,X,4,57.5,-22.69,0,28,8,36
FDC0_1_5,13,1,12,X,5,52.5,-22.69,0,28,8,37
FDC0_1_6,13,1,12,X,6,47.5,-22.69,0,28,8,38
FDC0_1_7,13,1,12,X,7,42.5,-22.69,0,28,8,39
FDC0_1_8,13,1,12,X,8,37.5,-22.69,0,28,8,40
FDC0_1_9,13,1,12,X,9,32.5,-22.69,0,28,8,41
FDC0_1_10,13,1,12,X,10,27.5,-22.69,0,28,8,42
FDC0_1_11,13,1,12,X,11,22.5,-22.69,0,28,8,43
FDC0_1_12,13,1,12,X,12,17.5,-22.69,0,28,8,44
FDC0_1_13,13,1,12,X,13,12.5,-22.69,0,28,8,45
FDC0_1_14,13,1,12,X,14,7.5,-22.69,0,28,8,46
FDC0_1_15,13,1,12,X,15,2.5,-22.69,0,28,8,47
FDC0_1_16,13,1,12,X,16,-2.5,-22.69,0,28,8,48
FDC0_1_17,13,1,12,X,17,-7.5,-22.69,0,28,8,49
FDC0_1_18,13,1,12,X,18,-12.5,-22.69,0,28,8,50
FDC0_1_19,13,1,12,X,19,-17.5,-22.69,0,28,8,51
FDC0_1_20,13,1,12,X,20,-22.5,-22.69,0,28,8,52
FDC0_1_21,13,1,12,X,21,-27.5,-22.69,0,28,8,53
FDC0_1_22,13,1,12,X,22,-32.5,-22.69,0,28,8,54
FDC0_1_23,13,1,12,X,23,-37.5,-22.69,0,28,8,55
FDC0_1_24,13,1,12,X,24,-42.5,-22.69,0,28,8,56
FDC0_1_25,13,1,12,X,25,-47.5,-22.69,0,28,8,57
FDC0_1_26,13,1,12,X,26,-52.5,-22.69,0,28,8,58
FDC0_1_27,13,1,12,X,27,-57.5,-22.69,0,28,8,59
FDC0_1_28,13,1,12,X,28,-62.5,-22.69,0,28,8,60
FDC0_1_29,13,1,12,X,29,-67.5,-22.69,0,28,8,61
FDC0_1_30,13,1,12,X,30,-72.5,-22.69,0,28,8,62
FDC0_1_31,13,1,12,X,31,-77.5,-22.69,0,28,8,63
FDC0_2_0,13,2,13,Y,0,75,-15.33,0,28,7,32
FDC0_2_1,13,2,13,Y,1,70,-15.33,0,28,7,33
FDC0_2_2,13,2,13,Y,2,65,-15.33,0,28,7,34
FDC0_2_3,13,2,13,Y,3,60,-15.33,0,28,7,35
FDC0_2_4,13,2,13,Y,4,55,-15.33,0,28,7,36
FDC0_2_5,13,2,13,Y,5,50,-15.33,0,28,7,37
FDC0_2_6,13,2,13,Y,6,45,-15.33,0,28,7,38
FDC0_2_7,13,2,13,Y,7,40,-15.33,0,28,7,39
FDC0_2_8,13,2,13,Y,8,35,-15.33,0,28,7,40
FDC0_2_9,13,2,13,Y,9,30,-15.33,0,28,7,41
FDC0_2_10,13,2,13,Y,10,25,-15.33,0,28,7,42
FDC0_2_11,13,2,13,Y,11,20,-15.33,0,28,7,43
FDC0_2_12,13,2,13,Y,12,15,-15.33,0,28,7,44
FDC0_2_13,13,2,13,Y,13,10,-15.33,0,28,7,45
FDC0_2_14,13,2,13,Y,14,5,-15.33,0,28,7,46
FDC0_2_15,13,2,13,Y,15,0,-15.33,0,28,7,47
FDC0_2_16,13,2,13,Y,16,-5,-15.33,0,28,7,48
FDC0_2_17,13,2,13,Y,17,-10,-15.33,0,28,7,49
FDC0_2_18,13,2,13,Y,18,-15,-15.33,0,28,7,50
FDC0_2_19,13,2,13,Y,19,-20,-15.33,0,28,7,51
FDC0_2_20,13,2,13,Y,20,-25,-15.33,0,28,7,52
FDC0_2_21,13,2,13,Y,21,-30,-15.33,0,28,7,53
FDC0_2_22,13,2,13,Y,22,-35,-15.33,0,28,7,54
FDC0_2_23,13,2,13,Y,23,-40,-15.33,0,28,7,55
FDC0_2_24,13,2,13,Y,24,-45,-15.33,0,28,7,56
FDC0_2_25,13,2,13,Y,25,-50,-15.33,0,28,7,57
FDC0_2_26,13,2,13,Y,26,-55,-15.33,0,28,7,58
FDC0_2_27,13,2,13,Y,27,-60,-15.33,0,28,7,59
FDC0_2_28,13,2,13,Y,28,-65,-15.33,0,28,7,60
FDC0_2_29,13,2,13,Y,29,-70,-15.33,0,28,7,61
FDC0_2_30,13,2,13,Y,30,-75,-15.33,0,28,7,62
FDC0_2_31,13,2,13,Y,31,-80,-15.33,0,28,7,63
FDC0_3_0,13,3,14,Y,0,77.5,-10.42,0,28,6,32
FDC0_3_1,13,3,14,Y,1,72.5,-10.42,0,28,6,33
FDC0_3_2,13,3,14,Y,2,67.5,-10.42,0,28,6,34
FDC0_3_3,13,3,14,Y,3,62.5,-10.42,0,28,6,35
FDC0_3_4,13,3,14,Y,4,57.5,-10.42,0,28,6,36
FDC0_3_5,13,3,14,Y,5,52.5,-10.42,0,28,6,37
FDC0_3_6,13,3,14,Y,6,47.5,-10.42,0,28,6,38
FDC0_3_7,13,3,14,Y,7,42.5,-10.42,0,28,6,39
FDC0_3_8,13,3,14,Y,8,37.5,-10.42,0,28,6,40
FDC0_3_9,13,3,14,Y,9,32.5,-10.42,0,28,6,41
FDC0_3_10,13,3,14,Y,10,27.5,-10.42,0,28,6,42
FDC0_3_11,13,3,14,Y,11,22.5,-10.42,0,28,6,43
FDC0_3_12,13,3,14,Y,12,17.5,-10.42,0,28,6,44
FDC0_3_13,13,3,14,Y,13,12.5,-10.42,0,28,6,45
FDC0_3_14,13,3,14,Y,14,7.5,-10.42,0,28,6,46
FDC0_3_15,13,3,14,Y,15,2.5,-10.42,0,28,6,47
FDC0_3_16,13,3,14,Y,16,-2.5,-10.42,0,28,6,48
FDC0_3_17,13,3,14,Y,17,-7.5,-10.42,0,28,6,49
FDC0_3_18,13,3,14,Y,18,-12.5,-10.42,0,28,6,50
FDC0_3_19,13,3,14,Y,19,-17.5,-10.42,0,28,6,51
FDC0_3_20,13,3,14,Y,20,-22.5,-10.42,0,28,6,52
FDC0_3_21,13,3,14,Y,21,-27.5,-10.42,0,28,6,53
FDC0_3_22,13,3,14,Y,22,-32.5,-10.42,0,28,6,54
FDC0_3_23,13,3,14,Y,23,-37.5,-10.42,0,28,6,55
FDC0_3_24,13,3,14,Y,24,-42.5,-10.42,0,28,6,56
FDC0_3_25,13,3,14,Y,25,-47.5,-10.42,0,28,6,57
FDC0_3_26,13,3,14,Y,26,-52.5,-10.42,0,28,6,58
FDC0_3_27,13,3,14,Y,27,-57.5,-10.42,0,28,6,59
FDC0_3_28,13,3,14,Y,28,-62.5,-10.42,0,28,6,60
FDC0_3_29,13,3,14,Y,29,-67.5,-10.42,0,28,6,61
FDC0_3_30,13,3,14,Y,30,-72.5,-10.42,0,28,6,62
FDC0_3_31,13,3,14,Y,31,-77.5,-10.42,0,28,6,63
FDC0_4_0,13,4,15,X,0,75,8.91,0,28,9,0
FDC0_4_1,13,4,15,X,1,70,8.91,0,28,9,1
FDC0_4_2,13,4,15,X,2,65,8.91,0,28,9,2
FDC0_4_3,13,4,15,X,3,60,8.91,0,28,9,3
FDC0_4_4,13,4,15,X,4,55,8.91,0,28,9,4
FDC0_4_5,13,4,15,X,5,50,8.91,0,28,9,5
FDC0_4_6,13,4,15,X,6,45,8.91,0,28,9,6
FDC0_4_7,13,4,15,X,7,40,8.91,0,28,9,7
FDC0_4_8,13,4,15,X,8,35,8.91,0,28,9,8
FDC0_4_9,13,4,15,X,9,30,8.91,0,28,9,9
FDC0_4_10,13,4,15,X,10,25,8.91,0,28,9,10
FDC0_4_11,13,4,15,X,11,20,8.91,0,28,9,11
FDC0_4_12,13,4,15,X,12,15,8.91,0,28,9,12
FDC0_4_13,13,4,15,X,13,10,8.91,0,28,9,13
FDC0_4_14,13,4,15,X,14,5,8.91,0,28,9,14
FDC0_4_15,13,4,15,X,15,0,8.91,0,28,9,15
FDC0_4_16,13,4,15,X,16,-5,8.91,0,28,9,16
FDC0_4_17,13,4,15,X,17,-10,8.91,0,28,9,17
FDC0_4_18,13,4,15,X,18,-15,8.91,0,28,9,18
FDC0_4_19,13,4,15,X,19,-20,8.91,0,28,9,19
FDC0_4_20,13,4,15,X,20,-25,8.91,0,28,9,20
FDC0_4_21,13,4,15,X,21,-30,8.91,0,28,9,21
FDC0_4_22,13,4,15,X,22,-35,8.91,0,28,9,22
FDC0_4_23,13,4,15,X,23,-40,8.91,0,28,9,23
FDC0_4_24,13,4,15,X,24,-45,8.91,0,28,9,24
FDC0_4_25,13,4,15,X,25,-50,8.91,0,28,9,25
FDC0_4_26,13,4,15,X,26,-55,8.91,0,28,9,26
FDC0_4_27,13,4,15,X,27,-60,8.91,0,28,9,27
FDC0_4_28,13,4,15,X,28,-65,8.91,0,28,9,28
FDC0_4_29,13,4,15,X,29,-70,8.91,0,28,9,29
FDC0_4_30,13,4,15,X,30,-75,8.91,0,28,9,30
FDC0_4_31,13,4,15,X,31,-80,8.91,0,28,9,31
FDC0_5_0,13,5,16,X,0,77.5,13.82,0,28,8,0
FDC0_5_1,13,5,16,X,1,72.5,13.82,0,28,8,1
FDC0_5_2,13,5,16,X,2,67.5,13.82,0,28,8,2
FDC0_5_3,13,5,16,X,3,62.5,13.82,0,28,8,3
FDC0_5_4,13,5,16,X,4,57.5,13.82,0,28,8,4
FDC0_5_5,13,5,16,X,5,52.5,13.82,0,28,8,5
FDC0_5_6,13,5,16,X,6,47.5,13.82,0,28,8,6
FDC0_5_7,13,5,16,X,7,42.5,13.82,0,28,8,7
FDC0_5_8,13,5,16,X,8,37.5,13.82,0,28,8,8
FDC0_5_9,13,5,16,X,9,32.5,13.82,0,28,8,9
FDC0_5_10,13,5,16,X,10,27.5,13.82,0,28,8,10
FDC0_5_11,13,5,16,X,11,22.5,13.82,0,28,8,11
FDC0_5_12,13,5,16,X,12,17.5,13.82,0,28,8,12
FDC0_5_13,13,5,16,X,13,12.5,13.82,0,28,8,13
FDC0_5_14,13,5,16,X,14,7.5,13.82,0,28,8,14
FDC0_5_15,13,5,16,X,15,2.5,13.82,0,28,8,15
FDC0_5_16,13,5,16,X,16,-2.5,13.82,0,28,8,16
FDC0_5_17,13,5,16,X,17,-7.5,13.82,0,28,8,17
FDC0_5_18,13,5,16,X,18,-12.5,13.82,0,28,8,18
FDC0_5_19,13,5,16,X,19,-17.5,13.82,0,28,8,19
FDC0_5_20,13,5,16,X,20,-22.5,13.82,0,28,8,20
FDC0_5_21,13,5,16,X,21,-27.5,13.82,0,28,8,21
FDC0_5_22,13,5,16,X,22,-32.5,13.82,0,28,8,22
FDC0_5_23,13,5,16,X,23,-37.5,13.82,0,28,8,23
FDC0_5_24,13,5,16,X,24,-42.5,13.82,0,28,8,24
FDC0_5_25,13,5,16,X,25,-47.5,13.82,0,28,8,25
FDC0_5_26,13,5,16,X,26,-52.5,13.82,0,28,8,26
FDC0_5_27,13,5,16,X,27,-57.5,13.82,0,28,8,27
FDC0_5_28,13,5,16,X,28,-62.5,13.82,0,28,8,28
FDC0_5_29,13,5,16,X,29,-67.5,13.82,0,28,8,29
FDC0_5_30,13,5,16,X,30,-72.5,13.82,0,28,8,30
FDC0_5_31,13,5,16,X,31,-77.5,13.82,0,28,8,31
FDC0_6_0,13,6,17,Y,0,75,21.18,0,28,7,0
FDC0_6_1,13,6,17,Y,1,70,21.18,0,28,7,1
FDC0_6_2,13,6,17,Y,2,65,21.18,0,28,7,2
FDC0_6_3,13,6,17,Y,3,60,21.18,0,28,7,3
FDC0_6_4,13,6,17,Y,4,55,21.18,0,28,7,4
FDC0_6_5,13,6,17,Y,5,50,21.18,0,28,7,5
FDC0_6_6,13,6,17,Y,6,45,21.18,0,28,7,6
FDC0_6_7,13,6,17,Y,7,40,21.18,0,28,7,7
FDC0_6_8,13,6,17,Y,8,35,21.18,0,28,7,8
FDC0_6_9,13,6,17,Y,9,30,21.18,0,28,7,9
FDC0_6_10,13,6,17,Y,10,25,21.18,0,28,7,10
FDC0_6_11,13,6,17,Y,11,20,21.18,0,28,7,11
FDC0_6_12,13,6,17,Y,12,15,21.18,0,28,7,12
FDC0_6_13,13,6,17,Y,13,10,21.18,0,28,7,13
FDC0_6_14,13,6,17,Y,14,5,21.18,0,28,7,14
FDC0_6_15,13,6,17,Y,15,0,21.18,0,28,7,15
FDC0_6_16,13,6,17,Y,16,-5,21.18,0,28,7,16
FDC0_6_17,13,6,17,Y,17,-10,21.18,0,28,7,17
FDC0_6_18,13,6,17,Y,18,-15,21.18,0,28,7,18
FDC0_6_19,13,6,17,Y,19,-20,21.18,0,28,7,19
FDC0_6_20,13,6,17,Y,20,-25,21.18,0,28,7,20
FDC0_6_21,13,6,17,Y,21,-30,21.18,0,28,7,21
FDC0_6_22,13,6,17,Y,22,-35,21.18,0,28,7,22
FDC0_6_23,13,6,17,Y,23,-40,21.18,0,28,7,23
FDC0_6_24,13,6,17,Y,24,-45,21.18,0,28,7,24
FDC0_6_25,13,6,17,Y,25,-50,21.18,0,28,7,25
FDC0_6_26,13,6,17,Y,26,-55,21.18,0,28,7,26
FDC0_6_27,13,6,17,Y,27,-60,21.18,0,28,7,27
FDC0_6_28,13,6,17,Y,28,-65,21.18,0,28,7,28
