NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,det,geo,ch
FDC2K_0_0,13,0,81,X,0,278,-102,30,8,3
FDC2K_0_1,13,0,81,X,1,257,-102,30,8,7
FDC2K_0_2,13,0,81,X,2,236,-102,30,8,11
FDC2K_0_3,13,0,81,X,3,215,-102,30,8,15
FDC2K_0_4,13,0,81,X,4,194,-102,30,8,19
FDC2K_0_5,13,0,81,X,5,173,-102,30,8,23
FDC2K_0_6,13,0,81,X,6,152,-102,30,8,27
FDC2K_0_7,13,0,81,X,7,131,-102,30,8,31
FDC2K_0_8,13,0,81,X,8,110,-102,30,8,35
FDC2K_0_9,13,0,81,X,9,89,-102,30,8,39
FDC2K_0_10,13,0,81,X,10,68,-102,30,8,43
FDC2K_0_11,13,0,81,X,11,47,-102,30,8,47
FDC2K_0_12,13,0,81,X,12,26,-102,30,8,51
FDC2K_0_13,13,0,81,X,13,5,-102,30,8,55
FDC2K_0_14,13,0,81,X,14,-16,-102,30,8,59
FDC2K_0_15,13,0,81,X,15,-37,-102,30,8,63
FDC2K_0_16,13,0,81,X,16,-58,-102,30,8,67
FDC2K_0_17,13,0,81,X,17,-79,-102,30,8,71
FDC2K_0_18,13,0,81,X,18,-100,-102,30,8,75
FDC2K_0_19,13,0,81,X,19,-121,-102,30,8,79
FDC2K_0_20,13,0,81,X,20,-142,-102,30,8,83
FDC2K_0_21,13,0,81,X,21,-163,-102,30,8,87
FDC2K_0_22,13,0,81,X,22,-184,-102,30,8,91
FDC2K_0_23,13,0,81,X,23,-205,-102,30,8,95
FDC2K_0_24,13,0,81,X,24,-226,-102,30,8,99
FDC2K_0_25,13,0,81,X,25,-247,-102,30,8,103
FDC2K_0_26,13,0,81,X,26,-268,-102,30,8,107
FDC2K_0_27,13,0,81,X,27,-289,-102,30,8,111
FDC2K_1_0,13,1,82,X,0,288.5,-84,30,8,2
FDC2K_1_1,13,1,82,X,1,267.5,-84,30,8,6
FDC2K_1_2,13,1,82,X,2,246.5,-84,30,8,10
FDC2K_1_3,13,1,82,X,3,225.5,-84,30,8,14
FDC2K_1_4,13,1,82,X,4,204.5,-84,30,8,18
FDC2K_1_5,13,1,82,X,5,183.5,-84,30,8,22
FDC2K_1_6,13,1,82,X,6,162.5,-84,30,8,26
FDC2K_1_7,13,1,82,X,7,141.5,-84,30,8,30
FDC2K_1_8,13,1,82,X,8,120.5,-84,30,8,34
FDC2K_1_9,13,1,82,X,9,99.5,-84,30,8,38
FDC2K_1_10,13,1,82,X,10,78.5,-84,30,8,42
FDC2K_1_11,13,1,82,X,11,57.5,-84,30,8,46
FDC2K_1_12,13,1,82,X,12,36.5,-84,30,8,50
FDC2K_1_13,13,1,82,X,13,15.5,-84,30,8,54
FDC2K_1_14,13,1,82,X,14,-5.5,-84,30,8,58
FDC2K_1_15,13,1,82,X,15,-26.5,-84,30,8,62
FDC2K_1_16,13,1,82,X,16,-47.5,-84,30,8,66
FDC2K_1_17,13,1,82,X,17,-68.5,-84,30,8,70
FDC2K_1_18,13,1,82,X,18,-89.5,-84,30,8,74
