NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODF1,13,-1.67049,0.0681035,-2.49803,0.0678947,157.644,0.009810751,198.953,0.009652822,32,5,0,5,16,31,3,0,3,16
HODF2,13,-8.26996,0.0668201,-9.36315,0.0668925,110.362,0.01060248,133.091,0.011154011,32,5,1,5,17,31,3,1,3,17
HODF3,13,-9.86454,0.0691588,-10.8664,0.0687935,360.059,0.010568996,51.7201,0.009913971,32,5,2,5,18,31,3,2,3,18
HODF4,13,-9.90756,0.0684585,-10.6325,0.0668119,87.0029,0.010140294,131.709,0.010010761,32,5,3,5,19,31,3,3,3,19
HODF5,13,-7.361,0.0681377,-8.81184,0.0706081,163.775,0.010323237,150.98,0.008665185,32,5,4,5,20,31,3,4,3,20
HODF6,13,-2.94986,0.0686917,-2.90241,0.0684331,84.933,0.008306913,136.092,0.009665612,32,5,5,5,21,31,3,5,3,21
HODF7,13,-9.08552,0.0690082,-7.01038,0.0674848,212.433,0.009339855,37.8798,0.009833185,32,5,6,5,22,31,3,6,3,22
HODF8,13,-1.63921,0.0692062,-9.48216,0.0696733,173.882,0.009125434,129.736,0.009725313,32,5,7,5,23,31,3,7,3,23
HODF9,13,-9.27826,0.0667901,-9.56562,0.0677957,149.215,0.009770198,194.869,0.010026599,32,5,8,5,24,31,3,8,3,24
HODF10,13,-5.20193,0.0679847,-4.75265,0.0682531,102.294,0.0090774,147.198,0.010926489,32,5,9,5,25,31,3,9,3,25
HODF11,13,-9.1937,0.0676567,-9.57095,0.0679103,341.222,0.008683142,187.042,0.009392542,32,5,10,5,26,31,3,10,3,26
HODF12,13,-8.88445,0.0678279,-9.35376,0.0682707,115.516,0.0091778,54.9997,0.009844632,32,5,11,5,27,31,3,11,3,27
HODF13,13,-9.07371,0.0688717,-0.908673,0.0677043,74.3497,0.010175584,89.235,0.010163885,32,5,12,5,28,31,3,12,3,28
HODF14,13,-10.0178,0.0677767,-0.67663,0.0671599,41.2344,0.009322801,321.275,0.010067014,32,5,13,5,29,31,3,13,3,29
HODF15,13,-9.84524,0.0685507,-10.8151,0.0677849,60.773,0.00963631,108.226,0.010062119,32,5,14,5,30,31,3,14,3,30
HODF16,13,-9.58382,0.0684444,-9.859,0.0689326,166.061,0.01166335,120.16,0.010580134,32,5,15,5,31,31,3,15,3,31
HODF17,13,-3.24614,0.0680538,-9.96764,0.0679678,219.071,0.009663677,175.644,0.009716739,32,6,0,6,8,31,4,0,4,8
HODF18,13,-0.851623,0.0696012,-7.30437,0.0695076,229.704,0.009912411,171.022,0.010349262,32,6,1,6,9,31,4,1,4,9
HODF19,13,-4.87628,0.06889,-9.75491,0.0704274,219.474,0.009258076,185.174,0.010260458,32,6,2,6,10,31,4,2,4,10
HODF20,13,-4.74927,0.0693353,-2.34037,0.068342,95.8311,0.010435438,138.943,0.010896547,32,6,3,6,11,31,4,3,4,11
HODF21,13,-2.02631,0.0694755,-2.75522,0.068797,204.839,0.010225794,221.803,0.010880179,32,6,4,6,12,31,4,4,4,12
HODF22,13,-6.26256,0.0693064,-2.14227,0.0682735,170.281,0.010593508,160.929,0.009650617,32,6,5,6,13,31,4,5,4,13
HODF23,13,-7.28619,0.0687162,-2.69726,0.0699521,179.544,0.010512565,123.726,0.010871197,32,6,6,6,14,31,4,6,4,14
HODF24,13,-1.43638,0.0689191,-2.81821,0.0691658,168.084,0.010047961,241.735,0.010533423,32,6,7,6,15,31,4,7,4,15
