NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch,TDC_ID,hodfu_tdc_ped,hodfu_tdc_coef,hodfd_tdc_ped,hodfd_tdc_coef
HODF1,13,-14.143,0.03125,-14.7656,0.03125,171.17,0.00719632,148.731,0.00719632,32,5,0,5,16,31,4,0,4,16,0,-4.1,0.031,-4.703,0.031
HODF2,13,-14.9219,0.03125,-15.3281,0.03125,164.404,0.00740796,152.507,0.00740796,32,5,1,5,17,31,4,1,4,17,1,-4.874,0.031,-5.266,0.031
HODF3,13,-14.5607,0.03125,-14.9763,0.03125,174.594,0.00854847,164.727,0.00854847,32,5,2,5,18,31,4,2,4,18,2,-4.507,0.031,-4.891,0.031
HODF4,13,-14.9138,0.03125,-15.3906,0.03125,183.198,0.00694541,172.517,0.00694541,32,5,3,5,19,31,4,3,4,19,3,-4.874,0.031,-5.311,0.031
HODF5,13,-14.1719,0.03125,-14.7575,0.03125,154.993,0.013205,166.072,0.013205,32,5,4,5,20,31,4,4,4,20,4,-4.122,0.031,-4.682,0.031
HODF6,13,-14.4531,0.03125,-15.0156,0.03125,162.557,0.00692905,184.867,0.00692905,32,5,5,5,21,31,4,5,4,21,5,-4.422,0.031,-4.937,0.031
HODF7,13,-13.6094,0.03125,-13.7656,0.03125,177.089,0.00619272,187.271,0.00619272,32,5,6,5,22,31,4,6,4,22,6,-3.569,0.031,-3.718,0.031
HODF8,13,-13.9239,0.03126,-13.8594,0.03125,189.241,0.00687002,185.048,0.00687002,32,5,7,5,23,31,4,7,4,23,7,-3.859,0.031,-3.797,0.031
HODF9,13,-13.3281,0.03125,-13.651,0.03125,170.081,0.00946432,176.451,0.00946432,32,5,8,5,24,31,4,8,4,24,8,-3.28,0.031,-3.594,0.031
HODF10,13,-13.8906,0.03125,-14.1638,0.03125,169.205,0.00735889,166.477,0.00735889,32,5,9,5,25,31,4,9,4,25,9,-3.85,0.031,-4.1,0.031
HODF11,13,-13.7031,0.03125,-14.0156,0.03125,178.439,0.00801475,187.35,0.00801475,32,5,10,5,26,31,4,10,4,26,10,-3.652,0.031,-3.937,0.031
