NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODF1,13,-30.8446,0.0312507,-31.0226,0.0312506,172.213,0.016316674,153.375,0.0172043011,32,5,0,5,16,31,3,0,3,16
HODF2,13,-31.2814,0.0312507,-31.3673,0.0312504,176.867,0.0179749429,170.314,0.0181205378,32,5,1,5,17,31,3,1,3,17
HODF3,13,-31.2233,0.0312507,-31.0531,0.0312506,200.708,0.0185901249,166.551,0.0161423106,32,5,2,5,18,31,3,2,3,18
HODF4,13,-31.4124,0.0312506,-31.4253,0.0312506,188.521,0.0172476241,178.34,0.0163505559,32,5,3,5,19,31,3,3,3,19
HODF5,13,-30.6021,0.0312508,-30.6678,0.0312508,154.26,0.0166002656,171.143,0.016036692,32,5,4,5,20,31,3,4,3,20
HODF6,13,-30.9896,0.0312506,-31.076,0.0312507,172.23,0.0171614896,182.451,0.0169350878,32,5,5,5,21,31,3,5,3,21
HODF7,13,-29.9345,0.0312506,-29.7399,0.0312508,172.754,0.0161953811,183.783,0.017631398,32,5,6,5,22,31,3,6,3,22
HODF8,13,-30.3107,0.0312507,-29.7603,0.0312508,175.628,0.0169860035,192.801,0.0173313229,32,5,7,5,23,31,3,7,3,23
HODF9,13,-29.7708,0.0312505,-29.3654,0.0312508,180.456,0.0175303275,184.389,0.0181451979,32,5,8,5,24,31,3,8,3,24
HODF10,13,-30.4823,0.0312508,-30.1298,0.0312507,196.181,0.0157930479,190.11,0.0183857327,32,5,9,5,25,31,3,9,3,25
HODF11,13,-30.0224,0.0312508,-29.9283,0.0312504,191.19,0.017149717,201.729,0.0173097229,32,5,10,5,26,31,3,10,3,26
HODF12,13,-30.4922,0.0312504,-30.3345,0.0312506,203.465,0.0181702553,216.491,0.0172387043,32,5,11,5,27,31,3,11,3,27
HODF13,13,-31.036,0.0312507,-31.0904,0.0312505,181.109,0.0180534744,194.63,0.0178986934,32,5,12,5,28,31,3,12,3,28
HODF14,13,-31.6144,0.0312505,-31.6412,0.0312506,178.671,0.0189289973,200.476,0.0166600027,32,5,13,5,29,31,3,13,3,29
HODF15,13,-31.1956,0.0312507,-31.0034,0.0312506,198.703,0.0170076705,195.833,0.017646955,32,5,14,5,30,31,3,14,3,30
HODF16,13,-31.3364,0.0312505,-31.1096,0.0312508,191.424,0.0169273478,208.772,0.0162001037,32,5,15,5,31,31,3,15,3,31
HODF17,13,-34.4193,0.0312509,-34.5849,0.0312506,147.408,0.0172140742,170.969,0.0165204606,32,6,0,6,8,31,4,0,4,8
HODF18,13,-34.1462,0.0312505,-34.5116,0.0312508,148.178,0.0168571525,169.126,0.0168423889,32,6,1,6,9,31,4,1,4,9
HODF19,13,-34.207,0.0312505,-34.344,0.0312506,163.511,0.0166697228,176.639,0.018227885,32,6,2,6,10,31,4,2,4,10
HODF20,13,-34.2383,0.0312507,-34.2031,0.0312508,174.003,0.0165297453,184.899,0.0176675324,32,6,3,6,11,31,4,3,4,11
HODF21,13,-33.5831,0.0312505,-34.1636,0.0312507,171.72,0.0176118352,156.813,0.0186264831,32,6,4,6,12,31,4,4,4,12
HODF22,13,-34.0241,0.0312506,-34.02,0.0312509,185.212,0.017765776,167.19,0.0153115909,32,6,5,6,13,31,4,5,4,13
HODF23,13,-33.6014,0.0312508,-33.6129,0.0312508,195.738,0.0186004985,160.818,0.0167554707,32,6,6,6,14,31,4,6,4,14
HODF24,13,-33.7842,0.0312506,-33.617,0.0312505,199.048,0.0171080545,163.104,0.0174228169,32,6,7,6,15,31,4,7,4,15
HODP1,13,-16.7673,0.0812775,-18.4719,0.0805371,184.369,0.0169356614,235.444,0.020041285,34,2,0,2,16,33,1,0,1,16
HODP2,13,-15.7946,0.0828149,-14.2897,0.0832468,256.425,0.0219939737,204.567,0.0224789822,34,2,1,2,17,33,1,1,1,17
HODP3,13,-18.0046,0.0812741,-16.0292,0.0810445,232.3,0.0212372842,184.839,0.0234290802,34,2,2,2,18,33,1,2,1,18
