NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODF1,13,-12.3925,0.0681854,-12.4408,0.0680179,185.081,3.358045436,221.799,3.435436997,32,5,0,5,16,31,3,0,3,16
HODF2,13,-19.1796,0.0669776,-19.5191,0.0670634,139.422,3.471356617,149.736,3.560088521,32,5,1,5,17,31,3,1,3,17
HODF3,13,-20.4396,0.0692366,-20.8413,0.0688455,392.553,3.653588981,78.5172,3.680844883,32,5,2,5,18,31,3,2,3,18
HODF4,13,-10.6632,0.0685363,-21.014,0.0670617,111.819,3.535802388,151.966,3.400842464,32,5,3,5,19,31,3,3,3,19
HODF5,13,-18.0006,0.0681729,-18.525,0.0706421,193.663,3.492434631,187.23,3.711675872,32,5,4,5,20,31,3,4,3,20
HODF6,13,-13.5187,0.0687893,-13.0867,0.0685457,118.281,3.344645726,158.746,3.536304466,32,5,5,5,21,31,3,5,3,21
HODF7,13,-18.6182,0.0690718,-16.2568,0.0675547,232.252,3.527370488,66.1521,3.497481813,32,5,6,5,22,31,3,6,3,22
HODF8,13,-11.2458,0.0692909,-18.7334,0.0697291,194.994,3.5639488,154.247,3.672795082,32,5,7,5,23,31,3,7,3,23
HODF9,13,-19.277,0.0669248,-18.424,0.0678708,174.346,3.489211735,223.356,3.53989558,32,5,8,5,24,31,3,8,3,24
HODF10,13,-15.1139,0.0680487,-13.7944,0.0683211,127.084,3.533120619,169.862,3.571561545,32,5,9,5,25,31,3,9,3,25
HODF11,13,-19.2159,0.0677461,-18.7923,0.0679906,364.32,3.504385217,219.18,3.49604097,32,5,10,5,26,31,3,10,3,26
HODF12,13,-19.8139,0.0679277,-19.479,0.0684028,140.543,3.488675946,80.7009,3.592413378,32,5,11,5,27,31,3,11,3,27
HODF13,13,-19.9247,0.0689632,-11.2074,0.0678175,105.975,3.65627616,117.394,3.502034966,32,5,12,5,28,31,3,12,3,28
HODF14,13,-20.9336,0.0678834,-10.9371,0.0673189,69.9642,3.482677445,350.388,3.473144148,32,5,13,5,29,31,3,13,3,29
HODF15,13,-20.6281,0.0686103,-21.0991,0.067913,86.4997,3.480920323,132.582,3.568579416,32,5,14,5,30,31,3,14,3,30
HODF16,13,-20.4433,0.0685245,-20.0877,0.0690311,187.594,3.655878766,147.3,3.298938608,32,5,15,5,31,31,3,15,3,31
HODF17,13,-14.1792,0.0682218,-19.9768,0.068063,249.16,3.403295809,202.848,3.330311622,32,6,0,6,8,31,4,0,4,8
HODF18,13,-11.5573,0.0696813,-17.2622,0.0695806,251.599,3.499035401,204.143,3.4685487,32,6,1,6,9,31,4,1,4,9
HODF19,13,-15.6839,0.0690294,-19.558,0.0704582,241.33,3.435254733,209.747,3.339806626,32,6,2,6,10,31,4,2,4,10
HODF20,13,-15.5376,0.0694475,-12.933,0.0685122,125.432,3.514275557,168.153,3.379577435,32,6,3,6,11,31,4,3,4,11
HODF21,13,-12.7641,0.0695374,-13.324,0.0688929,226.128,3.487881967,245.774,3.482666674,32,6,4,6,12,31,4,4,4,12
HODF22,13,-17.1639,0.0694661,-12.766,0.0684237,187.57,3.505295839,194.351,3.45422222,32,6,5,6,13,31,4,5,4,13
HODF23,13,-17.3826,0.0688019,-13.2899,0.0700472,214.182,3.248589874,142.931,3.351509991,32,6,6,6,14,31,4,6,4,14
HODF24,13,-11.5426,0.0690171,-13.4525,0.0692691,191.676,3.558841109,257.565,3.4688042,32,6,7,6,15,31,4,7,4,15
HODP1,13,-20.5713,0.0678277,-12.0575,0.0690122,181.418,3.358045436,233.134,3.435436997,34,2,0,2,16,33,1,0,1,16
HODP2,13,-19.5113,0.0677332,-18.3991,0.0681361,250.72,3.471356617,199.408,3.560088521,34,2,1,2,17,33,1,1,1,17
HODP3,13,-11.8633,0.0681059,-20.2284,0.0682586,228.702,3.653588981,183.808,3.680844883,34,2,2,2,18,33,1,2,1,18
HODP4,13,-19.8223,0.0677812,-18.9144,0.0681791,251.513,3.535802388,239.981,3.400842464,34,2,3,2,19,33,1,3,1,19
HODP5,13,-19.1929,0.0676938,-17.5651,0.0676194,258.365,3.492434631,175.662,3.711675872,34,2,4,2,20,33,1,4,1,20
HODP6,13,-11.3762,0.0674952,-10.9756,0.0691769,209.097,3.344645726,228.358,3.536304466,34,2,5,2,21,33,1,5,1,21
HODP7,13,-19.1401,0.0690695,-17.2282,0.0692048,212.172,3.527370488,264.447,3.497481813,34,2,6,2,22,33,1,6,1,22
HODP8,13,-17.8905,0.0678852,-18.6357,0.0675407,246.376,3.5639488,231.383,3.672795082,34,2,7,2,23,33,1,7,1,23
HODP9,13,-18.4791,0.0683506,-19.0015,0.0675234,223.577,3.489211735,198.402,3.53989558,34,2,8,2,24,33,1,8,1,24
HODP10,13,-13.6203,0.0687111,-13.5781,0.0689022,205.352,3.533120619,228.066,3.571561545,34,2,9,2,25,33,1,9,1,25
HODP11,13,-18.654,0.0700275,-18.6107,0.0710514,217.976,3.504385217,232.439,3.49604097,34,2,10,2,26,33,1,10,1,26
HODP12,13,-17.9676,0.0679934,-19.7848,0.0685846,204.407,3.488675946,204.143,3.592413378,34,2,11,2,27,33,1,11,1,27
HODP13,13,-17.3957,0.0677042,-19.958,0.068312,180.309,3.65627616,226.006,3.502034966,34,2,12,2,28,33,1,12,1,28
HODP14,13,-17.5146,0.068111,-19.2984,0.0699296,236.159,3.482677445,190.05,3.473144148,34,2,13,2,29,33,1,13,1,29
HODP15,13,-17.7186,0.0689969,-19.1083,0.0685666,211.941,3.480920323,203.748,3.568579416,34,2,14,2,30,33,1,14,1,30
HODP16,13,-18.5987,0.0690069,-18.8576,0.0676169,202.729,3.655878766,181.254,3.298938608,34,2,15,2,31,33,1,15,1,31
HODS1,13,-18.7442,0.0641378,-17.0895,0.0646667,163.686,3.358045436,205.402,3.435436997,40,9,0,9,8,39,8,0,8,8
HODS2,13,-18.5348,0.0639453,-14.8408,0.0651072,147.327,3.471356617,154.059,3.560088521,40,9,1,9,9,39,8,1,8,9
HODS3,13,-17.0933,0.0636122,-15.0763,0.0644811,157.959,3.653588981,92.5569,3.680844883,40,9,2,9,10,39,8,2,8,10
HODS4,13,-17.2702,0.0661959,-15.9613,0.0648071,197.79,3.535802388,181.268,3.400842464,40,9,3,9,11,39,8,3,8,11
HODS5,13,-15.7894,0.0645602,-16.5085,0.0639462,223.803,3.492434631,180.779,3.711675872,40,9,4,9,12,39,8,4,8,12
HODS6,13,-16.0709,0.0644721,-14.241,0.06527,162.293,3.344645726,150.514,3.536304466,40,9,5,9,13,39,8,5,8,13
HODS7,13,-16.3979,0.0650052,-13.7028,0.0642833,158.158,3.527370488,214.246,3.497481813,40,9,6,9,14,39,8,6,8,14
