NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODF1,13,-20.9482,0.068194,-21.0852,0.068016,203.687,0.029129042,254.339,0.028787812,32,5,0,5,16,31,3,0,3,16
HODF2,13,-17.6459,0.0669627,-18.0706,0.0670458,151.155,0.034653729,165.867,0.032044172,32,5,1,5,17,31,3,1,3,17
HODF3,13,-18.9149,0.0692454,-19.5113,0.0689127,387.595,0.031650963,84.7198,0.031534569,32,5,2,5,18,31,3,2,3,18
HODF4,13,-19.2806,0.0686061,-19.5248,0.0670397,132.946,0.032038012,167.035,0.031297398,32,5,3,5,19,31,3,3,3,19
HODF5,13,-16.5931,0.068241,-17.0089,0.0706502,217.653,0.027674884,214.444,0.026165892,32,5,4,5,20,31,3,4,3,20
HODF6,13,-11.941,0.0687742,-11.5768,0.0685326,133.606,0.028281773,178.7,0.028194673,32,5,5,5,21,31,3,5,3,21
HODF7,13,-17.1575,0.0690706,-14.9765,0.0676179,260.57,0.027007936,78.6753,0.029780654,32,5,6,5,22,31,3,6,3,22
HODF8,13,-19.7631,0.0693092,-17.2868,0.069724,218.507,0.027726235,162.771,0.033861221,32,5,7,5,23,31,3,7,3,23
HODF9,13,-17.8486,0.0669092,-17.0675,0.0678625,196.915,0.029201015,248.502,0.030512851,32,5,8,5,24,31,3,8,3,24
HODF10,13,-13.6627,0.0680669,-12.2844,0.0683068,150.712,0.028009997,187.356,0.030840035,32,5,9,5,25,31,3,9,3,25
HODF11,13,-17.9269,0.0677317,-17.4535,0.0679769,397.096,0.02771855,247.27,0.028270703,32,5,10,5,26,31,3,10,3,26
HODF12,13,-18.393,0.067934,-18.0028,0.0684031,155.24,0.029081473,85.3758,0.034253072,32,5,11,5,27,31,3,11,3,27
HODF13,13,-18.3242,0.0689071,-19.7429,0.0678112,113.734,0.033944597,122.383,0.037187588,32,5,12,5,28,31,3,12,3,28
HODF14,13,-19.5676,0.0678807,-19.4795,0.067319,84.7875,0.030965947,369.425,0.030361063,32,5,13,5,29,31,3,13,3,29
