NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODF1,13,-20.9136,0.068195,-21.0691,0.0680182,201.901,0.029129042,253.049,0.028787812,32,5,0,5,16,31,3,0,3,16
HODF2,13,-17.6433,0.0669614,-17.9931,0.0670361,150.57,0.034653729,165.332,0.032044172,32,5,1,5,17,31,3,1,3,17
HODF3,13,-18.9571,0.0692495,-19.5005,0.0689101,430.343,0.031650963,83.4962,0.031534569,32,5,2,5,18,31,3,2,3,18
HODF4,13,-19.3153,0.0686093,-19.5011,0.0670419,132.496,0.032038012,166.3,0.031297398,32,5,3,5,19,31,3,3,3,19
HODF5,13,-16.605,0.0682418,-16.9653,0.0706369,216.477,0.027674884,213.036,0.026165892,32,5,4,5,20,31,3,4,3,20
HODF6,13,-11.9238,0.0687696,-11.5113,0.068534,132.649,0.028281773,178.006,0.028194673,32,5,5,5,21,31,3,5,3,21
HODF7,13,-17.234,0.0690741,-15.029,0.067626,260.686,0.027007936,76.8257,0.029780654,32,5,6,5,22,31,3,6,3,22
HODF8,13,-19.7852,0.0692981,-17.314,0.0697222,217.81,0.027726235,161.905,0.033861221,32,5,7,5,23,31,3,7,3,23
HODF9,13,-17.8429,0.0669077,-17.2098,0.0679412,196.406,0.029201015,246.771,0.030512851,32,5,8,5,24,31,3,8,3,24
HODF10,13,-13.7023,0.0680629,-12.3601,0.0683225,150.464,0.028009997,186.4,0.030840035,32,5,9,5,25,31,3,9,3,25
HODF11,13,-17.9597,0.0677312,-17.511,0.0679769,397.306,0.02771855,245.554,0.028270703,32,5,10,5,26,31,3,10,3,26
HODF12,13,-18.3865,0.0679334,-17.992,0.0684052,155.976,0.029081473,84.4511,0.034253072,32,5,11,5,27,31,3,11,3,27
HODF13,13,-18.4147,0.0689606,-19.7343,0.0678096,112.394,0.033944597,120.73,0.037187588,32,5,12,5,28,31,3,12,3,28
HODF14,13,-19.5311,0.0678807,-19.4715,0.0673153,83.9461,0.030965947,368.26,0.030361063,32,5,13,5,29,31,3,13,3,29
HODF15,13,-19.343,0.0686722,-19.6219,0.0678915,100.347,0.029744404,142.761,0.031787173,32,5,14,5,30,31,3,14,3,30
HODF16,13,-19.0953,0.0685899,-18.5811,0.0690332,192.664,0.034961274,159.782,0.030657485,32,5,15,5,31,31,3,15,3,31
HODF17,13,-13.226,0.0682191,-18.7856,0.0680568,283.185,0.030883261,226.551,0.029760542,32,6,0,6,8,31,4,0,4,8
HODF18,13,-20.3096,0.0696912,-16.1002,0.0695942,285.644,0.02987201,223.395,0.031922992,32,6,1,6,9,31,4,1,4,9
HODF19,13,-14.4686,0.0690253,-18.7168,0.070464,269.871,0.029761905,232.72,0.03199685,32,6,2,6,10,31,4,2,4,10
HODF20,13,-14.3355,0.0694397,-11.5756,0.0684878,140.366,0.032806246,182.683,0.033281278,32,6,3,6,11,31,4,3,4,11
HODF21,13,-11.489,0.0695839,-12.1548,0.0688852,250.021,0.033868278,273.994,0.032537418,32,6,4,6,12,31,4,4,4,12
HODF22,13,-15.8619,0.0694574,-11.5071,0.0684044,210.093,0.031528145,217.8,0.030201654,32,6,5,6,13,31,4,5,4,13
HODF23,13,-16.3217,0.0688123,-12.1273,0.0700415,240.455,0.031611711,161.917,0.030792553,32,6,6,6,14,31,4,6,4,14
HODF24,13,-20.3187,0.0690668,-12.3055,0.069333,211.538,0.031080403,285.363,0.031201248,32,6,7,6,15,31,4,7,4,15
HODP1,13,-19.5331,0.0676276,-10.9167,0.0670116,183.926,0.04012965,229.092,0.045745654,34,2,0,2,16,33,1,0,1,16
HODP2,13,-18.8086,0.0689254,-16.6009,0.0692767,253.663,0.042837842,193.844,0.041682698,34,2,1,2,17,33,1,1,1,17
