NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch
HODF1,13,-13.7716,0.0682274,-13.9063,0.0680581,203.687,0.029129042,254.339,0.028787812,32,5,0,5,16,31,3,0,3,16
HODF2,13,-20.245,0.0669985,-20.6523,0.0670899,151.155,0.034653729,165.867,0.032044172,32,5,1,5,17,31,3,1,3,17
HODF3,13,-11.9034,0.0692093,-11.9984,0.0688551,387.595,0.031650963,84.7198,0.031534569,32,5,2,5,18,31,3,2,3,18
HODF4,13,-11.8195,0.0685431,-11.9612,0.0670665,132.946,0.032038012,167.035,0.031297398,32,5,3,5,19,31,3,3,3,19
HODF5,13,-19.3013,0.0682027,-20.1152,0.0706394,217.653,0.027674884,214.444,0.026165892,32,5,4,5,20,31,3,4,3,20
HODF6,13,-14.982,0.0688067,-14.4368,0.0685696,133.606,0.028281773,178.7,0.028194673,32,5,5,5,21,31,3,5,3,21
HODF7,13,-10.7071,0.0690713,-17.5392,0.0675689,260.57,0.027007936,78.6753,0.029780654,32,5,6,5,22,31,3,6,3,22
HODF8,13,-13.2415,0.069285,-20.0833,0.0697347,218.507,0.027726235,162.771,0.033861221,32,5,7,5,23,31,3,7,3,23
HODF9,13,-11.1573,0.0669633,-20.4573,0.0678963,196.915,0.029201015,248.502,0.030512851,32,5,8,5,24,31,3,8,3,24
HODF10,13,-16.9076,0.0680671,-15.4639,0.0683268,150.712,0.028009997,187.356,0.030840035,32,5,9,5,25,31,3,9,3,25
HODF11,13,-10.8271,0.0677723,-20.316,0.068011,397.096,0.02771855,247.27,0.028270703,32,5,10,5,26,31,3,10,3,26
HODF12,13,-10.8582,0.067935,-20.5807,0.0683626,155.24,0.029081473,85.3758,0.034253072,32,5,11,5,27,31,3,11,3,27
HODF13,13,-10.952,0.0689195,-12.0429,0.0678255,113.734,0.033944597,122.383,0.037187588,32,5,12,5,28,31,3,12,3,28
HODF14,13,-12.1443,0.0679039,-11.9809,0.067348,84.7875,0.030965947,369.425,0.030361063,32,5,13,5,29,31,3,13,3,29
HODF15,13,-11.8901,0.0686202,-12.0999,0.0679031,100.834,0.029744404,144.717,0.031787173,32,5,14,5,30,31,3,14,3,30
