ID,NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,det,geo,ch
1,PDC_0_0,13,0,81,U,0,-822,40,0,37,0,0
2,PDC_0_1,13,0,81,U,1,-810,40,0,37,0,1
3,PDC_0_2,13,0,81,U,2,-798,40,0,37,0,2
4,PDC_0_3,13,0,81,U,3,-786,40,0,37,0,3
5,PDC_0_4,13,0,81,U,4,-774,40,0,37,0,4
6,PDC_0_5,13,0,81,U,5,-762,40,0,37,0,5
7,PDC_0_6,13,0,81,U,6,-750,40,0,37,0,6
8,PDC_0_7,13,0,81,U,7,-738,40,0,37,0,7
9,PDC_0_8,13,0,81,U,8,-726,40,0,37,0,8
10,PDC_0_9,13,0,81,U,9,-714,40,0,37,0,9
11,PDC_0_10,13,0,81,U,10,-702,40,0,37,0,10
12,PDC_0_11,13,0,81,U,11,-690,40,0,37,0,11
13,PDC_0_12,13,0,81,U,12,-678,40,0,37,0,12
14,PDC_0_13,13,0,81,U,13,-666,40,0,37,0,13
15,PDC_0_14,13,0,81,U,14,-654,40,0,37,0,14
16,PDC_0_15,13,0,81,U,15,-642,40,0,37,0,15
17,PDC_0_16,13,0,81,U,16,-630,40,0,37,0,16
18,PDC_0_17,13,0,81,U,17,-618,40,0,37,0,17
19,PDC_0_18,13,0,81,U,18,-606,40,0,37,0,18
20,PDC_0_19,13,0,81,U,19,-594,40,0,37,0,19
21,PDC_0_20,13,0,81,U,20,-582,40,0,37,0,20
22,PDC_0_21,13,0,81,U,21,-570,40,0,37,0,21
23,PDC_0_22,13,0,81,U,22,-558,40,0,37,0,22
24,PDC_0_23,13,0,81,U,23,-546,40,0,37,0,23
25,PDC_0_24,13,0,81,U,24,-534,40,0,37,0,24
26,PDC_0_25,13,0,81,U,25,-522,40,0,37,0,25
27,PDC_0_26,13,0,81,U,26,-510,40,0,37,0,26
28,PDC_0_27,13,0,81,U,27,-498,40,0,37,0,27
29,PDC_0_28,13,0,81,U,28,-486,40,0,37,0,28
30,PDC_0_29,13,0,81,U,29,-474,40,0,37,0,29
31,PDC_0_30,13,0,81,U,30,-462,40,0,37,0,30
32,PDC_0_31,13,0,81,U,31,-450,40,0,37,0,31
33,PDC_0_32,13,0,81,U,32,-438,40,0,37,0,32
34,PDC_0_33,13,0,81,U,33,-426,40,0,37,0,33
35,PDC_0_34,13,0,81,U,34,-414,40,0,37,0,34
36,PDC_0_35,13,0,81,U,35,-402,40,0,37,0,35
37,PDC_0_36,13,0,81,U,36,-390,40,0,37,0,36
38,PDC_0_37,13,0,81,U,37,-378,40,0,37,0,37
39,PDC_0_38,13,0,81,U,38,-366,40,0,37,0,38
40,PDC_0_39,13,0,81,U,39,-354,40,0,37,0,39
41,PDC_0_40,13,0,81,U,40,-342,40,0,37,0,40
42,PDC_0_41,13,0,81,U,41,-330,40,0,37,0,41
43,PDC_0_42,13,0,81,U,42,-318,40,0,37,0,48
44,PDC_0_43,13,0,81,U,43,-306,40,0,37,0,49
45,PDC_0_44,13,0,81,U,44,-294,40,0,37,0,50
46,PDC_0_45,13,0,81,U,45,-282,40,0,37,0,51
47,PDC_0_46,13,0,81,U,46,-270,40,0,37,0,52
48,PDC_0_47,13,0,81,U,47,-258,40,0,37,0,53
49,PDC_0_48,13,0,81,U,48,-246,40,0,37,0,54
50,PDC_0_49,13,0,81,U,49,-234,40,0,37,0,55
51,PDC_0_50,13,0,81,U,50,-222,40,0,37,0,56
52,PDC_0_51,13,0,81,U,51,-210,40,0,37,0,57
53,PDC_0_52,13,0,81,U,52,-198,40,0,37,0,58
54,PDC_0_53,13,0,81,U,53,-186,40,0,37,0,59
55,PDC_0_54,13,0,81,U,54,-174,40,0,37,0,60
56,PDC_0_55,13,0,81,U,55,-162,40,0,37,0,61
57,PDC_0_56,13,0,81,U,56,-150,40,0,37,0,62
58,PDC_0_57,13,0,81,U,57,-138,40,0,37,0,63
59,PDC_0_58,13,0,81,U,58,-126,40,0,37,1,0
60,PDC_0_59,13,0,81,U,59,-114,40,0,37,1,1
61,PDC_0_60,13,0,81,U,60,-102,40,0,37,1,2
62,PDC_0_61,13,0,81,U,61,-90,40,0,37,1,3
63,PDC_0_62,13,0,81,U,62,-78,40,0,37,1,4
64,PDC_0_63,13,0,81,U,63,-66,40,0,37,1,5
65,PDC_0_64,13,0,81,U,64,-54,40,0,37,1,6
66,PDC_0_65,13,0,81,U,65,-42,40,0,37,1,7
67,PDC_0_66,13,0,81,U,66,-30,40,0,37,1,8
68,PDC_0_67,13,0,81,U,67,-18,40,0,37,1,9
69,PDC_0_68,13,0,81,U,68,-6,40,0,37,1,10
70,PDC_0_69,13,0,81,U,69,6,40,0,37,1,11
71,PDC_0_70,13,0,81,U,70,18,40,0,37,1,12
72,PDC_0_71,13,0,81,U,71,30,40,0,37,1,13
73,PDC_0_72,13,0,81,U,72,42,40,0,37,1,14
74,PDC_0_73,13,0,81,U,73,54,40,0,37,1,15
75,PDC_0_74,13,0,81,U,74,66,40,0,37,1,16
76,PDC_0_75,13,0,81,U,75,78,40,0,37,1,17
77,PDC_0_76,13,0,81,U,76,90,40,0,37,1,18
78,PDC_0_77,13,0,81,U,77,102,40,0,37,1,19
79,PDC_0_78,13,0,81,U,78,114,40,0,37,1,20
80,PDC_0_79,13,0,81,U,79,126,40,0,37,1,21
81,PDC_0_80,13,0,81,U,80,138,40,0,37,1,22
82,PDC_0_81,13,0,81,U,81,150,40,0,37,1,23
83,PDC_0_82,13,0,81,U,82,162,40,0,37,1,24
84,PDC_0_83,13,0,81,U,83,174,40,0,37,1,25
85,PDC_0_84,13,0,81,U,84,186,40,0,37,1,26
86,PDC_0_85,13,0,81,U,85,198,40,0,37,1,27
87,PDC_0_86,13,0,81,U,86,210,40,0,37,1,28
