NAME,FPL,tcal_left,tcal_right,zpos,t_fpl,tleft_geo,tleft_ch,tright_geo,tright_ch,q_fpl,qleft_geo,qleft_ch,qright_geo,qright_ch,tdc_overflow,t_det,q_det
F3pl,3,0.0156251,0.0156257,-205,13,6,0,6,1,13,5,0,5,1,65536,3,2
F5pl,5,0.0156255,0.0156255,755,13,6,2,6,3,13,5,2,5,3,65536,3,2,-93.7907,4.25038,-92.2553,4.18517
F7pl,7,0.0156255,0.015625,220,13,6,4,6,5,13,5,4,5,5,65536,3,2,-57.3125,2.01202,-101.955,3.57893
F13pl-1,13,0.0156254,0.0156254,0,13,6,6,6,7,13,5,6,5,7,65536,3,2,6.17038,-0.266505,-93.8682,4.03007
F13pl-2,13,0.0156252,0.0156253,0,13,6,8,6,9,13,5,8,5,9,65536,3,2,-31.9767,1.48515,-112.689,5.23717
SBV,13,0.0156256,0.0156255,0,13,6,10,6,11,13,5,10,5,11,65536,3,2
SBV2,13,0.0156251,0.0156253,0,13,6,12,6,13,13,5,12,5,13,65536,3,2
sva03_ch0,63,0,0,0,63,9,0,-1,-1,63,4,0,-1,-1,65536,14,2
sva03_ch1,63,0,0,0,63,9,1,-1,-1,63,4,1,-1,-1,65536,14,2
sva03_ch2,63,0,0,0,63,9,2,-1,-1,63,4,2,-1,-1,65536,14,2
sva03_ch3,63,0,0,0,63,9,3,-1,-1,63,4,3,-1,-1,65536,14,2
sva03_ch4,63,0,0,0,63,9,4,-1,-1,63,4,4,-1,-1,65536,14,2
sva03_ch5,63,0,0,0,63,9,5,-1,-1,63,4,5,-1,-1,65536,14,2
sva03_ch6,63,0,0,0,63,9,6,-1,-1,63,4,6,-1,-1,65536,14,2
sva03_ch7,63,0,0,0,63,9,7,-1,-1,63,4,7,-1,-1,65536,14,2
sva03_ch8,63,0,0,0,63,9,8,-1,-1,63,4,8,-1,-1,65536,14,2
sva03_ch9,63,0,0,0,63,9,9,-1,-1,63,4,9,-1,-1,65536,14,2
