FPL,Id,NAME,adc_ch,adc_geo,angle,layer,qcal,qped,strip,tcal,tdc_ch,tdc_geo,toff,x,y,z
13,1,SiFL1,0,0,0,1,6.34594,155.021,0,1,64,5,0,NAN,31,360
13,2,SiFL2,1,0,0,1,5.61674,131.323,1,1,65,5,0,NAN,29,360
13,3,SiFL3,2,0,0,1,5.80371,142.668,2,1,66,5,0,NAN,27,360
13,4,SiFL4,3,0,0,1,6.05883,147.637,3,1,67,5,0,NAN,25,360
13,5,SiFL5,4,0,0,1,6.09105,154.208,4,1,68,5,0,NAN,23,360
13,6,SiFL6,5,0,0,1,6.35755,144.801,5,1,69,5,0,NAN,21,360
13,7,SiFL7,6,0,0,1,5.69888,129.573,6,1,70,5,0,NAN,19,360
13,8,SiFL8,7,0,0,1,5.73262,159.012,7,1,71,5,0,NAN,17,360
13,9,SiFL9,8,0,0,1,5.96443,154.921,8,1,72,5,0,NAN,15,360
13,10,SiFL10,9,0,0,1,5.80161,148.252,9,1,73,5,0,NAN,13,360
13,11,SiFL11,10,0,0,1,6.54126,158.822,10,1,74,5,0,NAN,11,360
13,12,SiFL12,11,0,0,1,6.05838,157.372,11,1,75,5,0,NAN,9,360
13,13,SiFL13,12,0,0,1,6.59224,222.582,12,1,76,5,0,NAN,7,360
13,14,SiFL14,13,0,0,1,5.81726,140.253,13,1,77,5,0,NAN,5,360
13,15,SiFL15,14,0,0,1,5.76127,161.693,14,1,78,5,0,NAN,3,360
13,16,SiFL16,15,0,0,1,5.71612,149.017,15,1,79,5,0,NAN,1,360
13,17,SiFL17,16,0,0,1,7.1928,170.82,16,1,80,5,0,NAN,-1,360
13,18,SiFL18,17,0,0,1,6.5173,152.08,17,1,81,5,0,NAN,-3,360
13,19,SiFL19,18,0,0,1,6.11667,211.188,18,1,82,5,0,NAN,-5,360
13,20,SiFL20,19,0,0,1,6.419,154.463,19,1,83,5,0,NAN,-7,360
13,21,SiFL21,20,0,0,1,6.57058,161.61,20,1,84,5,0,NAN,-9,360
