FPL,Id,NAME,strip,angle,layer,x,y,z,adc_geo,adc_ch,qcal,qped,tdc_geo,tdc_ch,tcal,toff
13,1,SiFL1,0,0,1,NAN,-31,360,0,0,1,0,5,64,1,0
13,2,SiFL2,1,0,1,NAN,-29,360,0,1,1,0,5,65,1,0
13,3,SiFL3,2,0,1,NAN,-27,360,0,2,1,0,5,66,1,0
13,4,SiFL4,3,0,1,NAN,-25,360,0,3,1,0,5,67,1,0
13,5,SiFL5,4,0,1,NAN,-23,360,0,4,1,0,5,68,1,0
13,6,SiFL6,5,0,1,NAN,-21,360,0,5,1,0,5,69,1,0
13,7,SiFL7,6,0,1,NAN,-19,360,0,6,1,0,5,70,1,0
13,8,SiFL8,7,0,1,NAN,-17,360,0,7,1,0,5,71,1,0
13,9,SiFL9,8,0,1,NAN,-15,360,0,8,1,0,5,72,1,0
13,10,SiFL10,9,0,1,NAN,-13,360,0,9,1,0,5,73,1,0
13,11,SiFL11,10,0,1,NAN,-11,360,0,10,1,0,5,74,1,0
13,12,SiFL12,11,0,1,NAN,-9,360,0,11,1,0,5,75,1,0
13,13,SiFL13,12,0,1,NAN,-7,360,0,12,1,0,5,76,1,0
13,14,SiFL14,13,0,1,NAN,-5,360,0,13,1,0,5,77,1,0
13,15,SiFL15,14,0,1,NAN,-3,360,0,14,1,0,5,78,1,0
13,16,SiFL16,15,0,1,NAN,-1,360,0,15,1,0,5,79,1,0
13,17,SiFL17,16,0,1,NAN,1,360,0,16,1,0,5,80,1,0
13,18,SiFL18,17,0,1,NAN,3,360,0,17,1,0,5,81,1,0
13,19,SiFL19,18,0,1,NAN,5,360,0,18,1,0,5,82,1,0
13,20,SiFL20,19,0,1,NAN,7,360,0,19,6.419,154.969,5,83,1,0
13,21,SiFL21,20,0,1,NAN,9,360,0,20,1,0,5,84,1,0
13,22,SiFL22,21,0,1,NAN,11,360,0,21,1,0,5,85,1,0
13,23,SiFL23,22,0,1,NAN,13,360,0,22,1,0,5,86,1,0
13,24,SiFL24,23,0,1,NAN,15,360,0,23,1,0,5,87,1,0
13,25,SiFL25,24,0,1,NAN,17,360,0,24,1,0,5,88,1,0
