NAME,FPL,det,layer,id_Si_det,gain,adc_geo,adc_ch,stripID,par0,par1,par2,xy,z
HGSi_2_16,13,56,1,2,HG,1,0,16,0,1,0,-33.174,0.684
HGSi_2_14,13,56,1,2,HG,1,1,14,0,1,0,-34.542,0.684
HGSi_2_12,13,56,1,2,HG,1,2,12,0,1,0,-35.91,0.684
HGSi_2_10,13,56,1,2,HG,1,3,10,0,1,0,-37.278,0.684
HGSi_2_8,13,56,1,2,HG,1,4,8,0,1,0,-38.646,0.684
HGSi_2_6,13,56,1,2,HG,1,5,6,0,1,0,-40.014,0.684
HGSi_2_4,13,56,1,2,HG,1,6,4,0,1,0,-41.382,0.684
HGSi_2_2,13,56,1,2,HG,1,7,2,0,1,0,-42.75,0.684
HGSi_2_32,13,56,1,2,HG,1,8,32,0,1,0,-22.23,0.684
HGSi_2_30,13,56,1,2,HG,1,9,30,0,1,0,-23.598,0.684
HGSi_2_28,13,56,1,2,HG,1,10,28,0,1,0,-24.966,0.684
HGSi_2_26,13,56,1,2,HG,1,11,26,0,1,0,-26.334,0.684
HGSi_2_24,13,56,1,2,HG,1,12,24,0,1,0,-27.702,0.684
HGSi_2_22,13,56,1,2,HG,1,13,22,0,1,0,-29.07,0.684
HGSi_2_20,13,56,1,2,HG,1,14,20,0,1,0,-30.438,0.684
HGSi_2_18,13,56,1,2,HG,1,15,18,0,1,0,-31.806,0.684
HGSi_2_15,13,56,1,2,HG,2,0,15,0,1,0,-33.858,0.684
HGSi_2_13,13,56,1,2,HG,2,1,13,0,1,0,-35.226,0.684
HGSi_2_11,13,56,1,2,HG,2,2,11,0,1,0,-36.594,0.684
HGSi_2_9,13,56,1,2,HG,2,3,9,0,1,0,-37.962,0.684
HGSi_2_7,13,56,1,2,HG,2,4,7,0,1,0,-39.33,0.684
HGSi_2_5,13,56,1,2,HG,2,5,5,0,1,0,-40.698,0.684
HGSi_2_3,13,56,1,2,HG,2,6,3,0,1,0,-42.066,0.684
HGSi_2_1,13,56,1,2,HG,2,7,1,0,1,0,-43.434,0.684
HGSi_2_31,13,56,1,2,HG,2,8,31,0,1,0,-22.914,0.684
HGSi_2_29,13,56,1,2,HG,2,9,29,0,1,0,-24.282,0.684
HGSi_2_27,13,56,1,2,HG,2,10,27,0,1,0,-25.65,0.684
HGSi_2_25,13,56,1,2,HG,2,11,25,0,1,0,-27.018,0.684
HGSi_2_23,13,56,1,2,HG,2,12,23,0,1,0,-28.386,0.684
HGSi_2_21,13,56,1,2,HG,2,13,21,0,1,0,-29.754,0.684
HGSi_2_19,13,56,1,2,HG,2,14,19,0,1,0,-31.122,0.684
HGSi_2_17,13,56,1,2,HG,2,15,17,0,1,0,-32.49,0.684
HGSi_2_48,13,56,1,2,HG,3,0,48,0,1,0,-11.286,0.684
HGSi_2_46,13,56,1,2,HG,3,1,46,0,1,0,-12.654,0.684
HGSi_2_44,13,56,1,2,HG,3,2,44,0,1,0,-14.022,0.684
HGSi_2_42,13,56,1,2,HG,3,3,42,0,1,0,-15.39,0.684
HGSi_2_40,13,56,1,2,HG,3,4,40,0,1,0,-16.758,0.684
HGSi_2_38,13,56,1,2,HG,3,5,38,0,1,0,-18.126,0.684
HGSi_2_36,13,56,1,2,HG,3,6,36,0,1,0,-19.494,0.684
HGSi_2_34,13,56,1,2,HG,3,7,34,0,1,0,-20.862,0.684
HGSi_2_64,13,56,1,2,HG,3,8,64,0,1,0,-0.342,0.684
HGSi_2_62,13,56,1,2,HG,3,9,62,0,1,0,-1.71,0.684
HGSi_2_60,13,56,1,2,HG,3,10,60,0,1,0,-3.078,0.684
HGSi_2_58,13,56,1,2,HG,3,11,58,0,1,0,-4.446,0.684
HGSi_2_56,13,56,1,2,HG,3,12,56,0,1,0,-5.814,0.684
HGSi_2_54,13,56,1,2,HG,3,13,54,0,1,0,-7.182,0.684
HGSi_2_52,13,56,1,2,HG,3,14,52,0,1,0,-8.55,0.684
HGSi_2_50,13,56,1,2,HG,3,15,50,0,1,0,-9.918,0.684
HGSi_2_47,13,56,1,2,HG,4,0,47,0,1,0,-11.97,0.684
HGSi_2_45,13,56,1,2,HG,4,1,45,0,1,0,-13.338,0.684
HGSi_2_43,13,56,1,2,HG,4,2,43,0,1,0,-14.706,0.684
HGSi_2_41,13,56,1,2,HG,4,3,41,0,1,0,-16.074,0.684
HGSi_2_39,13,56,1,2,HG,4,4,39,0,1,0,-17.442,0.684
HGSi_2_37,13,56,1,2,HG,4,5,37,0,1,0,-18.81,0.684
HGSi_2_35,13,56,1,2,HG,4,6,35,0,1,0,-20.178,0.684
HGSi_2_33,13,56,1,2,HG,4,7,33,0,1,0,-21.546,0.684
HGSi_2_63,13,56,1,2,HG,4,8,63,0,1,0,-1.026,0.684
HGSi_2_61,13,56,1,2,HG,4,9,61,0,1,0,-2.394,0.684
HGSi_2_59,13,56,1,2,HG,4,10,59,0,1,0,-3.762,0.684
HGSi_2_57,13,56,1,2,HG,4,11,57,0,1,0,-5.13,0.684
HGSi_2_55,13,56,1,2,HG,4,12,55,0,1,0,-6.498,0.684
HGSi_2_53,13,56,1,2,HG,4,13,53,0,1,0,-7.866,0.684
HGSi_2_51,13,56,1,2,HG,4,14,51,0,1,0,-9.234,0.684
HGSi_2_49,13,56,1,2,HG,4,15,49,0,1,0,-10.602,0.684
HGSi_2_80,13,56,1,2,HG,5,0,80,0,1,0,10.602,0.684
HGSi_2_78,13,56,1,2,HG,5,1,78,0,1,0,9.234,0.684
HGSi_2_76,13,56,1,2,HG,5,2,76,0,1,0,7.866,0.684
HGSi_2_74,13,56,1,2,HG,5,3,74,0,1,0,6.498,0.684
HGSi_2_72,13,56,1,2,HG,5,4,72,0,1,0,5.13,0.684
HGSi_2_70,13,56,1,2,HG,5,5,70,0,1,0,3.762,0.684
HGSi_2_68,13,56,1,2,HG,5,6,68,0,1,0,2.394,0.684
HGSi_2_66,13,56,1,2,HG,5,7,66,0,1,0,1.026,0.684
HGSi_2_96,13,56,1,2,HG,5,8,96,0,1,0,21.546,0.684
HGSi_2_94,13,56,1,2,HG,5,9,94,0,1,0,20.178,0.684
HGSi_2_92,13,56,1,2,HG,5,10,92,0,1,0,18.81,0.684
HGSi_2_90,13,56,1,2,HG,5,11,90,0,1,0,17.442,0.684
HGSi_2_88,13,56,1,2,HG,5,12,88,0,1,0,16.074,0.684
HGSi_2_86,13,56,1,2,HG,5,13,86,0,1,0,14.706,0.684
HGSi_2_84,13,56,1,2,HG,5,14,84,0,1,0,13.338,0.684
HGSi_2_82,13,56,1,2,HG,5,15,82,0,1,0,11.97,0.684
HGSi_2_79,13,56,1,2,HG,6,0,79,0,1,0,9.918,0.684
HGSi_2_77,13,56,1,2,HG,6,1,77,0,1,0,8.55,0.684
HGSi_2_75,13,56,1,2,HG,6,2,75,0,1,0,7.182,0.684
HGSi_2_73,13,56,1,2,HG,6,3,73,0,1,0,5.814,0.684
HGSi_2_71,13,56,1,2,HG,6,4,71,0,1,0,4.446,0.684
HGSi_2_69,13,56,1,2,HG,6,5,69,0,1,0,3.078,0.684
HGSi_2_67,13,56,1,2,HG,6,6,67,0,1,0,1.71,0.684
HGSi_2_65,13,56,1,2,HG,6,7,65,0,1,0,0.342,0.684
HGSi_2_95,13,56,1,2,HG,6,8,95,0,1,0,20.862,0.684
HGSi_2_93,13,56,1,2,HG,6,9,93,0,1,0,19.494,0.684
HGSi_2_91,13,56,1,2,HG,6,10,91,0,1,0,18.126,0.684
HGSi_2_89,13,56,1,2,HG,6,11,89,0,1,0,16.758,0.684
HGSi_2_87,13,56,1,2,HG,6,12,87,0,1,0,15.39,0.684
HGSi_2_85,13,56,1,2,HG,6,13,85,0,1,0,14.022,0.684
HGSi_2_83,13,56,1,2,HG,6,14,83,0,1,0,12.654,0.684
HGSi_2_81,13,56,1,2,HG,6,15,81,0,1,0,11.286,0.684
HGSi_2_112,13,56,1,2,HG,7,0,112,0,1,0,32.49,0.684
HGSi_2_110,13,56,1,2,HG,7,1,110,0,1,0,31.122,0.684
HGSi_2_108,13,56,1,2,HG,7,2,108,0,1,0,29.754,0.684
HGSi_2_106,13,56,1,2,HG,7,3,106,0,1,0,28.386,0.684
HGSi_2_104,13,56,1,2,HG,7,4,104,0,1,0,27.018,0.684
HGSi_2_102,13,56,1,2,HG,7,5,102,0,1,0,25.65,0.684
HGSi_2_100,13,56,1,2,HG,7,6,100,0,1,0,24.282,0.684
HGSi_2_98,13,56,1,2,HG,7,7,98,0,1,0,22.914,0.684
HGSi_2_128,13,56,1,2,HG,7,8,128,0,1,0,43.434,0.684
HGSi_2_126,13,56,1,2,HG,7,9,126,0,1,0,42.066,0.684
HGSi_2_124,13,56,1,2,HG,7,10,124,0,1,0,40.698,0.684
HGSi_2_122,13,56,1,2,HG,7,11,122,0,1,0,39.33,0.684
HGSi_2_120,13,56,1,2,HG,7,12,120,0,1,0,37.962,0.684
HGSi_2_118,13,56,1,2,HG,7,13,118,0,1,0,36.594,0.684
HGSi_2_116,13,56,1,2,HG,7,14,116,0,1,0,35.226,0.684
HGSi_2_114,13,56,1,2,HG,7,15,114,0,1,0,33.858,0.684
HGSi_2_111,13,56,1,2,HG,8,0,111,0,1,0,31.806,0.684
HGSi_2_109,13,56,1,2,HG,8,1,109,0,1,0,30.438,0.684
HGSi_2_107,13,56,1,2,HG,8,2,107,0,1,0,29.07,0.684
HGSi_2_105,13,56,1,2,HG,8,3,105,0,1,0,27.702,0.684
HGSi_2_103,13,56,1,2,HG,8,4,103,0,1,0,26.334,0.684
HGSi_2_101,13,56,1,2,HG,8,5,101,0,1,0,24.966,0.684
HGSi_2_99,13,56,1,2,HG,8,6,99,0,1,0,23.598,0.684
HGSi_2_97,13,56,1,2,HG,8,7,97,0,1,0,22.23,0.684
HGSi_2_127,13,56,1,2,HG,8,8,127,0,1,0,42.75,0.684
HGSi_2_125,13,56,1,2,HG,8,9,125,0,1,0,41.382,0.684
