name,id,cluster,layer,digitizer,channel,posx,posy,posz,phi,dir
GAGG_RRU7F,150,1,1,2,23,-174.471,36.565,207.5,0,1
GAGG_RRU7B,150,2,2,2,22,-174.471,36.565,207.5,0,1
GAGG_RRU6F,148,1,1,2,21,-155.971,68.608,207.5,0,1
GAGG_RRU6B,148,2,2,2,20,-155.971,68.608,207.5,0,1
GAGG_RRU5F,146,1,1,2,19,-137.471,100.65,207.5,0,1
GAGG_RRU5B,146,2,2,2,18,-137.471,100.65,207.5,0,1
GAGG_RRU4F,144,1,1,2,17,-118.971,132.693,207.5,0,1
GAGG_RRU4B,144,2,2,2,16,-118.971,132.693,207.5,0,1
GAGG_RRU3F,132,1,1,2,5,-126.25,30.086,187.5,0,1
GAGG_RRU3B,132,2,2,2,4,-126.25,30.086,187.5,0,1
GAGG_RRU2F,130,1,1,2,3,-107.751,62.129,187.5,0,1
GAGG_RRU2B,130,2,2,2,2,-107.751,62.129,187.5,0,1
GAGG_RRU1F,128,1,1,2,1,-89.25,94.172,187.5,0,1
GAGG_RRU1B,128,2,2,2,0,-89.25,94.172,187.5,0,1
GAGG_RRD7F,158,1,1,2,31,-118.971,-132.693,207.5,0,1
GAGG_RRD7B,158,2,2,2,30,-118.971,-132.693,207.5,0,1
GAGG_RRD6F,156,1,1,2,29,-137.471,-100.65,207.5,0,1
GAGG_RRD6B,156,2,2,2,28,-137.471,-100.65,207.5,0,1
GAGG_RRD5F,154,1,1,2,27,-155.971,-68.608,207.5,0,1
GAGG_RRD5B,154,2,2,2,26,-155.971,-68.608,207.5,0,1
GAGG_RRD4F,152,1,1,2,25,-174.471,-36.565,207.5,0,1
GAGG_RRD4B,152,2,2,2,24,-174.471,-36.565,207.5,0,1
GAGG_RRD3F,140,1,1,2,13,-89.251,-94.333,187.5,0,1
GAGG_RRD3B,140,2,2,2,12,-89.251,-94.333,187.5,0,1
GAGG_RRD2F,138,1,1,2,11,-107.751,-62.29,187.5,0,1
GAGG_RRD2B,138,2,2,2,10,-107.751,-62.29,187.5,0,1
GAGG_RRD1F,136,1,1,2,9,-126.25,-30.248,187.5,0,1
GAGG_RRD1B,136,2,2,2,8,-126.25,-30.248,187.5,0,1
GAGG_RLU7F,222,1,1,3,31,118.972,132.693,207.5,0,1
GAGG_RLU7B,222,2,2,3,30,118.972,132.693,207.5,0,1
GAGG_RLU6F,220,1,1,3,29,137.472,100.65,207.5,0,1
GAGG_RLU6B,220,2,2,3,28,137.472,100.65,207.5,0,1
GAGG_RLU5F,218,1,1,3,27,155.972,68.608,207.5,0,1
GAGG_RLU5B,218,2,2,3,26,155.972,68.608,207.5,0,1
GAGG_RLU4F,216,1,1,3,25,174.472,36.565,207.5,0,1
GAGG_RLU4B,216,2,2,3,24,174.472,36.565,207.5,0,1
GAGG_RLU3F,204,1,1,3,13,89.251,94.333,187.5,0,1
GAGG_RLU3B,204,2,2,3,12,89.251,94.333,187.5,0,1
GAGG_RLU2F,202,1,1,3,11,107.751,62.29,187.5,0,1
GAGG_RLU2B,202,2,2,3,10,107.751,62.29,187.5,0,1
GAGG_RLU1F,200,1,1,3,9,126.251,30.248,187.5,0,1
GAGG_RLU1B,200,2,2,3,8,126.251,30.248,187.5,0,1
GAGG_RLD7F,214,1,1,3,23,174.472,-36.726,207.5,0,1
GAGG_RLD7B,214,2,2,3,22,174.472,-36.726,207.5,0,1
GAGG_RLD6F,212,1,1,3,21,155.972,-68.769,207.5,0,1
GAGG_RLD6B,212,2,2,3,20,155.972,-68.769,207.5,0,1
GAGG_RLD5F,210,1,1,3,19,137.472,-100.812,207.5,0,1
GAGG_RLD5B,210,2,2,3,18,137.472,-100.812,207.5,0,1
GAGG_RLD4F,208,1,1,3,17,118.971,-132.693,207.5,0,1
GAGG_RLD4B,208,2,2,3,16,118.971,-132.693,207.5,0,1
GAGG_RLD3F,196,1,1,3,5,126.25,-30.086,187.5,0,1
GAGG_RLD3B,196,2,2,3,4,126.25,-30.086,187.5,0,1
GAGG_RLD2F,194,1,1,3,3,107.751,-62.129,187.5,0,1
GAGG_RLD2B,194,2,2,3,2,107.751,-62.129,187.5,0,1
GAGG_RLD1F,192,1,1,3,1,89.25,-94.172,187.5,0,1
GAGG_RLD1B,192,2,2,3,0,89.25,-94.172,187.5,0,1
GAGG_C2R9,227,2,2,3,35,-76,56.3,421.491,0,1
GAGG_C2R8,226,2,2,3,34,-95,18.3,421.491,0,1
GAGG_C2R7,225,2,2,3,33,-95,-19.7,421.491,0,1
GAGG_C2R6,224,2,2,3,32,-76,-57.7,421.491,0,1
GAGG_C2R5,-1,2,2,3,0,0,0,0,0,1
GAGG_C2R4,243,2,2,3,51,-38,56.3,421.491,0,1
GAGG_C2R38,-1,2,2,3,0,0,0,0,0,1
