name,id,segment,layer,digitizer,channel,posx,posy,posz,phi,dir,pd,slope,offset
GAGG_C2R5,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R38,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R37,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R36,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R31,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R30,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R29,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R28,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R27,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R26,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R21,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R20,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R19,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R18,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R17,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R12,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R11,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2R10,-1,6,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L5,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L38,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L37,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L36,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L31,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L30,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L29,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L28,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L27,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L26,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L21,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L20,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L19,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L18,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L17,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L12,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L11,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C2L10,-1,5,2,-1,-1,0,0,0,0,1,1,1,0
GAGG_C1L1U,112,5,1,1,49,59.05,1.3,381.5,0,1,2,1,0
GAGG_C1L1D,112,5,1,1,48,59.05,1.3,381.5,0,1,2,1,0
GAGG_C1L2U,114,5,1,1,51,96.05,1.3,381.5,0,1,2,1,0
GAGG_C1L2D,114,5,1,1,50,96.05,1.3,381.5,0,1,2,1,0
