ID,NAME,FPL,layer,id_plane,anodedir,wireid,wirepos,wirez,tzero_offset,tot_gain,det,geo,ch
1,PDC_0_0,13,0,81,V,0,798,-16,0,1.223381001,37,0,0
2,PDC_0_1,13,0,81,V,1,786,-16,0,1.14625604896,37,0,1
3,PDC_0_2,13,0,81,V,2,774,-16,0,1.0471268496,37,0,2
4,PDC_0_3,13,0,81,V,3,762,-16,0,1.11077253077,37,0,3
5,PDC_0_4,13,0,81,V,4,750,-16,0,1.07078778154,37,0,4
6,PDC_0_5,13,0,81,V,5,738,-16,0,0.9722698644200001,37,0,5
7,PDC_0_6,13,0,81,V,6,726,-16,0,0.99591437032,37,0,6
8,PDC_0_7,13,0,81,V,7,714,-16,0,0.98611699657,37,0,7
9,PDC_0_8,13,0,81,V,8,702,-16,0,0.99546209808,37,0,8
10,PDC_0_9,13,0,81,V,9,690,-16,0,1.0297547226600001,37,0,9
11,PDC_0_10,13,0,81,V,10,678,-16,0,1.02623941854,37,0,10
12,PDC_0_11,13,0,81,V,11,666,-16,0,1.01559026998,37,0,11
13,PDC_0_12,13,0,81,V,12,654,-16,0,1.0312873584,37,0,12
14,PDC_0_13,13,0,81,V,13,642,-16,0,1.0019690535599999,37,0,13
15,PDC_0_14,13,0,81,V,14,630,-16,0,0.99907101406,37,0,14
16,PDC_0_15,13,0,81,V,15,618,-16,0,1.0002477726,37,0,15
17,PDC_0_16,13,0,81,V,16,606,-16,0,1.05306607416,37,0,16
18,PDC_0_17,13,0,81,V,17,594,-16,0,1.0259975013200002,37,0,17
19,PDC_0_18,13,0,81,V,18,582,-16,0,1.0205589554999999,37,0,18
20,PDC_0_19,13,0,81,V,19,570,-16,0,1.0204169652,37,0,19
21,PDC_0_20,13,0,81,V,20,558,-16,0,1.01354,37,0,20
22,PDC_0_21,13,0,81,V,21,546,-16,0,1.01580205264,37,0,21
23,PDC_0_22,13,0,81,V,22,534,-16,0,1.00085197968,37,0,22
24,PDC_0_23,13,0,81,V,23,522,-16,0,0.9966464859999999,37,0,23
25,PDC_0_24,13,0,81,V,24,510,-16,0,1.00118862155,37,0,24
26,PDC_0_25,13,0,81,V,25,498,-16,0,0.9920801185199999,37,0,25
27,PDC_0_26,13,0,81,V,26,486,-16,0,0.990123847502,37,0,26
28,PDC_0_27,13,0,81,V,27,474,-16,0,0.99486525425,37,0,27
29,PDC_0_28,13,0,81,V,28,462,-16,0,1.0448160381,37,0,28
30,PDC_0_29,13,0,81,V,29,450,-16,0,1.0298339021999998,37,0,29
31,PDC_0_30,13,0,81,V,30,438,-16,0,1.0355466155999997,37,0,30
32,PDC_0_31,13,0,81,V,31,426,-16,0,1.01735598302,37,0,31
33,PDC_0_32,13,0,81,V,32,414,-16,0,1.0164748728,37,0,32
34,PDC_0_33,13,0,81,V,33,402,-16,0,1.00074134655,37,0,33
35,PDC_0_34,13,0,81,V,34,390,-16,0,1.0141247442299999,37,0,34
36,PDC_0_35,13,0,81,V,35,378,-16,0,1.02487580526,37,0,35
37,PDC_0_36,13,0,81,V,36,366,-16,0,1.0384525649399998,37,0,36
38,PDC_0_37,13,0,81,V,37,354,-16,0,1.0605013052,37,0,37
39,PDC_0_38,13,0,81,V,38,342,-16,0,1.04456289504,37,0,38
40,PDC_0_39,13,0,81,V,39,330,-16,0,1.034217811,37,0,39
41,PDC_0_40,13,0,81,V,40,318,-16,0,1.03724382332,37,0,40
42,PDC_0_41,13,0,81,V,41,306,-16,0,1.0271120769,37,0,41
43,PDC_0_42,13,0,81,V,42,294,-16,0,1.0530240945,37,0,48
44,PDC_0_43,13,0,81,V,43,282,-16,0,1.0625193807,37,0,49
45,PDC_0_44,13,0,81,V,44,270,-16,0,1.0723522088,37,0,50
46,PDC_0_45,13,0,81,V,45,258,-16,0,1.0781932767999998,37,0,51
47,PDC_0_46,13,0,81,V,46,246,-16,0,1.0581164859999999,37,0,52
48,PDC_0_47,13,0,81,V,47,234,-16,0,1.0697913929999998,37,0,53
49,PDC_0_48,13,0,81,V,48,222,-16,0,1.0641466836,37,0,54
50,PDC_0_49,13,0,81,V,49,210,-16,0,1.0596952113000002,37,0,55
51,PDC_0_50,13,0,81,V,50,198,-16,0,1.0711554443999998,37,0,56
52,PDC_0_51,13,0,81,V,51,186,-16,0,1.0916797836,37,0,57
