NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff_orig,TAveOff_off,TAveOff_base,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
101,13,1,1,-1901.8,0,14431.3,0.0656086,0,39.763,0.0278832,176.884,0.0671919,0,40.7,0.0278832,211.422,76.257,-51.3483,378.805,2.95246,-22.755,-25.70746,11,0,21,0,12,0,22,0,0
102,13,1,1,-1779.4,0,14431.3,0.0661407,0,41,0.0298657,207.432,0.0665243,0,42,0.0298657,157.684,76.3734,-392.181,381.904,2.47592,-19.656,-22.13192,11,1,21,1,12,1,22,1,0
103,13,1,1,-1657,0,14431.3,0.0657727,0,39.7,0.0304045,256.596,0.0648201,0,40.7,0.0304045,131.212,76.1388,-423.679,380.919,2.2552,-20.641,-22.8962,11,2,21,2,12,2,22,2,0
104,13,1,1,-1534.6,0,14431.3,0.0651574,0,40.7,0.0299056,293.531,0.0655715,0,39.7,0.0299056,162.483,76.6994,-154.923,379.758,1.54399,-21.802,-23.34599,11,3,21,3,12,3,22,3,0
105,13,1,1,-1412.2,0,14431.3,0.0657176,0,39.7,0.0271606,203.211,0.0652892,0,40,0.0271606,226.681,76.8467,5.22129,380.873,1.47026,-20.687,-22.15726,11,4,21,4,12,4,22,4,0
106,13,1,1,-1289.8,0,14431.3,0.0640581,0,40.7,0.0294422,247.292,0.0664147,0,39.7,0.0294422,187.314,76.5627,-397.795,381.012,0.851365,-20.548,-21.399365,11,5,21,5,12,5,22,5,0
107,13,1,1,-1167.4,0,14431.3,0.0641942,0,39.973,0.0260799,204.46,0.0655568,0,40,0.0260799,248.925,77.0949,-434.092,380.112,0.3971,-21.448,-21.8451,11,6,21,6,12,6,22,6,0
108,13,1,1,-1045,0,14431.3,0.0643705,0,40.673,0.0262437,193.919,0.0669281,0,40,0.0262437,244.704,76.1101,13.9189,379.854,0.512371,-21.706,-22.218371,11,7,21,7,12,7,22,7,0
109,13,1,1,-922.6,0,14431.3,0.0640574,0,40.09,0.0275593,244.447,0.0657783,0,40,0.0275593,213.052,75.8799,-670.239,379.28,0.0481569,-22.28,-22.3281569,11,8,21,8,12,8,22,8,0
110,13,1,1,-800.2,0,14431.3,0.064936,0,40.673,0.0291321,181.266,0.0654056,0,40,0.0291321,170.762,77.4803,-96.9842,380.057,-0.549619,-21.503,-20.953381,11,9,21,9,12,9,22,9,0
111,13,1,1,-677.8,0,14431.3,0.0651777,0,40,0.0279074,237.985,0.0662571,0,39.4,0.0279074,176.203,77.5201,-85.0088,377.285,-0.854115,-24.275,-23.420885,11,10,21,10,12,10,22,10,0
112,13,1,1,-555.4,0,14431.3,0.0647237,0,42,0.0313131,269.438,0.0661178,0,39.7,0.0313131,138.71,76.6019,-99.0804,379.036,-0.720853,-22.524,-21.803147,11,11,21,11,12,11,22,11,0
113,13,1,1,-433,0,14431.3,0.0653415,0,39.7,0.027385,245.477,0.0667787,0,40.7,0.027385,200.153,76.9307,-529.332,378.939,-0.882982,-22.621,-21.738018,11,12,21,12,12,12,22,12,0
114,13,1,1,-310.6,0,14431.3,0.0655379,0,41,0.0315675,194.313,0.0656141,0,40,0.0315675,110.417,76.928,-154.231,378.358,-0.935531,-23.202,-22.266469,11,13,21,13,12,13,22,13,0
115,13,1,1,-188.2,0,14431.3,0.0643891,0,39.79,0.026488,262.216,0.0664585,0,40.7,0.026488,249.42,76.1677,-184.665,377.22,-0.67258,-24.34,-23.66742,11,14,21,14,12,14,22,14,0
116,13,1,1,-65.8,0,14431.3,0.0637331,0,41.7,0.0321234,244.107,0.0646249,0,40.7,0.0321234,119.424,76.4048,486.318,377.411,-1.29416,-24.149,-22.85484,11,16,21,16,12,16,22,16,0
117,13,1,1,56.6,0,14431.3,0.0646319,0,41.79,0.0311964,128.13,0.0656845,0,40.09,0.0311964,131.542,76.7046,622.765,376.933,-1.26744,-24.627,-23.35956,11,17,21,17,12,17,22,17,0
118,13,1,1,179,0,14431.3,0.0635155,0,40.036,0.0290878,122.077,0.0651027,0,40,0.0290878,181.514,77.0545,296.327,374.893,-1.51651,-26.667,-25.15049,11,18,21,18,12,18,22,18,0
119,13,1,1,301.4,0,14431.3,0.0647842,0,42.43,0.0322749,93.3884,0.0646464,0,40.58,0.0322749,105.589,77.7806,140.912,376.744,-1.14098,-24.816,-23.67502,11,19,21,19,12,19,22,19,0
120,13,1,1,423.8,0,14431.3,0.0654734,0,40,0.0291058,149.161,0.0659911,0,41,0.0291058,181.706,76.1836,643.61,379.48,-0.991484,-22.08,-21.088516,11,20,21,20,12,20,22,20,0
121,13,1,1,546.2,0,14431.3,0.0646433,0,40.763,0.0304191,167.606,0.0665103,0,40.79,0.0304191,126.229,77.3338,630.62,379.377,-1.08447,-22.183,-21.09853,11,21,21,21,12,21,22,21,0
122,13,1,1,668.6,0,14431.3,0.064966,0,42.673,0.0286147,209.392,0.0659543,0,40,0.0286147,154.483,76.3279,605.922,378.507,-0.764878,-23.053,-22.288122,11,22,21,22,12,22,22,22,0
123,13,1,1,791,0,14431.3,0.0646113,0,40.673,0.0300178,185.357,0.065316,0,40,0.0300178,152.441,77.5132,681.126,380.99,-0.792711,-20.57,-19.777289,11,23,21,23,12,23,22,23,0
124,13,1,1,913.4,0,14431.3,0.0644359,0,41,0.0266168,211.836,0.0661092,0,41,0.0266168,182.283,76.5651,256.316,378.605,-0.419717,-22.955,-22.535283,11,24,21,24,12,24,22,24,0
125,13,1,1,1035.8,0,14431.3,0.06494,0,40,0.0313971,165.828,0.0642354,0,40,0.0313971,106.845,77.3425,553.757,381.18,-0.130139,-20.38,-20.249861,11,25,21,25,12,25,22,25,0
126,13,1,1,1158.2,0,14431.3,0.0659476,0,41.973,0.0319713,224.995,0.0667109,0,41,0.0319713,118.657,76.6168,142.789,379.657,0.810759,-21.903,-22.713759,11,26,21,26,12,26,22,26,0
127,13,1,1,1280.6,0,14431.3,0.0646164,0,39.973,0.028666,114.724,0.0657015,0,41,0.028666,158.869,76.9535,376.902,378.581,0.948979,-22.979,-23.927979,11,27,21,27,12,27,22,27,0
128,13,1,1,1403,0,14431.3,0.0639539,0,41,0.0302922,282.38,0.0656272,0,40,0.0302922,175.694,76.9332,517.326,380.745,1.04731,-20.815,-21.86231,11,28,21,28,12,28,22,28,0
129,13,1,1,1525.4,0,14431.3,0.0638877,0,41.09,0.0289376,153.961,0.0662816,0,41.09,0.0289376,194.053,76.7464,396.715,379.597,1.61279,-21.963,-23.57579,11,29,21,29,12,29,22,29,0
130,13,1,1,1647.8,0,14431.3,0.0643305,0,41,0.0249826,205.746,0.0647571,0,40,0.0249826,278.348,76.0879,784.427,382.075,2.18322,-19.485,-21.66822,11,30,21,30,12,30,22,30,0
201,13,1,2,-1901.8,0,14551.3,0.0646211,0,40.973,0.0264719,184.861,0.0662213,0,41,0.0264719,221.72,76.8909,-354.804,388.264,2.89401,-17.106,-20.00001,13,0,23,0,14,0,24,0,0
202,13,1,2,-1779.4,0,14551.3,0.0650706,0,40,0.0302761,192.693,0.0658604,0,41,0.0302761,159.042,76.3507,154.587,387.028,2.423,-18.342,-20.765,13,1,23,1,14,1,24,1,0
203,13,1,2,-1657,0,14551.3,0.0648411,0,41,0.0278744,211.387,0.0653668,0,41,0.0278744,209.476,75.8571,542.989,387.672,2.1339,-17.698,-19.8319,13,2,23,2,14,2,24,2,0
204,13,1,2,-1534.6,0,14551.3,0.0647099,0,40.973,0.0323201,166.745,0.0659436,0,40,0.0323201,105.655,76.2366,-101.353,385.781,1.38365,-19.589,-20.97265,13,3,23,3,14,3,24,3,0
205,13,1,2,-1412.2,0,14551.3,0.0646312,0,40.673,0.0292197,236.594,0.0645273,0,40,0.0292197,170.442,76.2603,178.093,385.963,1.11466,-19.407,-20.52166,13,4,23,4,14,4,24,4,0
206,13,1,2,-1289.8,0,14551.3,0.065134,0,39.7,0.031437,180.149,0.066297,0,39.1,0.031437,113.729,76.6329,-173.012,386.669,0.814908,-18.701,-19.515908,13,5,23,5,14,5,24,5,0
207,13,1,2,-1167.4,0,14551.3,0.0652086,0,41.09,0.0301455,226.923,0.0656605,0,41.09,0.0301455,126.104,77.5206,-25.2331,386.539,0.587932,-18.831,-19.418932,13,6,23,6,14,6,24,6,0
208,13,1,2,-1045,0,14551.3,0.0657596,0,40.7,0.0308681,236.984,0.0655778,0,40.7,0.0308681,94.3356,77.2911,81.7811,385.281,-0.125,-20.089,-19.964,13,7,23,7,14,7,24,7,0
209,13,1,2,-922.6,0,14551.3,0.0641342,0,39.973,0.0311835,260.202,0.0649546,0,40.4,0.0311835,147.74,76.9548,282.991,385.578,-0.411694,-19.792,-19.380306,13,8,23,8,14,8,24,8,0
210,13,1,2,-800.2,0,14551.3,0.0635628,0,39.673,0.0311473,228.011,0.0661421,0,40,0.0311473,149.131,76.2718,-394.646,387.234,-0.597699,-18.136,-17.538301,13,9,23,9,14,9,24,9,0
211,13,1,2,-677.8,0,14551.3,0.0656,0,40,0.0243346,265.775,0.065209,0,40,0.0243346,254.975,77.2961,-41.2213,383.322,-0.599413,-22.048,-21.448587,13,10,23,10,14,10,24,10,0
212,13,1,2,-555.4,0,14551.3,0.0650396,0,40,0.0288847,176.777,0.0652435,0,41,0.0288847,190.491,77.0462,-75.2254,388.133,-0.899615,-17.237,-16.337385,13,11,23,11,14,11,24,11,0
213,13,1,2,-433,0,14551.3,0.0655097,0,39.673,0.0275231,155.807,0.0660831,0,41,0.0275231,214,77.0912,-29.5147,388.554,-0.596156,-16.816,-16.219844,13,12,23,12,14,12,24,12,0
214,13,1,2,-310.6,0,14551.3,0.0651314,0,40.063,0.0278274,176.153,0.0650987,0,41.09,0.0278274,176.581,76.3689,-25.76,388.41,-1.07499,-16.96,-15.88501,13,13,23,13,14,13,24,13,0
215,13,1,2,-188.2,0,14551.3,0.0650631,0,41.09,0.0268202,242.76,0.0657633,0,42,0.0268202,257.056,76.5096,-221.567,384.607,-0.906773,-20.763,-19.856227,13,14,23,14,14,14,24,14,0
