NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_geo,tu_ch,qu_geo,qu_ch,td_geo,td_ch,qd_geo,qd_ch,Ignore
101,13,1,1,-1901.8,0,13895.2,0.0656086,0,39.763,0.0510702,153.84,0.0671919,0,40.7,0.0498624,189.777,76.257,-51.3483,378.805,11,0,21,0,12,0,22,0,0
102,13,1,1,-1779.4,0,13895.2,0.0661407,0,41,0.0497083,194.974,0.0665243,0,42,0.0492434,138.161,76.3734,-392.181,381.904,11,1,21,1,12,1,22,1,0
103,13,1,1,-1657,0,13895.2,0.0657727,0,39.7,0.0487762,233.07,0.0648201,0,40.7,0.0482998,109.653,76.1388,-423.679,380.919,11,2,21,2,12,2,22,2,0
104,13,1,1,-1534.6,0,13895.2,0.0651574,0,40.7,0.0518729,283.251,0.0655715,0,39.7,0.0493954,145.347,76.6994,-154.923,379.758,11,3,21,3,12,3,22,3,0
105,13,1,1,-1412.2,0,13895.2,0.0657176,0,39.7,0.0487493,179.608,0.0652892,0,40,0.049953,205.199,76.8467,5.22129,380.873,11,4,21,4,12,4,22,4,0
106,13,1,1,-1289.8,0,13895.2,0.0640581,0,40.7,0.0463523,236.721,0.0664147,0,39.7,0.0491971,170.181,76.5627,-397.795,381.012,11,5,21,5,12,5,22,5,0
107,13,1,1,-1167.4,0,13895.2,0.0641942,0,39.973,0.0500364,181.312,0.0655568,0,40,0.0497019,227.749,77.0949,-434.092,380.112,11,6,21,6,12,6,22,6,0
108,13,1,1,-1045,0,13895.2,0.0643705,0,40.673,0.0544361,183.659,0.0669281,0,40,0.0497849,228.057,76.1101,13.9189,379.854,11,7,21,7,12,7,22,7,0
109,13,1,1,-922.6,0,13895.2,0.0640574,0,40.09,0.0489262,222.943,0.0657783,0,40,0.0495475,194.117,75.8799,-670.239,379.28,11,8,21,8,12,8,22,8,0
110,13,1,1,-800.2,0,13895.2,0.064936,0,40.673,0.0482754,171.388,0.0654056,0,40,0.049123,153.267,77.4803,-96.9842,380.057,11,9,21,9,12,9,22,9,0
111,13,1,1,-677.8,0,13895.2,0.0651777,0,40,0.0476529,219.342,0.0662571,0,39.4,0.0461489,157.041,77.5201,-85.0088,377.285,11,10,21,10,12,10,22,10,0
112,13,1,1,-555.4,0,13895.2,0.0647237,0,42,0.0511437,260.297,0.0661178,0,39.7,0.0497113,119.898,76.6019,-99.0804,379.036,11,11,21,11,12,11,22,11,0
113,13,1,1,-433,0,13895.2,0.0653415,0,39.7,0.048312,228.923,0.0667787,0,40.7,0.0489041,181.14,76.9307,-529.332,378.939,11,12,21,12,12,12,22,12,0
114,13,1,1,-310.6,0,13895.2,0.0655379,0,41,0.0488115,184.082,0.0656141,0,40,0.048381,90.4214,76.928,-154.231,378.358,11,13,21,13,12,13,22,13,0
115,13,1,1,-188.2,0,13895.2,0.0643891,0,39.79,0.0509064,244.296,0.0664585,0,40.7,0.0478214,229.19,76.1677,-184.665,377.22,11,14,21,14,12,14,22,14,0
116,13,1,1,-65.8,0,13895.2,0.0637331,0,41.7,0.0480206,227.062,0.0646249,0,40.7,0.0487364,102.199,76.4048,486.318,377.411,11,16,21,16,12,16,22,16,0
117,13,1,1,56.6,0,13895.2,0.0646319,0,41.79,0.048513,117.515,0.0656845,0,40.09,0.0499261,112.648,76.7046,622.765,376.933,11,17,21,17,12,17,22,17,0
118,13,1,1,179,0,13895.2,0.0635155,0,40.036,0.0494076,104.958,0.0651027,0,40,0.0488807,161.901,77.0545,296.327,374.893,11,18,21,18,12,18,22,18,0
119,13,1,1,301.4,0,13895.2,0.0647842,0,42.43,0.0500478,82.0335,0.0646464,0,40.58,0.0475898,82.4508,77.7806,140.912,376.744,11,19,21,19,12,19,22,19,0
120,13,1,1,423.8,0,13895.2,0.0654734,0,40,0.0477209,132.329,0.0659911,0,41,0.0506274,158.946,76.1836,643.61,379.48,11,20,21,20,12,20,22,20,0
121,13,1,1,546.2,0,13895.2,0.0646433,0,40.763,0.0457293,158.064,0.0665103,0,40.79,0.0473182,104.068,77.3338,630.62,379.377,11,21,21,21,12,21,22,21,0
122,13,1,1,668.6,0,13895.2,0.064966,0,42.673,0.0469891,193.31,0.0659543,0,40,0.0468928,131.645,76.3279,605.922,378.507,11,22,21,22,12,22,22,22,0
123,13,1,1,791,0,13895.2,0.0646113,0,40.673,0.0500901,175.441,0.065316,0,40,0.0484587,129.725,77.5132,681.126,380.99,11,23,21,23,12,23,22,23,0
124,13,1,1,913.4,0,13895.2,0.0644359,0,41,0.0482813,196.083,0.0661092,0,41,0.0460239,158.36,76.5651,256.316,378.605,11,24,21,24,12,24,22,24,0
125,13,1,1,1035.8,0,13895.2,0.06494,0,40,0.0418158,159.203,0.0642354,0,40,0.0454882,84.4245,77.3425,553.757,381.18,11,25,21,25,12,25,22,25,0
126,13,1,1,1158.2,0,13895.2,0.0659476,0,41.973,0.0480241,210.177,0.0667109,0,41,0.0492455,92.704,76.6168,142.789,379.657,11,26,21,26,12,26,22,26,0
127,13,1,1,1280.6,0,13895.2,0.0646164,0,39.973,0.0487741,107.759,0.0657015,0,41,0.0470362,136.14,76.9535,376.902,378.581,11,27,21,27,12,27,22,27,0
128,13,1,1,1403,0,13895.2,0.0639539,0,41,0.0483713,266.831,0.0656272,0,40,0.0502667,150,76.9332,517.326,380.745,11,28,21,28,12,28,22,28,0
129,13,1,1,1525.4,0,13895.2,0.0638877,0,41.09,0.0507745,147.3,0.0662816,0,41.09,0.0499979,170.973,76.7464,396.715,379.597,11,29,21,29,12,29,22,29,0
130,13,1,1,1647.8,0,13895.2,0.0643305,0,41,0.046213,187.716,0.0647571,0,40,0.046725,250.526,76.0879,784.427,382.075,11,30,21,30,12,30,22,30,0
201,13,1,2,-1901.8,0,14025.2,0.0646211,0,40.973,0.0480799,160.8,0.0662213,0,41,0.0471019,216.669,76.8909,-354.804,388.264,13,0,23,0,14,0,24,0,0
202,13,1,2,-1779.4,0,14025.2,0.0650706,0,40,0.0478712,174.524,0.0658604,0,41,0.0499613,143.651,76.3507,154.587,387.028,13,1,23,1,14,1,24,1,0
203,13,1,2,-1657,0,14025.2,0.0648411,0,41,0.0471201,186.847,0.0653668,0,41,0.050099,204.632,75.8571,542.989,387.672,13,2,23,2,14,2,24,2,0
204,13,1,2,-1534.6,0,14025.2,0.0647099,0,40.973,0.0499445,146.623,0.0659436,0,40,0.0482855,88.2479,76.2366,-101.353,385.781,13,3,23,3,14,3,24,3,0
205,13,1,2,-1412.2,0,14025.2,0.0646312,0,40.673,0.0475556,211.221,0.0645273,0,40,0.0504459,165.547,76.2603,178.093,385.963,13,4,23,4,14,4,24,4,0
206,13,1,2,-1289.8,0,14025.2,0.065134,0,39.7,0.0497066,160.291,0.066297,0,39.1,0.0483026,97.5598,76.6329,-173.012,386.669,13,5,23,5,14,5,24,5,0
