FPL,NAME,q1_ch,q1_geo,q2_ch,q2_geo,q_det,qcal_1,qcal_2,qped_1,qped_2,t1_ch,t1_ch2ns,t1_geo,t1_offset,t2_ch,t2_ch2ns,t2_geo,t2_offset,t_det
13,REF,0,99,21,99,50,1,1,177.274,164.755,96,0.098,8,0,-1,0.098,8,0,51
13,WINDS1,0,99,21,99,50,1,1,177.274,164.755,1,0.098,8,0,17,0.098,8,0,51
13,WINDS2,1,99,22,99,50,1,1,102.1535492,147.7693024,2,0.098,8,0,18,0.098,8,0,51
13,WINDS3,2,14,23,14,50,1,1,185.0098267,149.2861328,3,0.098,8,0,19,0.098,8,0,51
13,WINDS4,3,14,24,14,50,1,1,191.6829681,142.3191223,4,0.098,8,0,20,0.098,8,0,51
13,WINDS5,4,14,25,14,50,1,1,139.549469,130.0382538,5,0.098,8,0,21,0.098,8,0,51
13,WINDS6,5,14,26,14,50,1,1,141.7001953,110.9801331,6,0.098,8,0,22,0.098,8,0,51
13,WINDS7,6,14,27,14,50,1,1,160.3655396,145.2006989,7,0.098,8,0,23,0.098,8,0,51
13,WINDS8,7,14,28,14,50,1,1,156.7441711,177.5830688,8,0.098,8,0,24,0.098,8,0,51
13,WINDS9,8,14,29,14,50,1,1,187.5716553,174.758728,9,0.098,8,0,25,0.098,8,0,51
13,WINDS10,9,14,30,14,50,1,1,157.8817902,214.0148926,10,0.098,8,0,26,0.098,8,0,51
13,WINDS11,10,14,31,14,50,1,1,195.2920074,204.6914978,11,0.098,8,0,27,0.098,8,0,51
13,WINDS12,11,14,0,16,50,1,1,186.312912,77.3534393,12,0.098,8,0,28,0.098,8,0,51
13,WINDS13,12,14,1,16,50,1,1,165.8222351,114.590683,13,0.098,8,0,29,0.098,8,0,51
13,WINDS14,13,14,2,16,50,1,1,132.1918182,134.6104431,14,0.098,8,0,30,0.098,8,0,51
13,WINDS15,14,14,3,16,50,1,1,146.1175232,161.6186523,15,0.098,8,0,31,0.098,8,0,51
13,WINDS16,15,14,4,16,50,1,1,140.9509125,142.9686279,64,0.098,8,0,72,0.098,8,0,51
13,WINDS17,16,14,5,16,50,1,1,130.4841461,101.2088928,65,0.098,8,0,73,0.098,8,0,51
13,WINDS18,17,14,6,16,50,1,1,143.140213,147.1004791,66,0.098,8,0,74,0.098,8,0,51
13,WINDS19,18,14,7,16,50,1,1,125.5813751,179.6027832,67,0.098,8,0,75,0.098,8,0,51
13,WINDS20,19,14,8,16,50,1,1,171.0332489,140.5678864,68,0.098,8,0,76,0.098,8,0,51
13,WINDS21,20,14,9,16,50,1,1,162.5862732,147.207016,33,0.098,8,0,49,0.098,8,0,51
13,WINDS22,0,15,21,17,50,1,1,165.2349396,181.7657013,34,0.098,8,0,50,0.098,8,0,51
13,WINDS23,1,15,22,17,50,1,1,176.2247925,131.0821228,35,0.098,8,0,51,0.098,8,0,51
13,WINDS24,2,15,23,17,50,1,1,182.7555542,169.7073517,36,0.098,8,0,52,0.098,8,0,51
13,WINDS25,3,15,24,17,50,1,1,131.6769257,213.3459015,37,0.098,8,0,53,0.098,8,0,51
13,WINDS26,4,15,25,17,50,1,1,193.6198578,161.8861847,38,0.098,8,0,54,0.098,8,0,51
13,WINDS27,5,15,26,17,50,1,1,202.9590912,208.0250397,39,0.098,8,0,55,0.098,8,0,51
13,WINDS28,6,15,27,17,50,1,1,231.4080505,237.0161743,40,0.098,8,0,56,0.098,8,0,51
13,WINDS29,7,15,28,17,50,1,1,191.1873779,208.9806671,41,0.098,8,0,57,0.098,8,0,51
13,WINDS30,8,15,29,17,50,1,1,246.3566895,249.6883392,42,0.098,8,0,58,0.098,8,0,51
13,WINDS31,9,15,30,17,50,1,1,118.4835129,159.7606201,43,0.098,8,0,59,0.098,8,0,51
13,WINDS32,10,15,31,17,50,1,1,196.497467,298.5354919,44,0.098,8,0,60,0.098,8,0,51
13,WINDS33,11,15,0,13,50,1,1,209.6693115,129.9952393,45,0.098,8,0,61,0.098,8,0,51
13,WINDS34,12,15,1,13,50,1,1,161.5919495,138.4403992,46,0.098,8,0,62,0.098,8,0,51
13,WINDS35,13,15,2,13,50,1,1,170.6369781,76.2844009,47,0.098,8,0,63,0.098,8,0,51
13,WINDS36,14,15,3,13,50,1,1,121.1531372,171.8367157,80,0.098,8,0,88,0.098,8,0,51
13,WINDS37,15,15,4,13,50,1,1,146.396637,42.1074829,81,0.098,8,0,89,0.098,8,0,51
13,WINDS38,16,17,5,13,50,1,1,260.0992432,96.0611877,82,0.098,8,0,90,0.098,8,0,51
13,WINDS39,17,17,6,13,50,1,1,190.8988647,171.6160431,-1,0.098,8,0,-1,0.098,8,0,51
13,WINDS40,18,17,7,13,50,1,1,154.8658905,169.6585236,-1,0.098,8,0,-1,0.098,8,0,51
13,WINDS41,19,17,8,13,50,1,1,226.3097687,247.0846558,-1,0.098,8,0,-1,0.098,8,0,51
13,WINDS42,20,17,9,13,50,1,1,223.8500366,110.7986755,-1,0.098,8,0,-1,0.098,8,0,51
13,WINDS43,0,17,10,13,50,1,1,249.014267,167.7460327,-1,0.098,8,0,-1,0.098,8,0,51
13,WINDS44,1,17,17,13,50,1,1,238.1911774,205.3008881,-1,0.098,8,0,-1,0.098,8,0,51
