NAME,FPL,t1_offset,t1_ch2ns,t2_offset,t2_ch2ns,qped_1,qcal_1,qped_2,qcal_2,t_det,t1_geo,t1_ch,t2_geo,t2_ch,q_det,q1_geo,q1_ch,q2_geo,q2_ch
WINDS1,13,-1221.210681,0.09767,-1221.210681,0.09767,177.274,1,164.755,1,51,10,17,10,33,50,14,0,14,21
WINDS2,13,-1220.893165,0.09767,-1220.893165,0.09767,102.1535492,1,147.7693024,1,51,10,18,10,34,50,14,1,14,22
WINDS3,13,-1220.243188,0.09767,-1220.243188,0.09767,185.0098267,1,149.2861328,1,51,10,19,10,35,50,14,2,14,23
WINDS4,13,-1220.700791,0.09767,-1220.700791,0.09767,191.6829681,1,142.3191223,1,51,10,20,10,36,50,14,3,14,24
WINDS5,13,-1222.025342,0.09767,-1222.025342,0.09767,139.549469,1,130.0382538,1,51,10,21,10,37,50,14,4,14,25
WINDS6,13,-1222.429766,0.09767,-1222.429766,0.09767,141.7001953,1,110.9801331,1,51,10,22,10,38,50,14,5,14,26
WINDS7,13,-1222.842124,0.09767,-1222.842124,0.09767,160.3655396,1,145.2006989,1,51,10,23,10,39,50,14,6,14,27
WINDS8,13,-1223.212188,0.09767,-1223.212188,0.09767,156.7441711,1,177.5830688,1,51,10,48,10,64,50,14,7,14,28
WINDS9,13,-1238.619277,0.09767,-1238.619277,0.09767,187.5716553,1,174.758728,1,51,10,49,10,65,50,14,8,14,29
WINDS10,13,-1220.862126,0.09767,-1220.862126,0.09767,157.8817902,1,214.0148926,1,51,10,50,10,66,50,14,9,14,30
WINDS11,13,-1229.163947,0.09767,-1229.163947,0.09767,195.2920074,1,204.6914978,1,51,10,52,10,68,50,14,10,14,31
WINDS12,13,-1229,0.09767,-1229,0.09767,186.312912,1,77.3534393,1,51,10,53,10,69,50,14,11,16,0
WINDS13,13,-1222.920062,0.09767,-1222.920062,0.09767,165.8222351,1,114.590683,1,51,10,54,10,70,50,14,12,16,1
WINDS14,13,-1221.444198,0.09767,-1221.444198,0.09767,132.1918182,1,134.6104431,1,51,10,55,10,71,50,14,13,16,2
WINDS15,13,-1221.085902,0.09767,-1221.085902,0.09767,146.1175232,1,161.6186523,1,51,10,81,10,89,50,14,14,16,3
WINDS16,13,-1272.447049,0.09767,-1272.447049,0.09767,140.9509125,1,142.9686279,1,51,10,82,10,90,50,14,15,16,4
WINDS17,13,-1217.728716,0.09767,-1217.728716,0.09767,130.4841461,1,101.2088928,1,51,10,83,10,91,50,14,16,16,5
WINDS18,13,-1216.513575,0.09767,-1216.513575,0.09767,143.140213,1,147.1004791,1,51,10,84,10,92,50,14,17,16,6
WINDS19,13,-1212.984278,0.09767,-1212.984278,0.09767,125.5813751,1,179.6027832,1,51,10,85,10,93,50,14,18,16,7
WINDS20,13,-1212.737317,0.09767,-1212.737317,0.09767,171.0332489,1,140.5678864,1,51,10,86,10,94,50,14,19,16,8
WINDS21,13,-1212.08571,0.09767,-1212.08571,0.09767,162.5862732,1,147.207016,1,51,10,87,10,95,50,14,20,16,9
WINDS22,13,-1251.441833,0.09767,-1251.441833,0.09767,165.2349396,1,181.7657013,1,51,9,16,9,64,50,15,0,17,21
WINDS23,13,-1250.96626,0.09767,-1250.96626,0.09767,176.2247925,1,131.0821228,1,51,9,17,9,65,50,15,1,17,22
WINDS24,13,-1252.055716,0.09767,-1252.055716,0.09767,182.7555542,1,169.7073517,1,51,9,18,9,66,50,15,2,17,23
WINDS25,13,-1251.720482,0.09767,-1251.720482,0.09767,131.6769257,1,213.3459015,1,51,9,19,9,67,50,15,3,17,24
WINDS26,13,-1252.951367,0.09767,-1252.951367,0.09767,193.6198578,1,161.8861847,1,51,9,20,9,68,50,15,4,17,25
WINDS27,13,-1253.679286,0.09767,-1253.679286,0.09767,202.9590912,1,208.0250397,1,51,9,21,9,69,50,15,5,17,26
WINDS28,13,-1252.223716,0.09767,-1252.223716,0.09767,231.4080505,1,237.0161743,1,51,9,22,9,70,50,15,6,17,27
WINDS29,13,-1252.945466,0.09767,-1252.945466,0.09767,191.1873779,1,208.9806671,1,51,9,23,9,71,50,15,7,17,28
WINDS30,13,-1254.156534,0.09767,-1254.156534,0.09767,246.3566895,1,249.6883392,1,51,9,81,9,97,50,15,8,17,29
